Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
181395800,94.7978,93.3961,8.79,15.11,26.85,0,0,0,0,0,0,0,303,5,2.02344,0.611023,4360
181400240,98.4142,92.652,7.08,14.85,28.01,0,0,0,0,0,0,0,322,5,2.1875,0.78125,4440
181404700,95.0051,79.2802,22.81,22.97,18.91,0,0,0,0,35.05,0,0,318,5,2.1875,0.774275,4460
181408560,110.551,90.9256,6.58,9.93,0.5,0,0,0,0,82.77,0,0,321,5,2.125,0.775178,3860
181412400,110.772,91.1413,7.67,10.49,0,0,0,0,0,81.75,0,0,319,5,2.125,0.775146,3840
181416200,112.029,92.1767,8.18,9.22,0.2,0,0,0,0,82.28,0,0,326,5,2.13281,0.777138,3800
181420020,111.697,91.961,6.93,10.13,0.2,0,0,0,0,82.34,0,0,317,5,2.13281,0.775115,3820
181423840,112.019,92.2018,8.13,10.33,0.18,0,0,0,0,81.26,0,0,321,5,2.125,0.775146,3820
181427680,111.582,91.8218,7.09,9.32,0.1,0,0,0,0,82.8,0,0,318,5,2.125,0.773112,3840
181431540,110.168,90.6979,6.79,9.74,0.4,0,0,0,0,82.77,0,0,318,5,2.13281,0.775146,3860
181435340,112.023,92.1926,5.88,10.74,0.7,0,0,0,0,82.6,0,0,319,5,2.13281,0.779194,3800
181439180,111.883,92.1163,7.42,10.18,0.2,0,0,0,0,81.81,0,0,319,5,2.11719,0.773112,3840
181443020,111.1,91.4703,7.22,9.17,0.2,0,0,0,0,83.32,0,0,321,5,2.14062,0.775146,3840
181446840,111.335,91.578,7.58,9.05,0.2,0,0,0,0,82.97,0,0,318,5,2.13281,0.77716,3820
181450660,111.536,91.7826,7.07,9.49,0.2,0,0,0,0,82.96,0,0,322,5,2.11719,0.775115,3820
181454480,111.934,92.0791,7.5,9.28,0.3,0,0,0,0,82.72,0,0,318,5,2.14062,0.77716,3820
181458320,111.095,91.4124,6.48,10.56,0.2,0,0,0,0,82.46,0,0,321,5,2.11719,0.771078,3840
181461140,112.157,92.9258,7.7,9.19,0.3,0,0,0,0,82.6,0,0,322,5,2.125,0.77716,2820
181464960,111.357,91.6609,7.37,11.06,0.2,0,0,0,0,81.02,0,0,320,5,2.25,0.770246,3820
181468780,111.721,91.9349,6.39,10.43,0.2,0,0,0,0,82.79,0,0,318,5,2.13281,0.779194,3820
181472600,111.928,92.1221,7.39,9.77,0.2,0,0,0,0,82.65,0,0,319,5,2.11719,0.773112,3820
181476440,111.047,91.3808,6.25,8.57,0.2,0,0,0,0,84.69,0,0,318,5,2.14062,0.779194,3840
181480240,112.121,92.2677,6.88,8.58,0.1,0,0,0,0,83.85,0,0,318,5,2.11719,0.771078,3800
181484080,112.365,92.4662,7.37,9.89,0.52,0,0,0,0,81.73,0,0,322,5,2.13281,0.779194,3840
181487960,111.903,92.0909,6.41,9.38,0.2,0,0,0,0,83.11,0,0,320,5,2.125,0.775209,3880
181491820,110.144,90.6007,7.21,9.59,0.2,0,0,0,0,82.79,0,0,325,5,2.125,0.771234,3860
181495620,112.334,92.4126,6.84,9.88,0.2,0,0,0,0,82.88,0,0,319,5,2.14062,0.78125,3800
181499460,111.486,91.7542,7.97,10.86,0.41,0,0,0,0,80.58,0,0,326,5,2.125,0.771078,3840
181503300,111.785,91.9657,6.68,8.92,0.2,0,0,0,0,83.91,0,0,318,5,2.13281,0.77716,3840
181507120,111.987,92.1803,7.62,8.97,0.2,0,0,0,0,82.92,0,0,320,5,2.11719,0.773154,3820
181510960,111.431,91.6789,6.98,9.46,0.2,0,0,0,0,82.98,0,0,319,5,2.125,0.773112,3840
181514820,111.002,91.3415,6.73,9.55,0.6,0,0,0,0,83.02,0,0,318,5,2.14062,0.77716,3860
181518620,112.508,92.5843,7.08,8.98,0.2,0,0,0,0,83.55,0,0,321,5,2.125,0.775146,3800
181522460,111.096,91.4683,6.89,10.63,0.1,0,0,0,0,82.29,0,0,318,5,2.13281,0.77716,3840
181526280,111.547,91.7549,8.3,10.82,0.3,0,0,0,0,80.58,0,0,323,5,2.125,0.775115,3820
181530100,112.557,92.6303,7.6,9.83,0.6,0,0,0,0,81.68,0,0,319,5,2.125,0.773069,3820
181533960,110.511,90.9701,7.64,9.52,0.3,0,0,0,0,82.16,0,0,325,5,2.13281,0.775178,3860
181537760,112.49,92.5853,7.07,9.76,0,0,0,0,0,82.95,0,0,319,5,2.13281,0.777138,3800
181541600,111.738,91.9566,6.69,9.14,0.5,0,0,0,0,83.46,0,0,326,5,2.125,0.775146,3840
181545440,110.972,91.3279,6.33,9.75,0.2,0,0,0,0,83.62,0,0,320,5,2.13281,0.775146,3840
