Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
179718760,95.4021,94.1998,6.89,16.13,24.36,0,0,0,0,0,0,0,305,5,2.01562,0.611023,4360
179722220,97.3763,94.4031,8.08,13.03,26.27,0,0,0,0,0,0,0,309,5,2.17969,0.776018,3460
179725740,85.7766,74.9331,33.09,33.08,33.53,0,0,0,0,0,0,0,322,5,2.30469,0.776811,3520
179729580,106.059,91.5202,10.77,4.69,84.32,0,0,0,0,0,0,0,322,5,2.25,0.773055,3840
179733420,106.5,91.836,11.45,5.05,83.3,0,0,0,0,0,0,0,318,5,2.14062,0.77716,3840
179737280,105.146,90.6662,10.65,5.51,83.64,0,0,0,0,0,0,0,324,5,2.11719,0.769106,3860
179741100,106.502,91.8582,11.58,4.58,83.83,0,0,0,0,0,0,0,318,5,2.11719,0.773069,3820
179744920,106.371,91.7105,11.92,4.78,83.1,0,0,0,0,0,0,0,318,5,2.13281,0.775115,3820
179747760,105.571,91.7113,12.25,5.38,82.37,0,0,0,0,0,0,0,322,5,2.125,0.771024,2840
179751560,106.564,91.9506,11.48,5.16,83.38,0,0,0,0,0,0,0,317,5,2.25,0.772939,3800
179755380,106.328,91.6609,11.78,5.28,82.95,0,0,0,0,0,0,0,322,5,2.13281,0.773026,3820
179759200,107.001,92.3345,11.05,5.86,82.9,0,0,0,0,0,0,0,318,5,2.11719,0.769043,3820
179763040,106.098,91.4795,12.29,5.35,82.17,0,0,0,0,0,0,0,323,5,2.125,0.775146,3840
179766880,106.112,91.4922,10.63,4.38,84.69,0,0,0,0,0,0,0,319,5,2.13281,0.775115,3840
179770680,106.835,92.0757,11.3,4.83,83.77,0,0,0,0,0,0,0,323,5,2.11719,0.769043,3800
179774520,106.907,92.1654,10.75,5.49,83.56,0,0,0,0,0,0,0,318,5,2.13281,0.777138,3840
179778380,105.244,90.7474,12.69,5.78,81.54,0,0,0,0,0,0,0,326,5,2.13281,0.77113,3860
179782180,106.776,92.0976,12.04,5.92,81.83,0,0,0,0,0,0,0,319,5,2.10938,0.769043,3800
179786020,106.051,91.4375,12.32,6.65,80.84,0,0,0,0,0,0,0,324,5,2.13281,0.775082,3840
179789840,106.498,91.8503,12.43,5.63,81.75,0,0,0,0,0,0,0,319,5,2.11719,0.771078,3820
179793660,106.549,91.8633,11.07,4.69,84.03,0,0,0,0,0,0,0,318,5,2.125,0.771024,3820
179797480,106.559,91.8764,11.24,6.02,82.65,0,0,0,0,0,0,0,320,5,2.13281,0.77716,3820
179801320,106.158,91.5113,11.75,5.28,82.62,0,0,0,0,0,0,0,319,5,2.11719,0.769043,3840
179805140,106.612,91.8771,10.51,4.97,84.43,0,0,0,0,0,0,0,323,5,2.13281,0.773069,3820
179807980,106.218,92.2728,10.01,6.18,83.81,0,0,0,0,0,0,0,322,5,2.11719,0.771078,2840
179811800,106.764,92.0561,11.82,4.9,83.19,0,0,0,0,0,0,0,321,5,2.24219,0.767496,3820
179815620,106.25,91.6072,11.84,5.28,82.78,0,0,0,0,0,0,0,319,5,2.14062,0.779194,3820
179819440,106.415,91.7596,11.38,5.18,83.01,0,0,0,0,0,0,0,324,5,2.10938,0.767008,3820
179823280,106.353,91.6433,10.07,4.5,85.22,0,0,0,0,0,0,0,319,5,2.14062,0.777138,3840
179827100,107.18,92.4324,10.99,6.15,82.7,0,0,0,0,0,0,0,325,5,2.10938,0.767082,3820
179830960,105.367,90.8542,11.3,5.5,83.1,0,0,0,0,0,0,0,318,5,2.13281,0.775146,3860
179834780,107.23,92.4554,12.17,5.09,82.45,0,0,0,0,0,0,0,318,5,2.13281,0.773069,3820
179838600,106.548,91.9099,11.96,5.48,82.46,0,0,0,0,0,0,0,322,5,2.125,0.773112,3820
179842440,105.965,91.3198,11.58,5.19,83.03,0,0,0,0,0,0,0,319,5,2.11719,0.769043,3840
179846260,106.879,92.1773,11.56,6.23,81.72,0,0,0,0,0,0,0,323,5,2.13281,0.775082,3820
179849120,106.027,92.0687,10.87,6.22,82.52,0,0,0,0,0,0,0,322,5,2.11719,0.77113,2860
179852960,106.185,91.5726,12.23,5.52,82.25,0,0,0,0,0,0,0,323,5,2.25781,0.770246,3840
179856780,106.595,91.9063,11.28,5.3,83.41,0,0,0,0,0,0,0,319,5,2.13281,0.77716,3820
179860600,107.094,92.344,10.77,4.09,84.8,0,0,0,0,0,0,0,325,5,2.11719,0.769043,3820
179864460,105.502,90.9716,11.47,5.38,82.86,0,0,0,0,0,0,0,318,5,2.13281,0.771078,3860
179868260,107.191,92.4193,10.78,4.78,84.35,0,0,0,0,0,0,0,318,5,2.13281,0.779194,3800
179872100,107.785,92.9672,10.77,5.39,82.78,0,0,0,0,0,0,0,323,5,2.10938,0.767008,3840
179875980,104.846,90.3713,11.22,4.68,83.62,0,0,0,0,0,0,0,318,5,2.14062,0.773196,3880
179879800,106.543,91.87,12.45,5.14,82.12,0,0,0,0,0,0,0,323,5,2.10938,0.769043,3820
179883620,106.795,92.0694,11.55,3.88,84.35,0,0,0,0,0,0,0,318,5,2.14062,0.777138,3820
179887460,106.194,91.5624,11.27,6.19,82.07,0,0,0,0,0,0,0,326,5,2.11719,0.769043,3840
179891280,106.322,91.7115,11.6,5.1,83.19,0,0,0,0,0,0,0,319,5,2.13281,0.775115,3820
179895100,106.614,91.9186,11.32,4.48,84.11,0,0,0,0,0,0,0,324,5,2.13281,0.773069,3820
179898920,106.465,91.8076,10.75,5.45,83.69,0,0,0,0,0,0,0,319,5,2.125,0.773069,3820
179902740,106.43,91.7222,12.29,5.38,82.33,0,0,0,0,0,0,0,318,5,2.11719,0.767008,3820
179906560,106.722,92.007,10.68,5.98,83.14,0,0,0,0,0,0,0,317,5,2.13281,0.779194,3820
179910400,106.363,91.6992,11.67,5.1,82.94,0,0,0,0,0,0,0,319,5,2.10938,0.769043,3840
179914240,105.661,91.1092,10.76,4.09,85.06,0,0,0,0,0,0,0,323,5,2.125,0.771078,3840
179918040,107.149,92.3463,10.87,4.48,84.54,0,0,0,0,0,0,0,319,5,2.125,0.773026,3800
179921880,106.444,91.7409,11.57,5.77,82.66,0,0,0,0,0,0,0,322,5,2.125,0.775115,3840
179925700,106.563,91.8572,11.27,5.28,83.26,0,0,0,0,0,0,0,320,5,2.125,0.769043,3820
179929520,107.212,92.3803,12.92,4.89,81.77,0,0,0,0,0,0,0,322,5,2.125,0.773069,3820
179933360,106.287,91.5965,10.92,5.27,83.72,0,0,0,0,0,0,0,318,5,2.125,0.775146,3840
179937180,106.034,91.8357,11.43,5.56,82.82,0,0,0,0,0,0,0,319,5,2.11719,0.769043,3820
179941020,113.034,97.9736,11.23,8.91,75.15,0,0,0,0,0,0,0,323,5,2.13281,0.777138,3840
179945100,105.062,90.8734,10.82,4.69,80.91,0,0,0,0,0,0,0,320,5,2.14844,0.773628,4080
179949140,105.346,91.1002,10.41,5.36,80.9,0,0,0,0,0,0,0,319,5,2.14844,0.773476,4040
179953160,101.401,87.6569,10.96,5.78,83.26,0,0,0,0,0,0,0,322,5,2.14844,0.771533,4020
179956980,105.97,91.6123,12.24,4.84,82.83,0,0,0,0,0,0,0,319,5,2.10938,0.769043,3820
179960800,106.754,92.2959,12.35,4.65,82.91,0,0,0,0,0,0,0,321,5,2.125,0.777138,3820
179964620,106.174,91.7335,10.14,5.7,84.06,0,0,0,0,0,0,0,320,5,2.13281,0.771078,3820
179968460,106.203,91.8106,12,5.27,82.54,0,0,0,0,0,0,0,319,5,2.11719,0.771024,3840
179972280,106.428,92.0285,11.35,4.98,83.57,0,0,0,0,0,0,0,320,5,2.11719,0.773112,3820
179976100,111.691,96.7093,10.53,5.89,80.5,0,0,0,0,0,0,0,316,5,2.125,0.771078,3820
179980120,103.699,89.7461,11.09,5.39,81.74,0,0,0,0,0,0,0,322,5,2.15625,0.777344,4020
179984040,108.853,94.9797,10.37,6.09,78.25,0,0,0,0,0,0,0,313,5,2.13281,0.769353,3920
179988100,105.372,92.2058,11.22,7.36,73.9099,0,0,0,0,0,0,0,319,5,2.14844,0.773515,4060
179992160,105.565,92.5791,10.56,6.02,75.87,0,0,0,0,0,0,0,326,5,2.15625,0.775477,4060
179996240,104.048,91.0482,10.23,4.91,79.3,0,0,0,0,0,0,0,322,5,2.14844,0.769817,4080
180000300,106.189,92.9909,11.22,5,77.49,0,0,0,0,0,0,0,324,5,2.15625,0.777363,4060
180004400,101.694,88.7738,11.36,5.78,80.13,0,0,0,0,0,0,0,319,5,2.14844,0.769873,4100
180008340,105.815,92.365,11.67,5.58,80.5,0,0,0,0,0,0,0,323,5,2.14062,0.777284,3940
180012320,104.087,90.997,11.1,5.37,80.48,0,0,0,0,0,0,0,322,5,2.14062,0.769472,3980
180016240,-16609.4,94.3658,10.48,6.27,78.94,0,0,0,0,0,0,0,319,5,2.14844,0.775271,3920
180020260,104.347,90.5502,11.46,5.09,81.32,0,0,0,0,0,0,0,326,5,2.14844,0.773476,4020
180023220,105.79,92.5715,11.22,4.09,82.92,0,0,0,0,0,0,0,323,5,2.14062,0.773359,2960
180027180,108.669,94.334,11.09,5.26,79.42,0,0,0,0,0,0,0,319,5,2.26562,0.770693,3960
180031240,107.094,93.0669,9.89,5.15,78.95,0,0,0,0,0,0,0,316,5,2.14062,0.773553,4060
180035340,105.019,91.2367,10.41,6.22,79.33,0,0,0,0,0,0,0,325,5,2.15625,0.775534,4100
180039420,104.965,91.1286,10.4,6.76,77.42,0,0,0,0,0,0,0,322,5,2.15625,0.775477,4080
180042460,106.786,93.43,9.94,6.57,77.09,0,0,0,0,0,0,0,318,5,2.14062,0.771581,3040
180046520,99.9887,86.9343,12.09,4.98,82.75,0,0,0,0,0,0,0,318,5,2.28125,0.776144,4060
