Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
34611450,260.376,267.937,5.31,30.04,10.99,0,0,0,0,0,0,0,634,5,91.4297,91.0136,16000
34637730,163.257,165.031,10.64,5.98,83.17,0,0,0,0,0,0,0,640,5,98.9609,98.5976,26280
34660450,195.229,197.507,10.74,5.98,83.07,0,0,0,0,0,0,0,641,5,98.8047,98.4423,22720
34683770,187.09,189.225,10.8,5.89,83.11,0,0,0,0,0,0,0,643,5,98.8281,98.4599,23320
34706670,213.293,216.121,10.7,5.98,82.97,0,0,0,0,0,0,0,646,5,98.8594,98.4894,22900
34732250,174.765,177.388,10.69,5.8,83.26,0,0,0,0,0,0,0,644,5,98.8203,98.4674,25580
34755690,182.134,184.857,10.74,6.05,83.02,0,0,0,0,0,0,0,641,5,98.8203,98.4535,23440
34778070,-2731.08,-2728.32,10.61,6,83.16,0,0,0,0,0,0,0,641,5,98.8359,98.4756,22380
34801170,206.885,209.693,10.77,5.89,83.04,0,0,0,0,0,0,0,643,5,98.7969,98.4321,23100
34826200,191.388,193.904,10.7,5.88,83.04,0,0,0,0,0,0,0,644,5,98.8359,98.4765,25030
34851230,182.065,184.392,10.7,5.89,83.11,0,0,0,0,0,0,0,646,5,98.8281,98.4627,25030
34875110,188.144,190.542,10.77,5.85,83.07,0,0,0,0,0,0,0,642,5,98.8359,98.4676,23880
34898660,184.899,187.287,10.65,5.99,83.15,0,0,0,0,0,0,0,647,5,98.8359,98.4667,23550
34921430,205.792,208.254,10.6,5.93,83.11,0,0,0,0,0,0,0,645,5,98.8203,98.456,22770
34945940,186.09,188.419,10.64,5.95,83.13,0,0,0,0,0,0,0,646,5,98.8359,98.4652,24510
34969800,188.425,190.722,10.68,5.93,83.13,0,0,0,0,0,0,0,647,5,98.8359,98.4693,23860
34993340,190.109,192.427,10.68,5.92,83.15,0,0,0,0,0,0,0,643,5,98.8203,98.4548,23540
35016750,188.868,191.248,10.76,5.86,83.09,0,0,0,0,0,0,0,643,5,98.8203,98.4478,23410
35039930,193.338,195.549,10.71,5.8,83.26,0,0,0,0,0,0,0,645,5,98.8828,98.5179,23180
35063320,202.004,204.415,10.79,5.94,82.89,0,0,0,0,0,0,0,645,5,98.7656,98.4005,23390
35088030,191.655,193.965,10.75,5.89,82.96,0,0,0,0,0,0,0,645,5,98.8359,98.4647,24710
35112760,181.214,-2466.51,10.71,5.79,83.2,0,0,0,0,0,0,0,644,5,98.8203,98.4504,24730
35136290,-2601.66,185.599,10.63,5.86,83.27,0,0,0,0,0,0,0,643,5,98.8438,98.4732,23530
35158850,189.451,191.769,10.82,5.89,83.07,0,0,0,0,0,0,0,643,5,98.8516,98.4849,22560
35180890,191.2,193.548,10.58,5.74,81.87,0,0,0,0,0,0,0,644,5,98.7812,98.4057,22040
35200710,134.513,137.774,10.25,5.59,79.26,0,0,0,0,0,0,0,504,5,98.875,98.5145,19820
35208020,37.7471,38.1979,8.52,18.87,29.95,0,0,0,0,0,0,0,394,5,95.0859,94.6854,7310
35211070,88.8195,89.4089,10.02,17.13,30.4801,0,0,0,0,0,0,0,391,5,2.25,0.778722,3050
35214120,88.9536,89.8201,9,16.13,33.74,0,0,0,0,0,0,0,390,5,2.26562,0.778663,3050
35217190,88.8039,89.8927,9.18,16.79,35.8,0,0,0,0,0,0,0,391,5,2.25,0.77369,3070
35220270,88.1192,89.0803,9.07,16.26,33.2601,0,0,0,0,0,0,0,387,5,2.26562,0.778697,3080
35223320,89.1717,89.5101,8.28,17.6,30.4,0,0,0,0,0,0,0,389,5,2.25,0.773591,3050
35226430,86.9954,87.9013,7.23,18.88,30.24,0,0,0,0,0,0,0,389,5,2.25781,0.77873,3110
35229550,88.5611,89.7455,9.07,18.52,31.6101,0,0,0,0,0,0,0,386,5,2.25,0.776258,3120
35232630,87.8786,89.0378,8.37,17.17,34.49,0,0,0,0,0,0,0,385,5,2.26562,0.776177,3080
35235730,86.347,89.6465,10.62,16.69,33.21,0,0,0,0,0,0,0,384,5,2.25781,0.776258,3100
