Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
288443060,86.238,88.025,5.17,22.67,15.65,0,0,0,0,0,0,0,378,5,79.4062,78.5373,12120
288455820,118.745,120.653,5.58,21.93,16.07,0,0,0,0,0,0,0,492,5,87.5625,86.8201,12760
288469540,122.538,123.905,13.62,16.77,69.35,0,0,0,0,0,0,0,492,5,87.2422,86.4956,13720
288482500,133.319,134.836,13.62,16.61,69.38,0,0,0,0,0,0,0,489,5,87.1328,86.354,12960
288495820,129.792,131.287,13.64,16.73,69.2,0,0,0,0,0,0,0,494,5,87.3281,86.5505,13320
288509120,128.674,130.148,13.63,16.74,69.25,0,0,0,0,0,0,0,492,5,87.0703,86.2859,13300
288522280,132.499,134.043,13.74,16.59,69.3,0,0,0,0,0,0,0,493,5,87.2734,86.5011,13160
288535680,128.232,129.733,13.69,16.74,69.28,0,0,0,0,0,0,0,494,5,87.1016,86.3229,13400
288548900,130.537,132.078,13.74,16.61,69.34,0,0,0,0,0,0,0,495,5,87.0469,86.2661,13220
288562120,129.62,131.142,13.7,16.61,69.35,0,0,0,0,0,0,0,492,5,87.2812,86.4933,13220
288575320,125.17,126.606,13.66,16.72,69.36,0,0,0,0,0,0,0,492,5,86.9922,86.2169,13200
288588040,133.874,135.411,13.86,16.67,69.12,0,0,0,0,0,0,0,493,5,87.2188,86.4495,12720
288601120,132.655,134.21,13.68,16.79,69.16,0,0,0,0,0,0,0,494,5,87.1172,86.3347,13080
288614400,127.698,129.174,13.64,16.73,69.35,0,0,0,0,0,0,0,494,5,87.2969,86.5161,13280
288627460,129.702,131.226,13.82,16.74,69.16,0,0,0,0,0,0,0,494,5,87.1953,86.4138,13060
288640460,132.487,134.04,13.7,16.63,69.33,0,0,0,0,0,0,0,491,5,87.1719,86.3984,13000
288653320,122.828,124.24,12.13,14.92,61.43,0,0,0,0,0,0,0,490,5,87.1406,86.37,12860
288664960,131.008,132.571,11.69,14.5,59.65,0,0,0,0,0,0,0,489,5,87.1562,86.394,11640
288676620,130.486,132.019,11.68,14.4,59.76,0,0,0,0,0,0,0,491,5,87.2891,86.5593,11660
288688240,130.353,-5507.73,11.92,14.45,59.45,0,0,0,0,0,0,0,493,5,87.0703,86.3409,11620
288699880,-5498.43,133.068,11.7,14.58,59.58,0,0,0,0,0,0,0,491,5,87.4453,86.712,11640
288711560,130.581,132.114,11.89,14.58,59.34,0,0,0,0,0,0,0,491,5,87.1562,86.4275,11680
288723220,131.987,133.558,11.61,14.6,59.59,0,0,0,0,0,0,0,492,5,87.2109,86.4829,11660
288735000,125.033,126.499,11.79,14.45,59.67,0,0,0,0,0,0,0,491,5,87.2109,86.4767,11780
288745840,132.537,134.677,11.82,14.57,59.43,0,0,0,0,0,0,0,471,5,87.4141,86.6847,10840
288755960,112.421,113.919,7.94,10.07,40.47,0,0,0,0,0,0,0,474,5,87.2422,86.5062,10120
288765120,125.527,127.197,7.93,10.36,40.14,0,0,0,0,0,0,0,471,5,87.4766,86.7205,9160
288774400,121.812,123.418,7.95,10.17,40.39,0,0,0,0,0,0,0,474,5,87.4297,86.6733,9280
288783560,125.746,127.422,7.93,10.24,40.32,0,0,0,0,0,0,0,473,5,87.5,86.7453,9160
288792880,127.785,129.503,7.85,10.18,40.37,0,0,0,0,0,0,0,471,5,87.3203,86.5603,9320
288802060,96.5625,101.865,7.92,10.26,40.15,0,0,0,0,0,0,0,349,5,87.4219,86.6546,9180
288809160,66.4288,67.4873,8.96,17.08,33.38,0,0,0,0,0,0,0,349,5,63.0781,62.0834,7100
288815320,76.2412,77.4294,7.05,17.41,33.5601,0,0,0,0,0,0,0,349,5,2.30469,0.774888,6160
288821460,76.1976,77.3851,9.23,17.9,31.5701,0,0,0,0,0,0,0,350,5,2.30469,0.77616,6140
288827600,75.8579,76.9639,8.5,16.69,32.1501,0,0,0,0,0,0,0,347,5,2.29688,0.77616,6140
288833720,76.9392,78.0484,8.17,17.32,30.8201,0,0,0,0,0,0,0,349,5,2.3125,0.773591,6120
288839900,76.8591,78.241,7.82,16.7,32.9901,0,0,0,0,0,0,0,348,5,2.28906,0.773714,6180
288846120,74.9171,76.257,6.88,17.4,35.28,0,0,0,0,0,0,0,347,5,2.3125,0.776193,6220
288852220,77.7389,78.8316,9.92001,17.21,31.7601,0,0,0,0,0,0,0,346,5,2.30469,0.777408,6100
288857540,75.5316,77.1172,7.98,14.46,32.6001,0,0,0,0,0,0,0,347,5,2.3125,0.773786,5320
