Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
287118400,84.5262,86.375,4.43,24.11,15.09,0,0,0,0,0,0,0,378,5,79.6328,78.7755,12220
287130320,155.579,158.016,4.55,23.83,15.21,0,0,0,0,0,0,0,497,5,87.4688,86.7532,11920
287147120,131.962,133.574,0.11,8.17,0.02,0,0,50.29,0,41.01,0,0,496,5,87.4844,86.7193,16800
287163440,131.712,133.326,0.12,8.18,0,0,0,50.18,0,41.19,0,0,501,5,87.2891,86.5014,16320
287179220,136.547,138.228,0.11,8.28,0,0,0,50.11,0,41.11,0,0,500,5,87.2734,86.4866,15780
287195000,135.37,137.042,0.1,8.2,0.02,0,0,50.02,0,41.33,0,0,497,5,87.0625,86.2782,15780
287210680,140.628,142.394,0.11,8.12,0,0,0,50.28,0,40.95,0,0,499,5,87.2891,86.5035,15680
287226880,133.708,135.386,0.11,8.1,0.02,0,0,50.19,0,41.24,0,0,498,5,87.3125,86.5263,16200
287242780,133.246,134.906,0.1,8.16,0,0,0,50.3,0,41.16,0,0,501,5,87.0625,86.2741,15900
287258240,136.392,138.114,0.11,8.23,0,0,0,50.05,0,41.36,0,0,499,5,87.375,86.5958,15460
287273720,137.683,139.44,0.11,8.09,0.02,0,0,50.34,0,41.07,0,0,501,5,87.2188,86.4358,15480
287289340,137.3,139.064,0.09,8.18,0,0,0,49.92,0,41.48,0,0,501,5,87.25,86.4632,15620
287305100,136.861,138.625,0.11,8.17,0.03,0,0,50.51,0,40.73,0,0,500,5,87.3281,86.5398,15760
287320900,134.879,136.619,0.11,8.16,0,0,0,50.1,0,41.32,0,0,499,5,87.1875,86.4022,15800
287336500,135.354,137.331,0.11,8.16,0,0,0,50.26,0,41.11,0,0,499,5,87.2891,86.5052,15600
287350720,108.415,109.784,0.25,7.2,0.39,0,0,42.41,0,35.72,0,0,498,5,87.1562,86.3714,14220
287362100,135.951,137.647,0.27,7.1,0.37,0,0,42.54,0,35.59,0,0,499,5,87.4297,86.7174,11380
287373460,141.651,143.416,0.28,7.13,0.37,0,0,42.33,0,35.66,0,0,501,5,87.1875,86.483,11360
287385340,129.181,130.8,0.29,7.13,0.34,0,0,42.63,0,35.56,0,0,497,5,87.1719,86.4511,11880
287396620,136.401,138.088,0.27,7.14,0.34,0,0,42.44,0,35.75,0,0,498,5,87.1562,86.4572,11280
287408000,132.111,133.726,0.3,7.16,0.36,0,0,42.43,0,35.79,0,0,498,5,87.2891,86.5823,11380
287419100,137.857,139.57,0.31,7.06,0.38,0,0,42.35,0,35.86,0,0,498,5,87.2656,86.5591,11100
287430380,137.662,139.384,0.3,7.1,0.39,0,0,42.38,0,35.69,0,0,501,5,87.2969,86.5913,11280
287441840,133.125,135.573,0.3,7.14,0.34,0,0,42.36,0,35.74,0,0,484,5,87.3359,86.6231,11460
287453180,122.421,124.238,2.03,4.34,1.03,0,0,23.46,0,27.46,0,0,481,5,87.1641,86.445,11340
287464120,124.485,126.256,1.81,4.43,1.06,0,0,23.65,0,27.51,0,0,482,5,87.3359,86.6378,10940
287474780,134.582,136.558,1.87,4.42,1.07,0,0,23.72,0,27.29,0,0,480,5,87.4609,86.7678,10660
287486060,126.969,128.836,1.87,4.34,1.08,0,0,23.67,0,27.35,0,0,481,5,87.3438,86.6299,11280
287497100,124.607,128.05,1.73,4.44,1.07,0,0,23.97,0,27.09,0,0,414,5,87.375,86.6652,11040
287505180,59.5621,61.9489,9.44,19.31,29.44,0,0,0,0,0,0,0,349,5,87.4141,86.7019,8080
287511380,76.7767,78.0727,8.34,16.57,31.1001,0,0,0,0,0,0,0,349,5,9.13281,7.71516,6200
287517600,76.8596,78.314,8.95,17.39,31.9101,0,0,0,0,0,0,0,347,5,2.28125,0.77497,6220
287523880,75.0236,76.1688,7.85,20.11,29.75,0,0,0,0,0,0,0,349,5,2.28906,0.776242,6280
287530000,77.0891,78.3497,8.26,18.42,33.03,0,0,0,0,0,0,0,349,5,2.27344,0.77364,6120
287536180,76.6244,78.0182,10.66,16.83,28.4,0,0,0,0,0,0,0,348,5,2.30469,0.778722,6180
287542400,75.6274,76.7453,9.02,17.45,31.2101,0,0,0,0,0,0,0,347,5,2.28906,0.773714,6220
287548600,76.136,77.3501,6.95,20.08,30.7301,0,0,0,0,0,0,0,347,5,2.28125,0.772429,6200
287554600,76.8965,78.5378,9.23,16.3,27.3,0,0,0,0,0,0,0,346,5,2.29688,0.77873,6000
