Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
81949110,201.947,204.239,3.47,25.72,14.15,0,0,0,0,0,0,0,518,5,94.7344,94.3208,25420
81997150,136.049,-1226.84,1.95,1.72,0,0,0,94.35,0,1.72,0,0,517,5,99.0312,98.6535,48040
82041540,154.841,156.359,1.9,1.73,0.02,0,0,94.34,0,1.73,0,0,518,5,98.9141,98.5268,44390
82088040,144.431,145.847,1.89,1.75,0,0,0,94.48,0,1.7,0,0,518,5,98.8594,98.4652,46500
82133400,139.901,141.236,1.86,1.77,0,0,0,94.49,0,1.71,0,0,516,5,98.8828,98.4896,45360
82176360,-1374.04,152.879,1.96,1.75,0,0,0,94.35,0,1.76,0,0,517,5,98.8984,98.5043,42960
82220380,149.398,150.873,1.91,1.73,0,0,0,94.36,0,1.77,0,0,517,5,98.875,98.5073,44020
82264850,148.239,149.704,1.9,1.72,0,0,0,94.36,0,1.74,0,0,518,5,98.9062,98.4951,44470
82309380,148.939,150.413,1.89,1.75,0,0,0,94.42,0,1.7,0,0,517,5,98.8672,98.4762,44530
82354240,149.696,151.177,1.95,1.72,0,0,0,94.34,0,1.74,0,0,518,5,98.8906,98.4974,44860
82399670,142.935,144.346,1.93,1.73,0,0,0,94.47,0,1.72,0,0,520,5,98.875,98.5079,45430
82443540,147.226,-1345.1,1.85,1.74,0,0,0,94.47,0,1.73,0,0,519,5,98.8906,98.4775,43870
82479770,113.943,115.166,1.89,1.79,0,0,0,92.9,0,1.69,0,0,521,5,98.9062,98.5132,36230
82507670,147.956,149.436,1.91,1.79,0,0,0,92.8,0,1.72,0,0,519,5,98.8594,98.4786,27900
82531990,88.0826,93.1463,1.38,2.16,1.29,0,0,41.16,0,1.26,0,0,383,5,98.8516,98.4736,24320
82550190,76.8737,87.4475,0.06,1.73,2.52,0,0,1.32,0,0.05,0,0,371,5,99.2891,98.9504,18200
82558270,28.3667,29.1497,0,0,0,0,0,0,0,0,0,0,368,5,99.4844,99.1295,8080
82562970,100.987,102.309,7.55,19.01,30.0201,0,0,0,0,0,0,0,350,5,70.625,69.8821,4700
82569150,75.6239,76.8242,6.46,17.22,32.6801,0,0,0,0,0,0,0,350,5,2.61719,0.732978,6180
82575290,77.3342,78.5411,7.34,17.6,32.3701,0,0,0,0,0,0,0,351,5,2.28906,0.774878,6140
82581510,76.0657,77.2778,7.18,16.63,31.9201,0,0,0,0,0,0,0,350,5,2.28906,0.77498,6220
82587710,74.2755,75.3695,7.55,18.09,30.62,0,0,0,0,0,0,0,349,5,2.28906,0.77621,6200
82593770,77.7086,79.1215,7.97,18.6,30.94,0,0,0,0,0,0,0,352,5,2.27344,0.774793,6060
82600010,75.1252,76.3121,8.52,18.66,31.3901,0,0,0,0,0,0,0,348,5,2.28125,0.77498,6240
82606110,77.5916,78.9972,8.67,19.23,29.95,0,0,0,0,0,0,0,350,5,2.28906,0.776135,6100
82612320,76.2738,77.6145,9.16,19.13,29.46,0,0,0,0,0,0,0,349,5,2.28125,0.773726,6210
82618650,75.8331,76.9204,9.74,18.05,31.5101,0,0,0,0,0,0,0,349,5,2.28906,0.776266,6330
82620810,21.0413,21.4328,0,0,0,0,0,0,0,0,0,0,350,5,2.28125,0.77505,2160
