Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
77650100,150.391,152.575,3.82,24.54,14.38,0,0,0,0,0,0,0,497,5,94.7734,94.3572,24960
77688640,120.038,121.423,1.23,15.41,0.03,0,0,0,0,82.64,0,0,496,5,98.3672,97.991,38540
77726680,125.3,126.714,1.24,15.32,0.02,0,0,0,0,82.48,0,0,500,5,97.9844,97.6283,38040
77765860,114.359,115.684,1.25,15.39,0.02,0,0,0,0,82.81,0,0,499,5,98.0156,97.6074,39180
77802630,120.275,-1660.52,1.23,15.39,0,0,0,0,0,82.94,0,0,499,5,98,97.618,36770
77838940,121.669,123.064,1.21,15.42,0.04,0,0,0,0,82.69,0,0,500,5,97.9922,97.6109,36310
77875190,125.034,126.514,1.22,15.45,0.03,0,0,0,0,82.78,0,0,499,5,97.9922,97.6323,36250
77912430,-1636.23,125.016,1.21,15.35,0.02,0,0,0,0,82.86,0,0,499,5,98.0078,97.6,37240
77950240,119.401,120.794,1.15,15.38,0.03,0,0,0,0,82.74,0,0,500,5,97.9922,97.6095,37810
77987220,127.519,129.001,1.23,15.38,0.04,0,0,0,0,82.59,0,0,500,5,98,97.6128,36980
78025900,120.3,121.772,1.17,15.38,0.02,0,0,0,0,82.84,0,0,500,5,98,97.6157,38680
78064150,115.868,117.194,1.18,15.4,0.02,0,0,0,0,83.03,0,0,500,5,98.0078,97.6233,38250
78100570,127.348,128.856,1.22,15.32,0.04,0,0,0,0,82.53,0,0,500,5,97.9922,97.6032,36420
78138610,121.611,123.079,1.2,15.36,0.02,0,0,0,0,82.86,0,0,502,5,97.9922,97.6111,38040
78176640,115.424,116.749,1.24,15.38,0.02,0,0,0,0,82.83,0,0,500,5,98.0078,97.6229,38030
78212680,131.751,133.341,1.23,15.32,0.04,0,0,0,0,82.45,0,0,500,5,98.0078,97.6181,36040
78251710,121.583,122.969,1.25,15.36,0.03,0,0,0,0,82.74,0,0,501,5,98.0078,97.6224,39030
78290630,122.148,123.61,1.27,15.39,0.02,0,0,0,0,82.65,0,0,499,5,97.9922,97.6073,38920
78329670,121.914,-1555.26,1.22,15.33,0.02,0,0,0,0,82.81,0,0,500,5,97.9844,97.6042,39040
78368740,117.956,119.328,1.22,15.34,0.02,0,0,0,0,82.89,0,0,501,5,97.9922,97.6103,39070
78406590,122.158,123.543,1.19,15.37,0.03,0,0,0,0,82.61,0,0,500,5,98.0234,97.6399,37850
78444540,-1605.06,123.212,1.26,15.42,0.04,0,0,0,0,82.64,0,0,500,5,97.9688,97.5832,37950
78482500,116.646,118.019,1.22,15.43,0.03,0,0,0,0,82.81,0,0,499,5,98.0156,97.6328,37960
78518890,122.531,123.932,1.18,15.42,0.02,0,0,0,0,82.86,0,0,497,5,98.0234,97.6386,36390
78555440,123.04,124.538,1.18,15.41,0.02,0,0,0,0,82.93,0,0,500,5,97.9609,97.5777,36550
78592390,130.617,132.241,1.25,15.35,0.02,0,0,0,0,82.75,0,0,501,5,98.0078,97.6213,36950
78632040,114.927,116.387,1.21,15.4,0.03,0,0,0,0,82.85,0,0,502,5,97.9844,97.6031,39650
78669440,119.845,121.291,1.19,15.37,0.02,0,0,0,0,82.89,0,0,497,5,98.0078,97.627,37400
78706250,122.605,124.119,1.2,15.46,0.02,0,0,0,0,82.86,0,0,500,5,98.0078,97.6214,36810
78743320,132.433,134.067,1.21,15.35,0.03,0,0,0,0,82.6,0,0,498,5,98,97.6223,37070
78783640,119.698,121.207,1.23,15.37,0.03,0,0,0,0,82.74,0,0,497,5,98,97.6152,40320
78823270,108.937,110.301,1.25,15.42,0.03,0,0,0,0,82.79,0,0,499,5,98.0234,97.6399,39630
