Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
17495730,78.7389,80.6245,0.69,16.18,25.44,0,0,0,0,0,0,0,360,5,23.2812,21.923,8100
17503710,83.4511,85.6111,0.81,16.44,25.62,0,0,0,0,0,0,0,361,5,26.1953,24.861,7980
17511840,120.492,122.042,1.86,7.05,0,0,0,47.47,0,43.19,0,0,470,5,26.1484,24.8008,8130
17519630,121.275,122.879,1.72,6.94,0,0,0,47.84,0,43.14,0,0,473,5,26.0859,24.7433,7790
17527110,132.171,133.901,1.76,6.85,0.02,0,0,47.75,0,43.03,0,0,471,5,26.0938,24.758,7480
17534960,128.836,130.581,1.76,7.06,0.03,0,0,47.56,0,43.13,0,0,475,5,26.125,24.7688,7850
17542970,121.924,123.549,1.79,7.11,0.02,0,0,47.62,0,43.07,0,0,473,5,26.1328,24.7786,8010
17550720,130.586,132.322,1.78,6.86,0,0,0,47.61,0,43.27,0,0,474,5,26.0938,24.745,7750
17558740,127.286,129.018,1.73,7.23,0.13,0,0,47.22,0,42.65,0,0,475,5,26.1172,24.7679,8020
17566830,123.516,125.173,1.64,6.95,0.02,0,0,47.9,0,43.02,0,0,472,5,26.125,24.7757,8090
17574730,122.9,124.576,1.66,6.88,0,0,0,48.05,0,43.03,0,0,472,5,26.1094,24.76,7900
17582410,129.982,131.738,1.84,7.11,0.13,0,0,47.06,0,42.98,0,0,472,5,26.1016,24.7585,7680
17590300,126.908,128.604,1.77,6.59,0.02,0,0,47.69,0,43.3,0,0,472,5,26.1172,24.7624,7890
17598240,128.721,130.491,1.73,7.01,0.02,0,0,47.64,0,43.13,0,0,472,5,26.1406,24.7882,7940
17606320,123.67,125.341,1.72,6.85,0,0,0,47.66,0,43.34,0,0,474,5,26.1016,24.7486,8080
17614220,127.971,129.734,1.88,7.05,0.06,0,0,47.14,0,43.3,0,0,476,5,26.1172,24.7669,7900
17622230,121.248,122.892,1.89,6.72,0.02,0,0,48.31,0,42.68,0,0,472,5,26.125,24.7754,8010
17629910,137.178,139.054,1.76,7.05,0.04,0,0,47.74,0,42.62,0,0,473,5,26.1016,24.7569,7680
17638250,120.067,121.69,1.78,7,0.02,0,0,47.25,0,43.51,0,0,472,5,26.1406,24.7836,8340
17646170,119.021,120.646,1.7,7.12,0.02,0,0,47.59,0,43.32,0,0,474,5,26.1094,24.7593,7920
17653610,133.569,135.385,1.92,6.82,0,0,0,47.46,0,43.31,0,0,471,5,26.0859,24.7539,7440
17661480,124.63,126.344,1.8,6.92,0.03,0,0,47.47,0,43.38,0,0,473,5,26.1328,24.7721,7870
17669240,127.786,129.531,1.77,6.9,0.03,0,0,47.92,0,42.94,0,0,474,5,26.125,24.7795,7760
17677100,124.5,126.202,1.77,6.97,0,0,0,47.84,0,43.02,0,0,473,5,26.125,24.7741,7860
17684840,134.984,136.839,1.81,7.03,0.06,0,0,47.23,0,42.86,0,0,476,5,26.0938,24.7497,7740
17693110,117.699,119.293,1.71,6.9,0.02,0,0,47.78,0,43.26,0,0,474,5,26.1484,24.7966,8270
17700810,124.937,126.656,1.78,6.79,0,0,0,47.32,0,43.78,0,0,471,5,26.0547,24.7477,7700
17708430,126.573,128.274,1.72,6.89,0,0,0,48.06,0,42.93,0,0,474,5,26.1328,24.7539,7620
17716030,126.603,128.339,1.95,6.9,0,0,0,47.06,0,43.71,0,0,475,5,26.1016,24.7512,7600
17723640,125.54,127.227,1.73,7.01,0,0,0,47.61,0,43.33,0,0,474,5,26.1172,24.7746,7610
17731250,134.293,136.133,1.84,6.73,0,0,0,47.54,0,43.43,0,0,474,5,26.1094,24.7709,7610
17739340,125.482,127.191,1.65,6.85,0,0,0,47.6,0,43.39,0,0,473,5,26.1094,24.7612,8090
17747340,122.989,124.644,1.81,7.08,0,0,0,47.66,0,42.94,0,0,475,5,26.1172,24.7714,8000
17755100,124.903,126.601,2,6.86,0.02,0,0,47.73,0,43.02,0,0,472,5,26.125,24.7828,7760
17762770,136.505,138.372,1.64,7.58,0.24,0,0,47.1,0,42.29,0,0,473,5,26.0859,24.7447,7670
17771060,119.433,121.073,1.81,6.81,0.02,0,0,47.76,0,43.14,0,0,473,5,26.1172,24.7569,8290
17778900,124.138,125.827,1.85,6.87,0,0,0,47.75,0,43.11,0,0,474,5,26.1328,24.7725,7840
17786590,126.281,128.003,1.76,6.99,0,0,0,47.93,0,42.97,0,0,473,5,26.0859,24.744,7690
17794260,136.327,138.188,1.78,6.83,0,0,0,46.86,0,43.84,0,0,472,5,26.1562,24.8156,7670
17802530,121.926,123.595,1.67,6.69,0.04,0,0,47.74,0,43.38,0,0,474,5,26.0859,24.7342,8270
17810520,124.744,126.463,1.78,6.74,0.03,0,0,47.81,0,43.14,0,0,473,5,26.1016,24.8116,7990
