Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
277911620,89.2538,91.1572,2.57,23.48,15.77,0,0,0,0,0,0,0,445,5,17.9688,16.5559,8940
277920400,99.511,100.934,13.43,3.46,82.4,0,0,0,0,0,0,0,444,5,19.9766,18.5751,8780
277927900,113.871,115.553,13.33,3.4,82.76,0,0,0,0,0,0,0,445,5,19.9219,18.5537,7500
277935340,120.174,121.992,13.18,3.48,82.52,0,0,0,0,0,0,0,444,5,19.8359,18.4636,7440
277943060,113.893,115.56,13.16,3.4,82.68,0,0,0,0,0,0,0,445,5,19.9062,18.532,7720
277950620,115.189,116.887,13.18,3.51,82.58,0,0,0,0,0,0,0,444,5,19.9219,18.5495,7560
277958180,110.16,111.753,13.37,3.57,82.5,0,0,0,0,0,0,0,444,5,19.9219,18.5474,7560
277965440,121.719,123.531,13.19,3.43,82.59,0,0,0,0,0,0,0,444,5,19.8359,18.4849,7260
277973060,118.711,120.474,13.12,3.39,82.47,0,0,0,0,0,0,0,444,5,19.8906,18.5271,7620
277980900,109.953,111.542,13.15,3.48,82.62,0,0,0,0,0,0,0,448,5,19.8594,18.4909,7840
277988380,117.446,119.117,13.34,3.52,82.44,0,0,0,0,0,0,0,447,5,19.8984,18.5326,7480
277995900,116.381,118.052,13.33,3.4,82.6,0,0,0,0,0,0,0,445,5,19.8906,18.5253,7520
278003460,114.948,116.653,13.33,3.3,82.72,0,0,0,0,0,0,0,445,5,19.9141,18.5444,7560
278011000,116.991,118.712,13.25,3.41,82.54,0,0,0,0,0,0,0,446,5,19.9062,18.5365,7540
278018660,116.38,-8437.08,13.34,3.34,82.43,0,0,0,0,0,0,0,444,5,19.875,18.5087,7660
278026320,115.289,117.024,13.4,3.57,82.4,0,0,0,0,0,0,0,444,5,19.8594,18.494,7660
278033900,114.95,116.666,13.38,3.33,82.47,0,0,0,0,0,0,0,448,5,19.9531,18.5829,7580
278041500,115.613,117.336,13.23,3.43,82.62,0,0,0,0,0,0,0,446,5,19.9297,18.5557,7600
278049040,115.1,116.835,13.2,3.42,82.53,0,0,0,0,0,0,0,444,5,19.8906,18.5167,7540
278056540,111.925,113.6,13.18,3.51,82.68,0,0,0,0,0,0,0,447,5,19.9141,18.5354,7500
278063840,120.659,122.445,13.39,3.36,82.54,0,0,0,0,0,0,0,445,5,19.8359,18.4742,7300
278071500,116.68,118.405,13.21,3.37,82.62,0,0,0,0,0,0,0,445,5,19.9219,18.5475,7660
278079180,114.022,115.712,13.47,3.32,82.53,0,0,0,0,0,0,0,448,5,19.9062,18.5294,7680
278086760,118.055,119.833,13.09,3.51,82.53,0,0,0,0,0,0,0,445,5,19.9141,18.5464,7580
278094440,110.805,112.429,13.4,3.43,82.65,0,0,0,0,0,0,0,445,5,19.8906,18.5158,7680
278101880,116.545,118.253,13.31,3.69,82.31,0,0,0,0,0,0,0,446,5,19.8672,18.5069,7440
278109380,117.797,119.566,13.33,3.36,82.58,0,0,0,0,0,0,0,445,5,19.8516,18.4896,7500
278117000,110.458,112.09,13.21,3.38,82.93,0,0,0,0,0,0,0,447,5,19.9453,18.5675,7620
278124340,122.662,124.502,13.25,3.36,82.52,0,0,0,0,0,0,0,445,5,19.8828,18.5257,7340
278131960,116.859,118.719,13.18,3.39,82.61,0,0,0,0,0,0,0,444,5,19.8984,18.5321,7620
278138600,80.2934,80.801,0.58,1.95,6.58,0,0,0,0,0,0,0,350,5,19.8594,18.4859,6640
278145380,70.0748,71.073,6.68,20.19,30.95,0,0,0,0,0,0,0,349,5,7.80469,5.93775,6780
278151620,76.5647,77.7633,8.17,17.44,30.2001,0,0,0,0,0,0,0,349,5,2.28906,0.776242,6240
278157820,76.3801,77.7148,8.93,18.65,29.43,0,0,0,0,0,0,0,348,5,2.28906,0.776193,6200
278160280,29.4517,30.169,0,0,0,0,0,0,0,0,0,0,348,5,2.28906,0.773714,2460
