Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
21165510,78.9359,80.8236,0.8,29.32,12.44,0,0,0,0,0,0,0,371,5,45.6172,44.4589,9500
21174460,122.849,125.079,0.84,29.44,12.49,0,0,0,0,0,0,0,476,5,50.7578,49.6377,8950
21185560,113.597,114.98,8.74,7.94,0,0,0,0,0,83.01,0,0,479,5,50.7578,49.605,11100
21195160,135.67,137.346,8.61,7.91,0.04,0,0,0,0,82.84,0,0,482,5,50.6641,49.5033,9600
21205060,136.942,138.653,8.77,7.73,0.02,0,0,0,0,82.94,0,0,479,5,50.6719,49.5249,9900
21215370,-6235.15,122.576,8.73,8.14,0.06,0,0,0,0,82.42,0,0,479,5,50.6562,49.5006,10310
21224860,143.903,145.729,8.75,7.85,0.03,0,0,0,0,82.62,0,0,479,5,50.6719,49.5245,9490
21235240,126.128,127.745,8.71,7.83,0.02,0,0,0,0,82.91,0,0,481,5,50.6562,49.5002,10380
21245170,123.66,125.227,8.69,7.91,0.03,0,0,0,0,83.08,0,0,480,5,50.6641,49.5088,9930
21254490,140.436,142.208,8.77,7.81,0.04,0,0,0,0,82.79,0,0,481,5,50.6562,49.5143,9320
21264440,129.073,130.718,8.85,7.82,0.02,0,0,0,0,82.94,0,0,478,5,50.6562,49.5001,9950
21274210,132.732,134.425,8.66,7.9,0.02,0,0,0,0,82.95,0,0,481,5,50.6641,49.5149,9770
21284040,121.139,122.668,8.76,7.69,0,0,0,0,0,83.33,0,0,480,5,50.6641,49.5093,9830
21293090,142.189,143.998,8.79,7.91,0.02,0,0,0,0,82.86,0,0,481,5,50.6797,49.5325,9050
21302870,135.976,137.721,8.69,7.84,0.04,0,0,0,0,82.74,0,0,479,5,50.6484,49.5002,9780
21312960,133.268,134.955,8.65,8.04,0.14,0,0,0,0,82.36,0,0,481,5,50.6484,49.4964,10090
21323160,130.473,-6292.62,8.83,7.9,0.03,0,0,0,0,82.61,0,0,479,5,50.6797,49.5149,10200
21333270,123.173,124.754,8.78,7.86,0,0,0,0,0,83.04,0,0,482,5,50.6875,49.5347,10110
21342710,142.639,144.454,8.77,7.88,0.03,0,0,0,0,82.67,0,0,483,5,50.6484,49.504,9440
21352940,131.491,133.19,8.65,7.73,0.02,0,0,0,0,83.08,0,0,480,5,50.6562,49.499,10230
21363140,126.588,128.19,8.83,7.8,0.02,0,0,0,0,82.93,0,0,482,5,50.6797,49.5225,10200
21372940,133.988,135.717,8.74,7.9,0.02,0,0,0,0,82.85,0,0,481,5,50.6875,49.5348,9800
21382910,138.174,139.97,8.6,7.82,0.08,0,0,0,0,82.92,0,0,481,5,50.6328,49.4742,9970
21393360,124.126,125.742,8.67,7.78,0.03,0,0,0,0,83.07,0,0,481,5,50.6719,49.5175,10450
21403210,135.789,137.54,8.71,7.9,0.05,0,0,0,0,82.83,0,0,481,5,50.6641,49.5098,9850
21413360,128.773,130.44,8.69,7.81,0.02,0,0,0,0,82.92,0,0,481,5,50.6719,49.5143,10150
21423350,131.456,133.148,8.83,7.89,0,0,0,0,0,82.95,0,0,481,5,50.6797,49.5243,9990
21433250,138.109,139.881,8.75,8,0.03,0,0,0,0,82.5,0,0,482,5,50.6484,49.504,9900
21443640,126.189,127.818,8.92,7.69,0,0,0,0,0,83.01,0,0,479,5,50.6953,49.5329,10390
21453590,137.446,139.236,8.72,7.98,0.08,0,0,0,0,82.2,0,0,480,5,50.6875,49.5364,9950
21463970,126.981,128.661,8.72,7.77,0,0,0,0,0,83.14,0,0,479,5,50.6328,49.4737,10380
21473990,125.586,126.767,7.51,5.77,0.51,0,0,0,0,64.87,0,0,473,5,50.7109,49.5587,10020
21483630,124.923,126.507,7,4.96,0.81,0,0,0,0,57.97,0,0,460,5,50.7031,49.5502,9640
21492010,61.4265,67.2262,0.55,1.79,2.41,0,0,0,0,3.24,0,0,351,5,50.7344,49.5893,8380
21498370,74.3907,75.5604,7.65,18.2,33.2001,0,0,0,0,0,0,0,350,5,24.8125,23.2082,6360
21504580,77.5362,78.6943,9.21,17.67,32.5001,0,0,0,0,0,0,0,350,5,2.28906,0.77497,6210
21510990,74.2712,75.3434,8.94,17.83,30.01,0,0,0,0,0,0,0,349,5,2.28125,0.776344,6410
21517140,75.7889,76.9604,7.86,18.52,30.1001,0,0,0,0,0,0,0,350,5,2.28125,0.774939,6150
21522520,76.8602,78.5421,7.38,17.37,30.05,0,0,0,0,0,0,0,348,5,2.27344,0.77495,5380
