Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
41860480,81.8846,83.7677,7.89,9.73,25.54,0,0,0,0,0,0,0,378,5,68.0859,67.1345,10710
41870510,148.258,-6382.96,7.54,10.71,25.35,0,0,0,0,0,0,0,476,5,75.3516,74.4636,10030
41887370,112.231,113.616,14.95,16.58,0,0,0,0,0,68.26,0,0,477,5,75.3438,74.4225,16860
41902070,136.199,137.905,14.81,16.58,0,0,0,0,0,68.16,0,0,476,5,75.3438,74.4372,14700
41917570,125.627,127.2,14.76,16.38,0,0,0,0,0,68.57,0,0,480,5,75.3672,74.4584,15500
41932710,122.547,124.103,15.08,16.53,0,0,0,0,0,68.2,0,0,477,5,75.3047,74.3997,15140
41947090,137.568,139.323,14.88,16.61,0,0,0,0,0,68.25,0,0,479,5,75.3359,74.4366,14380
41962400,120.602,122.125,14.94,16.49,0,0,0,0,0,68.36,0,0,481,5,75.3438,74.425,15310
41976750,131.295,132.972,14.92,16.52,0,0,0,0,0,68.3,0,0,478,5,75.3047,74.404,14350
41991320,126.429,128.04,14.79,16.42,0,0,0,0,0,68.59,0,0,479,5,75.3438,74.4397,14570
42005600,-4456.87,133.927,14.8,16.6,0,0,0,0,0,68.38,0,0,477,5,75.3125,74.4113,14280
42020220,130.965,132.642,14.73,16.52,0,0,0,0,0,68.5,0,0,479,5,75.3281,74.4245,14620
42035070,130.682,132.363,14.69,16.53,0,0,0,0,0,68.47,0,0,476,5,75.3438,74.4414,14850
42050120,127.031,128.663,14.81,16.56,0,0,0,0,0,68.41,0,0,480,5,75.3359,74.4348,15050
42064900,132.322,134.017,14.89,16.56,0,0,0,0,0,68.27,0,0,478,5,75.3125,74.4145,14780
42080070,128.833,130.494,14.76,16.6,0,0,0,0,0,68.35,0,0,479,5,75.3594,74.4458,15170
42095170,134.765,136.504,14.88,16.39,0,0,0,0,0,68.35,0,0,477,5,75.3438,74.4387,15100
42110970,121.637,123.204,14.87,16.47,0,0,0,0,0,68.48,0,0,480,5,75.3281,74.4214,15800
42125810,128.48,130.12,14.68,16.5,0,0,0,0,0,68.6,0,0,477,5,75.3203,74.4151,14840
42140580,128.234,129.897,14.85,16.68,0,0,0,0,0,68.27,0,0,479,5,75.3359,74.424,14770
42155280,128.038,129.69,14.93,16.53,0,0,0,0,0,68.35,0,0,479,5,75.3594,74.46,14700
42169870,131.68,133.364,14.75,16.54,0,0,0,0,0,68.48,0,0,477,5,75.3438,74.4379,14590
42184730,124.778,126.388,14.61,16.62,0,0,0,0,0,68.64,0,0,478,5,75.2891,74.3882,14860
42199110,137.41,139.177,14.87,16.68,0,0,0,0,0,68.11,0,0,477,5,75.3594,74.4581,14380
42214390,124.431,126.026,14.93,16.6,0,0,0,0,0,68.28,0,0,480,5,75.3281,74.423,15280
42229140,130.559,132.228,14.99,16.34,0,0,0,0,0,68.44,0,0,480,5,75.3125,74.4097,14750
42244080,128.853,130.502,14.87,16.58,0,0,0,0,0,68.31,0,0,479,5,75.3516,74.4533,14940
42258980,133.614,135.318,14.91,16.65,0,0,0,0,0,68.14,0,0,477,5,75.3047,74.3848,14900
42274370,126.089,127.713,14.91,16.48,0,0,0,0,0,68.28,0,0,479,5,75.3672,74.4545,15390
42289400,129.925,131.589,15.08,16.45,0,0,0,0,0,68.18,0,0,479,5,75.3047,74.3948,15030
42304520,126.173,127.787,14.73,16.74,0,0,0,0,0,68.25,0,0,479,5,75.3438,74.4383,15120
42319290,134.757,136.484,14.72,16.71,0,0,0,0,0,68.15,0,0,479,5,75.3516,74.4381,14770
42334750,125.784,127.324,14.6,16.32,0,0,0,0,0,67.83,0,0,480,5,75.3203,74.4122,15460
42349760,121.999,123.552,14.89,16.34,0,0,0,0,0,67.48,0,0,477,5,75.4062,74.5018,15010
42363420,114.094,120.596,10.65,12.1,0.76,0,0,0,0,48.22,0,0,384,5,75.3281,74.4262,13660
42373090,49.5007,50.6132,6.82,19.32,30.1701,0,0,0,0,0,0,0,351,5,75.3516,74.4629,9670
42379310,75.7084,76.8589,7.13,20.18,31.26,0,0,0,0,0,0,0,352,5,3.72656,2.23625,6220
42385470,77.2068,-10560,6.76,18.57,30.84,0,0,0,0,0,0,0,349,5,2.28125,0.773653,6160
42391710,75.2823,76.4242,7.23,19.67,30.55,0,0,0,0,0,0,0,350,5,2.28906,0.776242,6240
42397890,76.0353,77.2726,8.97,15.86,31.4001,0,0,0,0,0,0,0,352,5,2.28906,0.774919,6180
42404020,77.2201,78.6423,9.35,18.1,30.0701,0,0,0,0,0,0,0,350,5,2.28906,0.776169,6130
42410270,74.6988,76.0295,7.37,16.75,32.5301,0,0,0,0,0,0,0,348,5,2.28906,0.77498,6250
42416440,76.8005,77.8849,7.98,19.25,29.47,0,0,0,0,0,0,0,350,5,2.28125,0.774919,6170
