Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
456010920,61.5419,65.2523,5.12,0,0.35,0,0,56.1899,0.6,12.04,0,0,348,5,2.85156,1.31402,7200
456016640,78.138,83.0693,4.33,0.15,0.65,0,0,55.0999,0.55,12.59,0,0,346,5,3.05469,1.54487,5720
456022400,81.385,84.7561,5.43,0.3,0.48,0,0,54.13,0.88,12.81,0,0,363,5,3.04688,1.55165,5760
456028320,-10982.5,89.1107,5.07,2.38,0.91,0,0,52.1099,0.75,11.45,0,0,362,5,3.05469,1.55453,5920
456034600,79.419,81.1679,5.67,0.35,1.1,0,0,55.0599,0.65,10.28,0,0,357,5,3.07031,1.55379,6280
456040640,78.1945,79.8201,5.95,0.15,0.2,0,0,54.5399,0.65,13.64,0,0,364,5,3.0625,1.55222,6040
456046440,82.6268,84.4141,5.42,0.2,0.35,0,0,55.8799,0.34,13.02,0,0,361,5,3.02344,1.5423,5800
456052320,81.8167,83.5585,5.05,0.24,0.15,0,0,56.8599,0.5,12.64,0,0,363,5,3.05469,1.55447,5880
456058200,82.8489,84.6401,5.25,0.1,0.3,0,0,56.5599,0.45,12.28,0,0,365,5,3.03906,1.55054,5880
456064120,84.9422,86.7722,5.56,0.4,0.55,0,0,55,0.81,12.98,0,0,363,5,3.0625,1.5559,5920
456070200,80.7936,82.5015,4.8,0.31,0.59,0,0,56,0.47,13.05,0,0,364,5,3.0625,1.54973,6080
456076200,79.7089,81.4062,5.69,0.29,0.45,0,0,52.7999,0.85,13.73,0,0,367,5,3.04688,1.54688,6000
456082080,85.3719,87.2449,6,0.25,0.44,0,0,55.0799,0.55,12.68,0,0,353,5,3.04688,1.54912,5880
456088200,81.2541,83.0487,5.63,0.15,0.25,0,0,52.5399,0.3,13.66,0,0,361,5,3.03906,1.55229,6120
456094240,82.8476,84.6169,5.08,0.15,0.6,0,0,54.2199,0.9,12.99,0,0,359,5,3.08594,1.55603,6040
456100360,81.4796,83.2031,5.36,0.15,0.47,0,0,55.4899,0.5,11.87,0,0,362,5,3.03125,1.53713,6120
456106440,80.3829,82.118,5.68,0.15,0.1,0,0,55.1999,0.84,13.39,0,0,364,5,3.07812,1.55991,6080
456112400,83.6139,85.4105,5.03,0.49,0.35,0,0,54.27,0.6,12.69,0,0,357,5,3.04688,1.54939,5960
456118440,80.117,81.8353,4.99,0.3,0.25,0,0,56.8999,0.65,13.59,0,0,364,5,3.05469,1.55094,6040
456124360,85.5704,87.4459,4.69,0.38,0.35,0,0,55.5699,0.61,13.47,0,0,360,5,3.03906,1.54666,5920
456130520,78.8877,80.5563,4.81,0.1,0.39,0,0,56.4199,0.45,12.15,0,0,363,5,3.08594,1.56378,6160
456136440,82.2691,84.049,5.43,0.3,0.2,0,0,54.9699,0.6,13.57,0,0,362,5,3.03906,1.54284,5920
456142360,84.0225,85.8471,5.99,0.1,0.25,0,0,53.43,0.75,13.71,0,0,365,5,3.0625,1.5559,5920
456148480,81.7308,83.5446,5.72,0.31,0.4,0,0,56.31,0.6,11.88,0,0,362,5,3.04688,1.54965,6120
456154560,80.0144,81.7274,5.55,0.1,0.3,0,0,55.0199,0.55,12.66,0,0,358,5,3.07031,1.55479,6080
456160480,84.8514,86.6587,5.18,0.1,0.69,0,0,54.5899,0.4,13.72,0,0,363,5,3.03125,1.54284,5920
456166640,78.3428,80.0293,5.58,0.25,0.3,0,0,56.16,0.59,12.62,0,0,360,5,3.05469,1.54973,6160
456172480,87.0256,88.9247,5.04,0.1,0.2,0,0,54.5199,0.55,12.38,0,0,361,5,3.05469,1.55586,5840
456178640,78.1694,79.8283,6.43,0.1,0.2,0,0,56.7799,0.3,11.77,0,0,361,5,3.07031,1.55362,6160
456184520,86.1302,88.0288,6.15,0.2,0.59,0,0,54.3299,0.79,13.09,0,0,366,5,3.04688,1.54788,5880
456190680,79.9331,-10556.7,5.94,0.04,0.5,0,0,54.6199,1.15,12.41,0,0,365,5,3.0625,1.55235,6160
456192600,21.6746,22.4299,0,0,0,0,0,0,0,0,0,0,349,5,2.98438,1.47656,1920
