Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
9851000,76.3767,76.9919,8.73,15.49,27.84,0,0,0,0,0,0,0,350,5,2.23438,0.66884,6950
9857960,75.4243,76.0585,7.61,16.85,26.83,0,0,0,0,0,0,0,350,5,2.34375,0.77563,6960
9864840,85.1385,77.3023,14.77,19.37,27.7,0,0,0,0,0,0,0,365,5,2.33594,0.774447,6880
9871790,76.2742,66.6145,8.51,6.47,81.13,0,0,0,0,0,0,0,347,5,2.32812,0.774476,6950
9877790,89.8522,78.4385,8.81,6.97,76.42,0,0,0,0,0,0,0,364,5,2.29688,0.773463,6000
9883920,81.0502,70.7847,11.11,4.17,84.15,0,0,0,0,0,0,0,367,5,2.29688,0.774867,6130
9889570,93.3265,81.4505,9.95,6.74,79.61,0,0,0,0,0,0,0,367,5,2.26562,0.775719,5650
9895550,81.6824,71.2162,9.87,6.85,83.09,0,0,0,0,0,0,0,365,5,2.28125,0.773424,5980
9901090,95.352,83.1933,9.06,6.25,79,0,0,0,0,0,0,0,364,5,2.25781,0.775609,5540
9907090,81.0166,71.5983,9.44,5.06,84.92,0,0,0,0,0,0,0,365,5,2.28906,0.773438,6000
9912680,95.9973,84.6203,9.98,5.75,74.31,0,0,0,0,0,0,0,364,5,2.26562,0.77566,5590
9918840,87.6747,77.1259,8.92,6.59,72.63,0,0,0,0,0,0,0,349,5,2.29688,0.774898,6160
9925010,89.2448,78.6961,7.45,7.09,68.5299,0,0,0,0,0,0,0,361,5,2.29688,0.772415,6170
9931340,85.5716,75.4628,8.39,7.15,69.2199,0,0,0,0,0,0,0,365,5,2.29688,0.775059,6330
9937540,88.2126,77.8412,9.2,7.52,70.6199,0,0,0,0,0,0,0,363,5,2.28906,0.77497,6200
9943820,87.1638,77.0819,7.89,7.47,71.4699,0,0,0,0,0,0,0,364,5,2.29688,0.773786,6280
9950130,85.1928,75.5101,8.15,8.56,72.8299,0,0,0,0,0,0,0,365,5,2.29688,0.776282,6310
9956300,86.5257,76.4144,8.83,6.46,75.17,0,0,0,0,0,0,0,364,5,2.29688,0.773677,6170
9962450,80.9683,71.27,11.22,6.25,81.36,0,0,0,0,0,0,0,366,5,2.28906,0.776144,6150
9968160,84.5874,75.0441,11.61,4.47,83.71,0,0,0,0,0,0,0,349,5,2.25781,0.771706,5710
9973720,95.7189,84.6627,8.57,7.27,72.2899,0,0,0,0,0,0,0,347,5,2.26562,0.77563,5560
9979860,85.7807,75.6877,8.94,6.27,76.52,0,0,0,0,0,0,0,364,5,2.28906,0.776152,6140
9985880,88.6806,77.9346,9.45,5.64,76.75,0,0,0,0,0,0,0,364,5,2.28125,0.772196,6020
9992000,83.8143,73.3159,11.54,6.78,79.74,0,0,0,0,0,0,0,365,5,2.28906,0.776127,6120
9997830,83.3006,73.6348,11.43,6.44,81.75,0,0,0,0,0,0,0,364,5,2.27344,0.773223,5830
10003420,96.4334,84.8009,9,7.15,73.13,0,0,0,0,0,0,0,348,5,2.25781,0.774262,5590
10009590,87.1784,77.0399,8.96,7.56,73.0799,0,0,0,0,0,0,0,369,5,2.28906,0.774909,6170
10015750,87.2273,77.0476,9.89,6.96,71.7699,0,0,0,0,0,0,0,365,5,2.28906,0.774919,6160
10021940,87.4533,77.3589,8.56,7.17,73.63,0,0,0,0,0,0,0,364,5,2.28906,0.774929,6190
10028170,85.4462,75.7443,6.99,7.6,75.2599,0,0,0,0,0,0,0,364,5,2.28906,0.773726,6230
10034300,86.1421,76.1037,9.21,7.54,71.99,0,0,0,0,0,0,0,365,5,2.28906,0.774878,6130
10040360,82.2781,72.5563,11.22,7.24,80.78,0,0,0,0,0,0,0,364,5,2.28906,0.774804,6060
10046070,85.578,75.6376,9.83,7.06,82.41,0,0,0,0,0,0,0,365,5,2.27344,0.775777,5710
10051700,94.4469,83.3301,8.45,6.27,74.6299,0,0,0,0,0,0,0,365,5,2.25781,0.771554,5630
10057790,89.2238,78.6336,7.76,7.17,71.8099,0,0,0,0,0,0,0,350,5,2.28906,0.774836,6090
10064010,86.1532,75.9854,7.79,7.76,72.02,0,0,0,0,0,0,0,365,5,2.28906,0.77498,6220
10070180,88.0929,77.6388,9.09,7.49,72.1799,0,0,0,0,0,0,0,364,5,2.28906,0.774909,6170
10076400,87.419,77.08,8.6,8.07,67.8599,0,0,0,0,0,0,0,365,5,2.28906,0.77496,6220
10082620,88.2103,77.7658,8.32,8.67,69.2499,0,0,0,0,0,0,0,347,5,2.29688,0.773726,6220
10088920,87.1385,76.994,8.17,8.64,71.4799,0,0,0,0,0,0,0,368,5,2.29688,0.77505,6300
10095220,85.0868,75.2809,8.96,6.79,73.6999,0,0,0,0,0,0,0,366,5,2.30469,0.77504,6300
10101380,85.9527,75.7229,9.34,5.97,77.68,0,0,0,0,0,0,0,365,5,2.28906,0.773665,6160
10107450,81.8626,72.4349,11.38,6.95,80.89,0,0,0,0,0,0,0,363,5,2.28906,0.774804,6070
10113150,88.7747,78.8192,10.13,5.87,81.86,0,0,0,0,0,0,0,365,5,2.26562,0.773041,5700
10118990,91.3474,80.8306,8.06,6.88,73.8199,0,0,0,0,0,0,0,364,5,2.28125,0.77589,5840
10125150,86.8494,76.8295,8.32,7.47,74.2799,0,0,0,0,0,0,0,365,5,2.28906,0.774898,6160
10131290,86.8823,76.3125,9.95,7.26,74.49,0,0,0,0,0,0,0,347,5,2.28906,0.774898,6140
10137400,87.0001,76.5842,9.16,7.05,78.02,0,0,0,0,0,0,0,365,5,2.28906,0.773566,6110
10143470,80.3819,70.6246,10.81,6.19,82.5,0,0,0,0,0,0,0,363,5,2.28125,0.774825,6070
