Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
10177420,75.3563,75.9836,8.3,17.14,27.04,0,0,0,0,0,0,0,349,5,2.21875,0.670929,6950
10184290,78.1796,78.8676,8.36,15.34,28.33,0,0,0,0,0,0,0,350,5,2.3125,0.775564,6870
10191340,83.1217,75.1175,16.49,22.48,31.19,0,0,0,0,0,0,0,364,5,2.32031,0.773493,7050
10198220,72.524,62.873,8.76,7.63,0.6,0,0,0,0,82.82,0,0,365,5,2.32031,0.775572,6880
10203840,96.0972,83.5986,7.59,7.95,2.07,0,0,0,0,75.39,0,0,364,5,2.26562,0.774312,5620
10209970,80.883,70.4501,8.54,7.4,0.6,0,0,0,0,83.05,0,0,364,5,2.28125,0.774857,6130
10215590,94.4242,81.7692,8.02,8.65,1.44,0,0,0,0,78.21,0,0,365,5,2.27344,0.774312,5620
10221570,81.8869,71.2773,8.17,6.8,0.17,0,0,0,0,84.73,0,0,364,5,2.28125,0.776016,5980
10227110,94.7202,82.2237,9.11,7.58,1.1,0,0,0,0,78.73,0,0,366,5,2.27344,0.774199,5540
10233040,82.8902,72.373,8.97,7.06,0,0,0,0,0,83.55,0,0,366,5,2.28906,0.773332,5930
10238620,87.4965,76.7417,9.64,7.16,0.4,0,0,0,0,82.6,0,0,363,5,2.26562,0.772879,5580
10244200,90.8056,80.0018,9.34,7.63,0.8,0,0,0,0,81.06,0,0,364,5,2.26562,0.77844,5580
10250010,93.7083,81.8511,8.02,9.61,3.29,0,0,0,0,67.3,0,0,365,5,2.26562,0.771854,5810
10256190,82.0363,71.8105,8.44,7.24,0.35,0,0,0,0,82.39,0,0,365,5,2.28906,0.774929,6180
10261960,84.941,74.3291,10.04,7.15,0.3,0,0,0,0,82.1,0,0,366,5,2.26562,0.774492,5770
10267550,96.7443,85.092,8.52,6.56,2.23,0,0,0,0,78.07,0,0,369,5,2.26562,0.77425,5590
10273730,86.4779,75.8653,6.7,8.66,3.38,0,0,0,0,70.06,0,0,350,5,2.28906,0.773677,6180
