Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
10466050,77.2556,77.9079,8.25,15.28,27.61,0,0,0,0,0,0,0,349,5,2.21094,0.671581,6900
10473050,75.3756,76.0407,8.09,13.15,29.8401,0,0,0,0,0,0,0,349,5,2.32031,0.773438,7000
10479970,83.6821,75.8477,14.75,22.3,29.22,0,0,0,0,0,0,0,365,5,2.32031,0.775597,6920
10486790,72.1288,62.5185,3.86,5.87,0.2,0,0,47.14,0,42.67,0,0,369,5,2.3125,0.774387,6820
10492340,99.1247,86.2657,4.17,5.68,1.91,0,0,36.21,0,43.18,0,0,365,5,2.25781,0.774212,5550
10498560,78.8087,68.5351,3.77,6.46,0,0,0,44.5,0,45.28,0,0,349,5,2.28906,0.77497,6220
10504100,98.5522,85.5126,2.77,5.9,3.28,0,0,37.72,0,43.09,0,0,365,5,2.26562,0.775609,5540
10510270,78.6786,68.8518,4.1,5.08,0,0,0,44.8,0,45.89,0,0,365,5,2.28906,0.774909,6170
10515780,89.6636,77.7187,4.35,5.96,0.1,0,0,42.62,0,46.78,0,0,349,5,2.26562,0.774173,5510
10521350,97.7353,85.6784,2.91,6.21,5.79,0,0,35.4,0,34.53,0,0,366,5,2.25781,0.774237,5570
10527560,87.0388,76.6088,4.31,6.89,2.67,0,0,36.97,0,38.01,0,0,365,5,2.28906,0.77496,6210
10533750,78.0568,69.0712,4.58,5.96,0.2,0,0,42.53,0,46.34,0,0,365,5,2.29688,0.773677,6190
10539300,87.5379,77.3126,3.37,5.27,0.2,0,0,44.52,0,46.28,0,0,364,5,2.25781,0.775619,5550
10544890,87.2168,76.9229,3.38,5.81,0.3,0,0,43.24,0,47.07,0,0,364,5,2.25781,0.77565,5590
10550490,86.8299,76.5206,3.28,5.07,0.3,0,0,44.57,0,46.7,0,0,368,5,2.25781,0.772894,5600
10556070,87.6923,77.1808,4.48,5.26,0.1,0,0,42.47,0,46.99,0,0,365,5,2.25781,0.77564,5580
10561650,90.8747,79.9978,3.71,5.24,0.75,0,0,44.76,0,43.6,0,0,366,5,2.25781,0.772865,5580
10567460,93.8103,82.2059,3.54,6.77,4.15,0,0,33.61,0,41.14,0,0,366,5,2.28125,0.775862,5810
10573680,86.4642,76.1254,3.41,6.49,3.06,0,0,29.77,0,44.09,0,0,365,5,2.28906,0.773714,6220
10579830,78.9675,69.7564,3.77,5.32,0.1,0,0,42.54,0,47.87,0,0,364,5,2.28906,0.776169,6150
10585400,86.6306,76.4654,2.83,5.17,0.3,0,0,45.54,0,46.08,0,0,347,5,2.25781,0.772849,5570
10590950,88.0821,77.7432,3.28,6.21,0.1,0,0,43.7,0,46.12,0,0,345,5,2.25781,0.774199,5550
10596550,87.7441,77.4557,4.28,5.87,0.3,0,0,42.01,0,47.01,0,0,350,5,2.26562,0.77568,5600
10602190,85.9908,75.5409,2.48,5.86,0.5,0,0,44.17,0,46.9,0,0,347,5,2.25781,0.772939,5640
10607730,91.4655,80.681,4.03,6.58,0.5,0,0,42.11,0,44.87,0,0,351,5,2.26562,0.777019,5540
10613540,93.5538,81.9655,3.67,8.19,3.28,0,0,33.8,0,39.31,0,0,364,5,2.26562,0.773182,5810
10619740,87.9278,77.2848,3.81,7.09,2.97,0,0,35,0,38.89,0,0,365,5,2.29688,0.774939,6200
