Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
12046850,76.053,76.6986,8.29,12.58,30.4401,0,0,0,0,0,0,0,349,5,2.21094,0.671103,6890
12053710,77.1266,77.7936,7.47,16.32,28.09,0,0,0,0,0,0,0,349,5,2.3125,0.77329,6860
12060660,84.7773,77.0757,12.2,19.56,27.08,0,0,0,0,0,0,0,363,5,2.32031,0.775621,6950
12067630,75.4073,66.9207,11.84,15.76,1.8,0,0,0,0,64.28,0,0,364,5,2.32031,0.774525,6970
12073690,80.4472,71.4444,15.65,15.4,0.4,0,0,0,0,68.4,0,0,360,5,2.28906,0.773515,6060
12079320,86.1618,76.3544,15.29,16.54,0.1,0,0,0,0,67.87,0,0,362,5,2.26562,0.775689,5630
12084920,94.6054,83.5756,12.1,16.53,2.47,0,0,0,0,62.13,0,0,362,5,2.25781,0.774275,5600
12091000,78.4387,69.787,14.71,17.19,0,0,0,0,0,67.92,0,0,362,5,2.28125,0.773553,6080
12096530,88.3072,78.0699,12.92,18.29,0.36,0,0,0,0,68.05,0,0,362,5,2.25781,0.774186,5530
12102140,93.5982,82.6927,12.55,15.06,2.66,0,0,0,0,62.01,0,0,363,5,2.26562,0.774287,5610
12108190,79.6586,70.3035,14.22,16.41,0.1,0,0,0,0,69.18,0,0,364,5,2.28906,0.774783,6050
12113710,87.2474,77.4704,13.45,17.79,0.2,0,0,0,0,68.15,0,0,362,5,2.25781,0.772774,5520
12119270,87.0173,77.0431,13.41,16.02,0,0,0,0,0,70.08,0,0,360,5,2.25781,0.77563,5560
12124860,96.0546,84.8544,12.87,14.49,3.46,0,0,0,0,61.84,0,0,363,5,2.25781,0.774262,5590
12131030,78.9952,70.2745,14.97,14.28,0.2,0,0,0,0,69.85,0,0,353,5,2.28906,0.774919,6170
12136670,85.3434,-11543.7,15.06,17.17,0,0,0,0,0,67.77,0,0,363,5,2.27344,0.772924,5640
12142200,95.9117,84.7546,11.63,16.3,2.92,0,0,0,0,62.21,0,0,363,5,2.25,0.774199,5530
12148300,79.1574,70.3739,13.9,18.7,0.38,0,0,0,0,66.9,0,0,363,5,2.28906,0.774846,6100
12153900,86.3407,76.3117,15.42,17.25,0.1,0,0,0,0,67.24,0,0,362,5,2.26562,0.77566,5600
12159440,92.7516,82.1195,14.44,16.42,0.89,0,0,0,0,64.13,0,0,363,5,2.25781,0.772804,5540
12165370,86.8925,77.0438,13.75,14.42,2.56,0,0,0,0,62.89,0,0,362,5,2.27344,0.773345,5930
12171310,81.0425,72.0798,15.23,15.83,0,0,0,0,0,68.55,0,0,350,5,2.28125,0.77598,5940
12176870,86.4462,77.1213,14.27,19.83,0.1,0,0,0,0,65.41,0,0,349,5,2.25781,0.774237,5560
12182450,91.6355,81.8333,13.87,15.48,1.99,0,0,0,0,64.14,0,0,350,5,2.25781,0.77425,5580
12188390,92.2408,82.1331,13.19,11.66,5.45,0,0,0,0,53.44,0,0,361,5,2.28125,0.774674,5940
12194740,76.505,68.3391,14.65,15.11,0.2,0,0,0,0,69.78,0,0,360,5,2.30469,0.773856,6350
12200400,84.6838,75.9783,12.98,17.52,0.4,0,0,0,0,69,0,0,363,5,2.26562,0.774336,5660
12205980,85.0974,76.2628,15.13,17.81,0.2,0,0,0,0,66.76,0,0,362,5,2.26562,0.774275,5580
12211520,86.5714,77.1909,14.54,17.74,0.1,0,0,0,0,67.23,0,0,363,5,2.25781,0.774199,5540
