Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
11647640,75.6533,76.2872,7.75,15.25,29.06,0,0,0,0,0,0,0,349,5,2.21875,0.67446,6960
11654530,75.9615,76.6028,9.07,14.06,26.62,0,0,0,0,0,0,0,351,5,2.32031,0.774457,6890
11661390,84.6136,76.9147,12.62,17.74,29.05,0,0,0,0,0,0,0,363,5,2.32031,0.774417,6860
11668280,77.2048,68.2582,12.96,14.87,64.6,0,0,0,0,0,0,0,361,5,2.32031,0.775564,6890
11674380,78.9818,69.8745,16.2,19.39,64.4,0,0,0,0,0,0,0,362,5,2.29688,0.776135,6100
11679930,95.858,84.527,12.36,16.76,62.8,0,0,0,0,0,0,0,362,5,2.25,0.772804,5550
11686040,78.5578,69.6441,13.33,17.51,69.15,0,0,0,0,0,0,0,363,5,2.28906,0.774857,6110
11691580,87.5719,77.3695,14.96,14.4,70.44,0,0,0,0,0,0,0,348,5,2.25781,0.775599,5540
11697160,94.7168,83.6589,12.16,17.77,62.82,0,0,0,0,0,0,0,362,5,2.25781,0.772865,5580
11703230,79.0575,69.9164,13.72,19.12,67.14,0,0,0,0,0,0,0,364,5,2.28125,0.776093,6070
11708760,96.2188,85.0129,11.81,16.87,63.46,0,0,0,0,0,0,0,363,5,2.25781,0.772774,5530
11714850,78.6375,69.7936,16.14,16.57,67.19,0,0,0,0,0,0,0,363,5,2.28906,0.774846,6090
11720390,87.9202,77.7034,14.81,17.9,66.92,0,0,0,0,0,0,0,361,5,2.26562,0.775599,5540
11725970,94.6804,83.7037,13.6,14.8,65.1,0,0,0,0,0,0,0,364,5,2.26562,0.77566,5580
11732050,80.0087,70.6646,14.75,17.47,67.58,0,0,0,0,0,0,0,363,5,2.28125,0.774815,6080
11737640,96.1056,84.7985,11.92,15.27,62.06,0,0,0,0,0,0,0,363,5,2.25781,0.774275,5590
11743810,78.2833,69.5142,16.64,16.44,66.76,0,0,0,0,0,0,0,346,5,2.28906,0.773653,6170
11749380,92.0164,81.1336,13.42,18.89,64.88,0,0,0,0,0,0,0,362,5,2.25781,0.77563,5570
11755250,83.6809,74.1575,13.5,18.04,67.36,0,0,0,0,0,0,0,352,5,2.28125,0.774607,5870
11760920,86.8076,76.568,13.4,17.1,69,0,0,0,0,0,0,0,362,5,2.25781,0.775729,5670
11766570,93.1215,82.0921,14.28,16.55,62.13,0,0,0,0,0,0,0,364,5,2.26562,0.772968,5650
11772600,79.8015,71.3794,13.66,16.76,69.34,0,0,0,0,0,0,0,350,5,2.28125,0.776068,6030
11778200,85.662,76.1433,13.94,16.14,69.71,0,0,0,0,0,0,0,362,5,2.26562,0.774262,5600
11783750,94.059,83.6001,12.98,16.17,66.2999,0,0,0,0,0,0,0,364,5,2.26562,0.775619,5550
11789780,87.8893,78.3938,10.06,15.74,59,0,0,0,0,0,0,0,364,5,2.28125,0.772196,6030
11795940,78.3254,70.2928,14.37,15.47,69.57,0,0,0,0,0,0,0,361,5,2.28906,0.776169,6160
11801560,85.3182,76.0009,15.13,18.2,66.28,0,0,0,0,0,0,0,362,5,2.26562,0.774312,5620
11807120,92.3133,82.1837,13.58,17.95,64.24,0,0,0,0,0,0,0,360,5,2.25781,0.775619,5560
11813060,89.6419,79.9071,8.77,14.99,61.18,0,0,0,0,0,0,0,361,5,2.28125,0.773359,5940
11819210,77.5025,69.53,14.92,17.72,67.17,0,0,0,0,0,0,0,363,5,2.28906,0.774909,6150
11824780,87.5386,78.1131,13.63,17.19,68.5,0,0,0,0,0,0,0,345,5,2.26562,0.77563,5570
11830440,85.6035,76.2195,15.41,17.08,67.22,0,0,0,0,0,0,0,349,5,2.25781,0.774361,5660
11836060,96.3468,85.517,9.76,16.07,60.6799,0,0,0,0,0,0,0,363,5,2.27344,0.774299,5620
11842320,76.8545,68.599,13.2,16.78,69.53,0,0,0,0,0,0,0,363,5,2.28906,0.775,6260
11847890,86.4473,77.5114,13.33,16.26,70.15,0,0,0,0,0,0,0,363,5,2.26562,0.77565,5570
11853530,86.6259,77.0951,13.1,16.87,69.67,0,0,0,0,0,0,0,362,5,2.25781,0.774312,5640
11859170,93.653,83.4774,11.46,15.03,62.28,0,0,0,0,0,0,0,362,5,2.26562,0.774336,5640
11865280,85.5187,76.3144,12.25,17.93,63.41,0,0,0,0,0,0,0,362,5,2.28906,0.774857,6110
11871350,78.9719,70.5661,13.41,17.69,68.49,0,0,0,0,0,0,0,347,5,2.28906,0.773528,6070
11876920,86.0995,76.8458,12.96,16.13,70.31,0,0,0,0,0,0,0,348,5,2.26562,0.77564,5570
11882500,95.0472,84.5304,11.41,15.77,63.41,0,0,0,0,0,0,0,363,5,2.25781,0.77425,5580
11888640,85.2695,75.9524,10.92,15.98,63.41,0,0,0,0,0,0,0,364,5,2.28906,0.776152,6140
11894710,79.2827,70.9477,16.6,16.79,66.09,0,0,0,0,0,0,0,349,5,2.28906,0.773528,6070
11900320,85.5399,76.332,13.78,17.68,68.35,0,0,0,0,0,0,0,365,5,2.25781,0.77568,5610
11905880,93.1317,82.861,10.13,15.19,69.65,0,0,0,0,0,0,0,363,5,2.25781,0.774224,5560
11911880,88.7513,79.276,9.78,17.23,58.5299,0,0,0,0,0,0,0,363,5,2.28125,0.77474,6000
11918050,77.9553,69.7471,15.44,17.03,67.13,0,0,0,0,0,0,0,363,5,2.28906,0.776185,6170
11923650,86.4216,76.8025,12.11,17.34,70.26,0,0,0,0,0,0,0,362,5,2.26562,0.771502,5600
11929260,95.4427,85.0414,10.85,14.56,63.55,0,0,0,0,0,0,0,363,5,2.26562,0.77567,5610
