Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
13481980,75.3423,75.9746,7.75,14.35,29.11,0,0,0,0,0,0,0,349,5,2.21094,0.669805,6870
13488770,77.632,78.3022,7.18,15,26.94,0,0,0,0,0,0,0,350,5,2.32031,0.775497,6790
13495700,80.9896,75.6815,7.75,15.29,26.08,0,0,0,0,0,0,0,350,5,2.3125,0.773359,6930
13502530,64.1426,63.9601,5.12,3.87,0.4,0,0,86.51,0,3.47,0,0,350,5,2.32031,0.775522,6830
13508210,75.5928,75.3645,4.91,3.74,0,0,0,87.39,0,3.78,0,0,349,5,2.26562,0.773012,5680
13513780,-11688.8,76.2708,3.93,4.13,0.1,0,0,88.28,0,3.54,0,0,351,5,2.26562,0.77564,5570
13519320,79.4156,79.2447,4.68,3.66,0.67,0,0,86.42,0,4.06,0,0,349,5,2.26562,0.772789,5540
13525040,83.6077,83.4626,3.68,5.35,3.52,0,0,73.58,0,5.03,0,0,350,5,2.27344,0.777145,5720
13531260,69.0054,68.8731,4.92,3.87,0.1,0,0,86.35,0,4.47,0,0,351,5,2.28125,0.77496,6220
13536830,83.8379,83.6758,4.48,5.35,1.48,0,0,77.2,0,5.73,0,0,350,5,2.26562,0.772865,5570
13542890,73.4558,73.3182,3.77,4.67,0.5,0,0,85.54,0,4.27,0,0,353,5,2.28906,0.774804,6060
13548680,79.532,79.3907,5.37,5.1,0.8,0,0,80.13,0,4.96,0,0,350,5,2.27344,0.774503,5790
13554680,75.4621,75.3613,4.28,4.16,1.28,0,0,82.23,0,4.86,0,0,351,5,2.28125,0.774718,6000
13560550,76.6027,76.464,4.07,4.62,0.79,0,0,82.44,0,5.45,0,0,350,5,2.27344,0.774607,5870
13566400,78.9153,78.774,3.01,4.58,1.34,0,0,81,0,6.06,0,0,351,5,2.28125,0.774573,5850
13572400,71.951,71.8229,3.89,3.99,0.1,0,0,86.86,0,4.78,0,0,350,5,2.28125,0.77475,6000
13578010,83.2795,83.1335,3.79,5.65,1.31,0,0,77.52,0,4.97,0,0,350,5,2.27344,0.774287,5610
13584080,73.3702,73.2605,5,4.87,0.6,0,0,83.67,0,3.98,0,0,350,5,2.28125,0.776093,6070
13589880,80.4612,80.3462,4.36,5.42,1.81,0,0,75.62,0,5.65,0,0,350,5,2.27344,0.774503,5800
13595940,74.1709,74.055,4.27,4.68,0.49,0,0,84.82,0,4.02,0,0,349,5,2.28125,0.77354,6060
13601770,78.65,78.5304,3.88,4.17,1.3,0,0,84.22,0,3.07,0,0,349,5,2.27344,0.77455,5830
13607740,72.4497,72.3232,4.27,3.21,0.2,0,0,88.04,0,3.78,0,0,350,5,2.27344,0.774707,5970
13613360,84.5855,84.5536,3,7.53,7.24,0,0,51.38,0,8.59,0,0,350,5,2.25781,0.774299,5620
13619550,77.8089,77.7912,3.12,8.52,7.74,0,0,40.68,0,13.1,0,0,350,5,2.28906,0.776193,6190
13625810,77.9387,77.9621,3.16,7.29,8.38,0,0,44.59,0,10.81,0,0,350,5,2.28906,0.772528,6260
13632160,74.8559,74.8247,3.29,5.41,4.48,0,0,60.88,0,8.14,0,0,351,5,2.29688,0.775098,6350
13638350,76.024,76.0198,4.59,6.3,3.35,0,0,71.56,0,5.07,0,0,350,5,2.29688,0.776202,6190
13644490,69.6305,69.6044,4.48,5.04,0.1,0,0,85.83,0,4.46,0,0,349,5,2.28906,0.773591,6140
13650040,77.19,77.1734,4.48,4.13,0.2,0,0,87.04,0,4.07,0,0,349,5,2.25781,0.77564,5550
13655630,76.9343,76.9119,4.12,4.29,0.2,0,0,86.96,0,4.07,0,0,349,5,2.25781,0.772849,5590
13661230,77.5078,77.3912,3.58,4.28,0.38,0,0,87.46,0,4.02,0,0,350,5,2.25781,0.77567,5600
13666860,76.5668,76.4334,4.61,3.28,0.3,0,0,88.32,0,3.17,0,0,351,5,2.26562,0.775709,5630
13672470,85.8156,85.8233,3.8,5.83,6.47,0,0,55.36,0,9.67,0,0,350,5,2.25781,0.772879,5610
13678730,76.9338,76.9232,2.62,7.34,7.58999,0,0,49.57,0,9.53,0,0,350,5,2.28906,0.77502,6260
