Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
12459760,76.5482,77.1653,7.62,13.57,30.5401,0,0,0,0,0,0,0,348,5,2.21094,0.671279,6820
12466600,77.1073,77.7786,6.56,15.85,29.26,0,0,0,0,0,0,0,350,5,2.32031,0.775539,6840
12473520,84.6036,77.1055,9.48001,15.42,28.7,0,0,0,0,0,0,0,362,5,2.3125,0.774476,6920
12480470,69.2373,61.8385,15.37,17.13,67.2,0,0,0,0,0,0,0,361,5,2.3125,0.775621,6950
12486070,86.4195,76.9751,14.47,17.37,67.63,0,0,0,0,0,0,0,363,5,2.26562,0.774275,5600
12491650,85.8787,76.5376,13.25,16.87,69.78,0,0,0,0,0,0,0,361,5,2.26562,0.777057,5580
12497210,94.7842,84.8015,10.75,15.37,64.6799,0,0,0,0,0,0,0,362,5,2.27344,0.77563,5560
12503340,87.658,78.0864,11.38,14.69,62.6199,0,0,0,0,0,0,0,363,5,2.28906,0.774867,6130
12509560,84.3141,75.1517,11.74,15.13,62.15,0,0,0,0,0,0,0,362,5,2.29688,0.777488,6220
12515650,88.051,78.4759,11.44,15.33,63.33,0,0,0,0,0,0,0,363,5,2.28906,0.774825,6090
12521860,85.3827,76.2272,10.27,14.42,63.29,0,0,0,0,0,0,0,362,5,2.28906,0.776226,6210
12528010,86.055,76.6533,11.52,13.76,66.7299,0,0,0,0,0,0,0,363,5,2.28906,0.776169,6150
12534150,84.5563,75.5608,12.67,15.13,66.9,0,0,0,0,0,0,0,365,5,2.28906,0.77616,6140
12540180,79.6091,70.9529,14.22,17,68.77,0,0,0,0,0,0,0,362,5,2.28125,0.776068,6030
12545750,86.3997,76.7133,15.06,16.75,68.2,0,0,0,0,0,0,0,361,5,2.26562,0.77564,5570
12551310,86.6092,77.4484,14.89,16.59,68.32,0,0,0,0,0,0,0,363,5,2.25781,0.77563,5560
12556910,93.7814,83.5763,12.01,15.35,66.19,0,0,0,0,0,0,0,361,5,2.27344,0.77567,5600
12563010,85.8459,76.7213,11.84,15.07,60.62,0,0,0,0,0,0,0,362,5,2.28906,0.776119,6100
12569090,86.6911,77.3058,12.39,16.01,64.74,0,0,0,0,0,0,0,363,5,2.28906,0.77611,6080
12575200,86.8741,77.6621,12.3,13.56,63.33,0,0,0,0,0,0,0,363,5,2.28906,0.776144,6110
12581370,85.4272,75.9699,10.44,16.69,65.4,0,0,0,0,0,0,0,362,5,2.28125,0.776185,6170
12587480,86.8325,78.3309,12.14,14.28,63.03,0,0,0,0,0,0,0,361,5,2.29688,0.774846,6110
12593700,77.7363,69.4283,13.78,15.95,69.79,0,0,0,0,0,0,0,363,5,2.29688,0.77498,6220
12599330,84.8981,76.7082,12.75,16.18,70.55,0,0,0,0,0,0,0,364,5,2.26562,0.775689,5630
12604940,93.8419,84.7009,9.79,14.02,59.2599,0,0,0,0,0,0,0,361,5,2.26562,0.777072,5610
12611120,79.4947,71.6759,14.65,13.92,70.27,0,0,0,0,0,0,0,361,5,2.28906,0.774939,6180
12616880,83.1672,74.2499,14.17,17.18,68.07,0,0,0,0,0,0,0,362,5,2.28906,0.775825,5760
12622450,95.2851,85.7285,9.95,14.38,63.3499,0,0,0,0,0,0,0,361,5,2.25781,0.77564,5570
12628660,86.7169,78.176,8.4,11.74,59.3899,0,0,0,0,0,0,0,362,5,2.28906,0.776218,6210
12634980,79.9471,72.2619,12.47,15.17,67.15,0,0,0,0,0,0,0,365,5,2.30469,0.775069,6320
12640930,80.604,71.8717,15.98,16.89,66.94,0,0,0,0,0,0,0,361,5,2.27344,0.775989,5950
12646490,91.4709,82.6059,12.43,16.72,66.12,0,0,0,0,0,0,0,363,5,2.26562,0.777035,5560
12652460,91.0398,82.1438,7.91,13.66,58.3699,0,0,0,0,0,0,0,362,5,2.27344,0.776016,5970
12658830,80.5417,72.2202,13.26,14.72,67.95,0,0,0,0,0,0,0,362,5,2.30469,0.775118,6370
12664820,81.2213,72.533,14.81,14.44,70.36,0,0,0,0,0,0,0,362,5,2.28125,0.776033,5990
12670480,84.121,75.8296,13.05,17.65,69.13,0,0,0,0,0,0,0,361,5,2.26562,0.775729,5660
12676070,95.4285,85.774,9.12,15.3,62.47,0,0,0,0,0,0,0,362,5,2.27344,0.774262,5590
12682300,76.7349,68.9368,14.8,18.38,66.32,0,0,0,0,0,0,0,362,5,2.28906,0.777488,6230
12687870,86.0322,77.3837,14.6,17.62,67.2,0,0,0,0,0,0,0,362,5,2.26562,0.777042,5570
12693480,95.472,86.0002,8.16,13.3,58.6099,0,0,0,0,0,0,0,362,5,2.25781,0.77568,5610
12699750,83.5825,75.4155,11,13.44,64.51,0,0,0,0,0,0,0,363,5,2.29688,0.77503,6270
12705910,78.0958,69.764,12.9,16.61,70.3,0,0,0,0,0,0,0,364,5,2.28906,0.776169,6160
12711500,85.2122,77.016,13.9,14.09,71.52,0,0,0,0,0,0,0,362,5,2.25781,0.77567,5590
12717110,94.8348,85.5232,8.76,13.21,58.4099,0,0,0,0,0,0,0,362,5,2.26562,0.77567,5610
12723350,78.6145,71.0581,14.33,16.13,68.13,0,0,0,0,0,0,0,362,5,2.28906,0.776242,6240
12729120,82.7814,73.8728,12.23,17.51,69.78,0,0,0,0,0,0,0,364,5,2.28125,0.777188,5770
12734670,94.4334,85.1239,11.26,14.26,62.6499,0,0,0,0,0,0,0,362,5,2.26562,0.774212,5550
12740810,-10586.6,77.8133,8.86,11.99,60.6999,0,0,0,0,0,0,0,363,5,2.28906,0.774898,6140
12747030,78.3247,70.8896,14.76,16.61,66.84,0,0,0,0,0,0,0,362,5,2.29688,0.776218,6220
