Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
12970850,75.6728,76.3141,8.98,14.27,29.76,0,0,0,0,0,0,0,348,5,2.21094,0.671088,6950
12977750,76.7878,77.4479,8.3,17.26,29.19,0,0,0,0,0,0,0,349,5,2.32812,0.774457,6900
12984690,83.9703,76.4246,12.08,19.87,31.3701,0,0,0,0,0,0,0,361,5,2.32031,0.77563,6940
12991610,69.7469,-9407.48,16.68,19.27,0.2,0,0,0,0,63.76,0,0,363,5,2.3125,0.774457,6920
12997220,86.1878,76.5503,17.67,15.31,0.2,0,0,0,0,66.62,0,0,360,5,2.26562,0.775689,5610
13002830,85.3951,76.2537,15.1,16.19,0.2,0,0,0,0,68.4,0,0,361,5,2.25781,0.77567,5610
13008390,95.5257,85.3599,12.18,15.06,3.16,0,0,0,0,58.12,0,0,362,5,2.26562,0.777035,5560
13014570,84.9208,75.7137,12.33,16.37,1.59,0,0,0,0,61.42,0,0,363,5,2.28906,0.774929,6180
13020660,86.2011,76.9439,12.66,14.6,2.77,0,0,0,0,59.2,0,0,363,5,2.28906,0.774836,6090
13026760,87.5445,78.1322,12.23,12.77,2.99,0,0,0,0,61.59,0,0,362,5,2.28906,0.776127,6100
13032950,85.651,76.6273,13.4,16.4,4.1,0,0,0,0,55.82,0,0,361,5,2.29688,0.77621,6190
13039140,85.9476,76.6253,11.92,14.56,2.84,0,0,0,0,57.22,0,0,363,5,2.29688,0.776185,6190
13045300,85.382,76.4804,9.59,13.42,3.75,0,0,0,0,62.17,0,0,350,5,2.28906,0.774929,6160
13051420,83.0123,74.0425,14.13,16.59,0.5,0,0,0,0,64.35,0,0,362,5,2.28906,0.777414,6120
13057320,80.9584,72.2164,15.9,17.33,0.2,0,0,0,0,66.58,0,0,362,5,2.28125,0.775953,5900
13062860,86.4988,76.8258,14.15,16.87,0.1,0,0,0,0,68.69,0,0,363,5,2.25781,0.775619,5540
13068410,85.9639,76.5131,12.71,18.32,0,0,0,0,0,68.84,0,0,361,5,2.26562,0.774199,5550
13073930,95.5213,85.2367,11.72,13.05,3.16,0,0,0,0,60.77,0,0,362,5,2.25781,0.775599,5520
13080070,85.411,76.175,11.83,15.12,2.05,0,0,0,0,63.21,0,0,362,5,2.28906,0.776152,6140
13086150,86.9112,77.6676,10.11,16.12,2.64,0,0,0,0,61.62,0,0,362,5,2.28906,0.776119,6080
13092280,85.5797,76.1762,12.75,14.97,2,0,0,0,0,63.11,0,0,363,5,2.28906,0.776152,6130
13098370,84.3083,76.0486,12.64,13.54,2.07,0,0,0,0,66.55,0,0,361,5,2.29688,0.774825,6090
13104400,79.7118,71.1253,13.3,15.72,0.4,0,0,0,0,70.48,0,0,363,5,2.28125,0.776076,6030
13109980,85.0257,76.7125,14.78,16.22,0.3,0,0,0,0,68.51,0,0,362,5,2.25781,0.77705,5580
13115550,94.3033,85.0007,11.95,13.45,4.17,0,0,0,0,60.59,0,0,355,5,2.26562,0.77563,5570
13121710,78.1069,69.7281,13.07,16.99,0.4,0,0,0,0,69.25,0,0,363,5,2.28906,0.773653,6160
13127310,84.6889,76.7231,17.38,14.77,0.1,0,0,0,0,67.56,0,0,362,5,2.26562,0.777065,5600
13132890,95.2579,85.7467,8.67,13.96,4.64,0,0,0,0,56.37,0,0,361,5,2.26562,0.777042,5580
13139110,80.2822,72.3156,13.43,16.94,0.79,0,0,0,0,66.31,0,0,361,5,2.29688,0.77498,6220
13144980,82.1337,73.4021,13.04,15.89,0.1,0,0,0,0,70.6,0,0,363,5,2.27344,0.774584,5870
13150580,94.278,84.8624,11.47,16.14,3.53,0,0,0,0,56.65,0,0,363,5,2.26562,0.777065,5600
13156760,85.727,77.3712,6.7,12.45,5.6,0,0,0,0,51.88,0,0,362,5,2.29688,0.774939,6180
13162980,79.4708,71.6525,14.81,14.77,0.92,0,0,0,0,68.55,0,0,362,5,2.28906,0.776226,6220
13168790,82.9934,74.1061,14.16,16.27,0.3,0,0,0,0,68.94,0,0,362,5,2.27344,0.777209,5810
13174380,95.3314,85.7116,10.81,13.7,3.24,0,0,0,0,59.95,0,0,363,5,2.26562,0.772879,5590
13180630,86.0025,77.6973,8.78,11.85,6.66,0,0,0,0,54.85,0,0,362,5,2.29688,0.777494,6250
13186950,81.5133,73.5115,12.09,16.04,2.48,0,0,0,0,62.9,0,0,362,5,2.29688,0.776305,6320
13192980,79.0365,70.6623,15.58,17.26,0.1,0,0,0,0,66.86,0,0,362,5,2.28125,0.774783,6030
13198550,85.4305,77.4288,13.7,16.23,0.3,0,0,0,0,69.47,0,0,361,5,2.25781,0.775619,5570
13204160,93.8148,84.5285,11.68,12.94,3.19,0,0,0,0,58.94,0,0,346,5,2.25781,0.774299,5610
13210330,78.1598,69.9187,14.82,17.54,0.2,0,0,0,0,66.88,0,0,362,5,2.28906,0.776185,6170
13215950,84.1324,75.9752,14.86,17.42,0.3,0,0,0,0,67.33,0,0,363,5,2.27344,0.77708,5620
13221490,95.2892,85.8885,9.2,12.97,5.74,0,0,0,0,55.24,0,0,348,5,2.25781,0.775619,5540
13227690,82.3167,74.3744,14.01,16.17,1.5,0,0,0,0,65.24,0,0,349,5,2.29688,0.774939,6200
13233690,79.9577,71.3867,16.79,17.41,0.1,0,0,0,0,65.41,0,0,362,5,2.28125,0.77605,6000
13239260,90.585,81.911,11.93,15.62,1.28,0,0,0,0,65.83,0,0,362,5,2.26562,0.777042,5570
13245210,89.3264,80.5377,7.12,12.61,7.53,0,0,0,0,54.06,0,0,350,5,2.28125,0.774674,5950
13251440,80.3515,72.5321,14.3,14.21,0.68,0,0,0,0,68.23,0,0,347,5,2.28906,0.776242,6230
13257320,81.2726,72.5985,17.49,16.05,0.15,0,0,0,0,65.81,0,0,361,5,2.28125,0.775935,5880
