Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
10872330,74.2767,74.8773,8.47,15.37,29.33,0,0,0,0,0,0,0,349,5,2.21094,0.668678,6940
10879090,77.7442,78.3908,7.41,12.99,27.82,0,0,0,0,0,0,0,350,5,2.32031,0.775472,6760
10885990,84.1372,76.4368,8.69,15.89,29.8401,0,0,0,0,0,0,0,366,5,2.3125,0.774447,6900
10892850,77.2823,66.5737,1.48,7.93,1.8,0,0,51.98,0,33.4,0,0,366,5,2.3125,0.774427,6860
10898790,84.2764,72.2505,1.09,5.47,0.2,0,0,55.23,0,37.71,0,0,366,5,2.27344,0.773359,5940
10904380,89.5817,77.1572,2.3,7.74,0.1,0,0,57.14,0,32.6,0,0,369,5,2.25781,0.772865,5590
10909990,90.3917,77.8374,1.6,6.54,0.49,0,0,54.33,0,36.05,0,0,362,5,2.25781,0.772879,5610
10915660,87.9905,75.7633,1.18,5.25,0.2,0,0,54.75,0,38.41,0,0,365,5,2.26562,0.772997,5670
10921270,89.4183,76.9879,2.09,7.06,0.33,0,0,57.98,0,32.15,0,0,365,5,2.25781,0.772865,5610
10926890,87.4861,75.3357,1.19,6.66,0,0,0,54.69,0,37.46,0,0,364,5,2.25781,0.771536,5620
10932380,90.9203,78.2054,0.99,5.8,0.2,0,0,56.64,0,36.06,0,0,369,5,2.25,0.774148,5490
10937970,89.7697,77.2585,1.08,6.16,0.49,0,0,55.6,0,36.65,0,0,353,5,2.26562,0.771467,5590
10943600,89.2824,76.847,1.39,7.77,0.1,0,0,52.65,0,37.51,0,0,366,5,2.25781,0.772909,5630
10949230,88.4582,75.927,1.79,6.26,0.2,0,0,54.85,0,36.8,0,0,366,5,2.25781,0.772924,5630
10954790,89.9421,77.2995,1.39,6.79,0.1,0,0,58.09,0,33.36,0,0,367,5,2.25781,0.771432,5560
10960380,89.2707,76.4975,1.09,4.39,0.3,0,0,57.2,0,36.81,0,0,365,5,2.25781,0.772865,5590
10965940,89.7285,76.9637,1.39,7.16,0.1,0,0,53.89,0,37.15,0,0,366,5,2.25781,0.774224,5560
10971520,88.9953,76.4652,0.5,6.19,0.1,0,0,56.6,0,36.42,0,0,368,5,2.25781,0.771449,5580
10977070,89.2286,76.5709,1.59,5.27,0.13,0,0,56.24,0,36.76,0,0,357,5,2.25781,0.772789,5550
10982600,92.848,79.4911,2.09,6.18,0.5,0,0,54.49,0,35.95,0,0,367,5,2.25781,0.774186,5530
10988310,91.4288,78.5067,1.4,7.23,0.47,0,0,51.36,0,38,0,0,366,5,2.26562,0.771689,5710
10994160,91.3615,78.537,1.57,5.87,1.32,0,0,53.02,0,34.15,0,0,366,5,2.27344,0.773223,5850
11000140,91.9458,80.2022,2.67,7.32,3.5,0,0,46.34,0,27.93,0,0,367,5,2.28125,0.772105,5980
11006380,88.8365,77.4815,1.59,8.16,3.57,0,0,45.07,0,29.1,0,0,347,5,2.28906,0.773738,6240
11012670,86.0586,75.1149,0.59,8.97,2.51,0,0,47.77,0,32.35,0,0,351,5,2.28906,0.773798,6290
11018790,88.6502,77.135,2.18,7.31,2.78,0,0,48.79,0,30.82,0,0,366,5,2.28906,0.773603,6120
11024940,88.8408,77.4816,2.15,8.21,3.65,0,0,44.65,0,30.02,0,0,366,5,2.28125,0.771087,6150
11031150,86.8458,75.6259,1.4,8.71,3.77,0,0,42.65,0,34.62,0,0,349,5,2.28906,0.77369,6210
11037250,88.7148,77.4174,1.06,5.94,2.62,0,0,45.1,0,35.64,0,0,367,5,2.28125,0.773578,6100
11043400,90.8556,79.0034,1.58,5.98,3.01,0,0,47.69,0,34.18,0,0,367,5,2.28125,0.772343,6150
11049730,86.4485,75.1611,1.59,8.71,3.81,0,0,39.22,0,34.69,0,0,349,5,2.29688,0.772611,6330
11055890,87.8412,76.3761,1.78,6.28,2.92,0,0,45.07,0,35.85,0,0,366,5,2.29688,0.773653,6160
11062000,88.668,77.1283,1.07,6.7,4.62,0,0,41.82,0,34.5,0,0,365,5,2.28125,0.773578,6110
11068140,87.0375,75.6858,1.06,7.06,2.09,0,0,47.16,0,35.78,0,0,350,5,2.28125,0.773616,6140
11074180,88.7624,77.2758,1.56,6.23,1.97,0,0,50.68,0,33.27,0,0,366,5,2.28125,0.773476,6040
11080260,92.9944,80.939,1.81,8.38,5.94,0,0,43.8,0,31.32,0,0,366,5,2.27344,0.770987,6080
11086640,79.9416,69.8662,1.29,5.94,0.24,0,0,54.46,0,36.39,0,0,348,5,2.29688,0.773903,6380
11092460,93.1184,80.8634,1.49,8.07,2.94,0,0,45.62,0,34.39,0,0,365,5,2.26562,0.774515,5820
11097610,84.9037,79.3242,1.4,9.46,3.33,0,0,42.84,0,31.64,0,0,348,5,2.28125,0.772329,5150
11102230,72.5573,74.3633,7.02,21.26,33.39,0,0,0,0,0,0,0,347,5,2.52344,0.773921,4620
