Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
11115370,76.3646,77.0049,7.18,14.84,26.6,0,0,0,0,0,0,0,350,5,2.21875,0.67208,6870
11122260,78.8688,79.565,9.07,14.26,27.47,0,0,0,0,0,0,0,351,5,2.3125,0.775572,6890
11129380,80.7793,73.0321,18.55,22.99,30.42,0,0,0,0,0,0,0,351,5,2.32812,0.774666,7120
11136160,71.7333,63.359,5.42,11.11,0.28,0,0,0,0,83.09,0,0,346,5,2.3125,0.773172,6780
11141730,87.7293,76.9503,5.48,11.35,0.1,0,0,0,0,82.88,0,0,365,5,2.25781,0.77565,5570
11147310,97.2516,85.8815,5.19,11.89,2.56,0,0,0,0,71.6,0,0,364,5,2.26562,0.774237,5580
11153540,88.7916,78.1764,4.83,11.75,3.59,0,0,0,0,67.68,0,0,367,5,2.28906,0.773726,6230
11159860,85.1371,74.8708,4.77,12.04,3.1,0,0,0,0,69.18,0,0,366,5,2.28906,0.773845,6320
11166020,83.9818,74.0063,5.69,11.09,1.43,0,0,0,0,77.56,0,0,364,5,2.28906,0.774898,6160
11171950,82.8316,72.508,5.57,12.63,0.39,0,0,0,0,80.82,0,0,365,5,2.28125,0.774663,5930
11177540,87.2673,76.9287,6.55,12.23,0.3,0,0,0,0,80.81,0,0,366,5,2.26562,0.774275,5590
11183150,96.9739,85.4341,6.47,11.52,3.38,0,0,0,0,68.48,0,0,366,5,2.26562,0.772879,5610
11189390,85.6283,75.4056,5.58,11.04,2.3,0,0,0,0,73.23,0,0,367,5,2.28906,0.77499,6240
11195490,84.3193,74.3129,5.24,11.19,0.79,0,0,0,0,81.21,0,0,370,5,2.29688,0.774846,6100
