Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
605947920,101.694,77.2723,2.41,7.73,14.38,0,0,0,0,0,0,0,381,5,23.2969,21.8939,9120
605957000,91.3878,57.8178,2.25,2.15,0.02,0,0,93.36,0,1.98,0,0,407,5,25.7578,24.3635,9080
605963880,130.225,80.1227,2.65,2.46,0.02,0,0,91.87,0,2.34,0,0,414,5,26.0391,24.7162,6880
605971000,121.612,75.1136,2.35,2.22,0.02,0,0,92.85,0,2.27,0,0,405,5,25.7891,24.4759,7120
605977920,127.313,78.5952,2.28,1.99,0,0,0,92.9,0,2.22,0,0,408,5,26.125,24.7956,6920
605985000,119.043,76.7316,1.94,1.83,0,0,0,94.06,0,1.83,0,0,408,5,26.0703,24.7348,7080
605992000,114.895,71.5907,2.21,2.08,0.02,0,0,93.5,0,2.04,0,0,407,5,25.8203,24.4957,7000
605998480,133.969,83.0702,2.59,2.18,0,0,0,92.72,0,2.2,0,0,409,5,25.8672,24.571,6480
606005520,120.305,74.9437,2.07,2.05,0,0,0,93.66,0,1.98,0,0,411,5,26.0703,24.7418,7040
606012320,128.462,79.9848,2.34,2.15,0,0,0,92.76,0,2.18,0,0,409,5,25.9453,24.6265,6800
606019360,128.005,79.177,2.13,1.82,0.02,0,0,93.57,0,1.96,0,0,406,5,26.0391,24.697,7040
606026560,118.939,73.4956,2.26,1.99,0.02,0,0,93.47,0,2.01,0,0,404,5,26.1328,24.7949,7200
606033520,121.979,76.8353,2.45,2.25,0.02,0,0,92.82,0,2.17,0,0,406,5,25.8438,24.5378,6960
606040360,133.774,82.9684,2.04,1.98,0,0,0,93.32,0,2.01,0,0,409,5,26.0859,24.7561,6840
606047680,115.291,70.1321,2.31,2.33,0,0,0,92.92,0,2.23,0,0,409,5,26.0703,24.7332,7320
606054360,137.183,82.9675,2.59,2.38,0,0,0,91.9,0,2.5,0,0,412,5,25.8516,24.5451,6680
606061520,123.027,74.2458,2.66,2.5,0,0,0,92.16,0,2.37,0,0,412,5,25.9766,24.6484,7160
606068440,124.196,75.2726,2.3,2.27,0,0,0,92.98,0,2.24,0,0,407,5,26,24.6798,6920
606075200,-9559.99,81.4517,2.45,2.28,0,0,0,92.58,0,2.2,0,0,405,5,25.9844,24.6648,6760
606082320,121.489,76.585,2.36,2.43,0.03,0,0,92.51,0,2.24,0,0,405,5,26.0078,24.6818,7120
606089360,117.499,72.2004,2.08,1.76,0,0,0,94.03,0,1.95,0,0,410,5,26.0938,24.7625,7040
606095920,129.767,79.3743,2.32,2.26,0.02,0,0,92.96,0,2.24,0,0,409,5,26.0703,24.7547,6560
606102680,127.022,76.8968,2.44,2.18,0.03,0,0,92.87,0,2.23,0,0,415,5,25.9766,24.6695,6760
606109520,130.285,81.4056,2.42,2.13,0.07,0,0,92.92,0,2.01,0,0,405,5,25.875,24.5643,6840
