Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
472576640,99.9552,99.6651,5.36,0.05,0.2,0,0,52.27,0.27,11.86,0,0,406,5,13.8203,12.3897,6800
472583040,106.63,106.626,5.56,0.12,0.21,0,0,53.51,0.26,11.41,0,0,422,5,13.8281,12.417,6400
472589520,110.523,110.118,5.33,0.09,0.26,0,0,52.05,0.41,11.87,0,0,408,5,13.8359,12.4224,6480
472596160,103.479,103.106,5.39,0.04,0.29,0,0,53.05,0.34,11.32,0,0,418,5,13.8047,12.3842,6640
472602600,116.328,116.653,5.47,0.07,0.23,0,0,51.67,0.22,12.03,0,0,418,5,13.7734,12.3666,6440
472609680,96.4386,96.1219,5.23,0.11,0.19,0,0,53.06,0.37,11.83,0,0,420,5,13.875,12.4338,7080
472616080,118.851,118.536,5.31,0.21,0.3,0,0,51.59,0.31,11.74,0,0,423,5,13.8281,12.4189,6400
472623200,97.3276,96.9941,5.41,0.14,0.16,0,0,52.68,0.41,11.7,0,0,403,5,13.8125,12.3738,7120
472629640,108.279,108.093,5.45,0.07,0.16,0,0,52.28,0.46,11.95,0,0,418,5,13.7656,12.3586,6440
472636160,116.905,116.411,5.17,0.16,0.23,0,0,52.27,0.27,12.41,0,0,417,5,13.8672,12.4373,6520
472643240,102.269,101.884,5.25,0.85,0.49,0,0,51.96,0.24,11.45,0,0,412,5,13.8359,12.393,7080
472649920,106.217,105.763,5.22,0.22,0.21,0,0,52.44,0.2,11.54,0,0,419,5,13.7891,12.4415,6680
472656480,109.781,109.277,5.39,0.23,0.23,0,0,53.17,0.32,11.8,0,0,422,5,13.8203,12.3272,6560
472663200,103.069,102.609,5.24,0.04,0.22,0,0,52.6,0.33,12,0,0,419,5,13.8594,12.4353,6720
472669560,117.777,117.344,5.44,0.04,0.18,0,0,52.18,0.26,11.93,0,0,422,5,13.7266,12.3302,6360
472676480,101.337,100.799,5.33,0.05,0.24,0,0,52.6901,0.27,11.8,0,0,421,5,13.9453,12.4977,6920
472683000,110.426,110.017,5.27,0.11,0.26,0,0,52.8101,0.31,11.65,0,0,411,5,13.7656,12.3538,6520
472689640,108.721,108.314,5.17,0.23,0.25,0,0,51.9,0.42,12.55,0,0,419,5,13.7891,12.369,6640
472696360,107.163,106.79,5.25,0.09,0.19,0,0,52.19,0.38,11.62,0,0,419,5,13.8359,12.4029,6720
472703000,104.971,104.518,4.93,0.04,0.11,0,0,53.05,0.35,12.11,0,0,420,5,13.8359,12.4106,6640
472709440,122.218,121.908,5.02,0.13,0.22,0,0,51.69,0.29,12.09,0,0,421,5,13.8281,12.4163,6440
472716760,96.6829,96.2768,5.37,0.19,0.2,0,0,52.16,0.31,11.98,0,0,420,5,13.8438,12.4023,7320
472723320,109.085,108.605,5.37,0.14,0.19,0,0,52.15,0.4,11.84,0,0,421,5,13.7891,12.3761,6560
472729880,104.865,104.478,5.35,0.08,0.27,0,0,52.39,0.32,11.88,0,0,422,5,13.8359,12.4195,6560
472736240,117.331,116.86,5.18,0.05,0.13,0,0,52.57,0.52,11.78,0,0,405,5,13.8359,12.4214,6360
472743200,101.19,100.717,5.13,0.11,0.27,0,0,52.61,0.32,12.08,0,0,420,5,13.8359,12.4029,6960
