Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
194050340,75.6045,77.3099,0,0,0,0,0,0,0,0,0,0,347,5,1.48438,0,3580
194053960,74.7464,76.7546,0,0,0,0,0,0,0,0,0,0,347,5,1.48438,0,3620
194057540,75.7005,77.6864,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3580
194061120,75.4343,77.1735,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194064720,75.1562,76.9076,0,0,0,0,0,0,0,0,0,0,347,5,1.47656,0,3600
194068320,75.0022,76.7274,0,0,0,0,0,0,0,0,0,0,345,5,1.46875,0,3600
194071900,75.5608,77.2968,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3580
194075480,75.4517,77.1866,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3580
194079080,75.1053,76.8338,0,0,0,0,0,0,0,0,0,0,346,5,1.48438,0,3600
194082680,75.1389,76.85,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3600
194086280,75.2235,76.9488,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
194089880,75.0282,76.7763,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3600
194093460,75.3328,77.0524,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3580
194097040,75.3601,77.0873,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194100620,75.3961,77.1419,0,0,0,0,0,0,0,0,0,0,347,5,1.49219,0,3580
194104220,75.0716,76.7969,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3600
194107820,75.0575,76.7741,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194111400,75.4397,77.1604,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
194114980,75.5685,77.2837,0,0,0,0,0,0,0,0,0,0,346,5,1.48438,0,3580
194118580,74.9631,76.7003,0,0,0,0,0,0,0,0,0,0,348,5,1.47656,0,3600
194122180,75.1302,76.8446,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
194125760,75.5608,77.2946,0,0,0,0,0,0,0,0,0,0,347,5,1.47656,0,3580
194129380,74.6709,76.3747,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3620
194132960,75.2804,77.012,0,0,0,0,0,0,0,0,0,0,346,5,1.48438,0,3580
194136540,75.5728,77.3077,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194140140,75.0391,76.7513,0,0,0,0,0,0,0,0,0,0,348,5,1.47656,0,3600
194143760,74.8414,76.5377,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3620
194147340,75.4026,-18228.1,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
194150940,75.1161,76.8328,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194154540,75.0629,76.7892,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3600
194158100,75.7703,77.5201,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3560
194161700,75.0358,76.7646,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194165300,75.089,76.8246,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194168900,75.3646,77.0995,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194172500,74.9946,76.716,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194176100,74.9392,76.6737,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194179680,75.3841,77.1232,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194183260,75.3579,77.1218,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194186860,75.127,76.8401,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194190460,74.9805,76.732,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194194040,75.4594,77.179,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194197640,75.0575,76.8247,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194201240,74.8101,76.5373,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194204820,75.3077,77.0491,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194208400,75.4736,77.1952,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194212000,75.0336,76.7634,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194215600,74.9273,76.6793,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194219180,75.4332,77.1708,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194222780,74.9653,76.6764,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
