Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
194250360,74.9045,76.6212,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194253960,75.025,76.7486,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194257540,-18229.9,77.0691,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194261120,75.4088,77.1343,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194264720,74.945,76.6835,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194268320,75.0071,76.7296,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
194271900,75.2421,76.943,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194275480,75.3444,77.0887,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
194279080,74.9726,76.6846,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194282660,75.3022,77.0281,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194286240,75.4063,77.1141,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194289840,74.8758,76.601,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194293440,75.0472,76.7508,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194297020,75.4045,77.1574,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3580
194300620,74.9492,76.645,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194304200,75.3875,77.1353,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194307800,74.9662,76.6623,0,0,0,0,0,0,0,0,0,0,346,5,1.4375,0,3600
194311400,75.2835,77.0256,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
194315000,75.0925,76.7917,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194318600,74.9687,76.7074,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194322180,75.3303,77.0306,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194325780,75.0762,76.815,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
194329380,74.9555,76.6653,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194332960,75.3708,77.0947,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194336540,75.5595,77.2878,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194340160,74.6891,76.3758,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
194343740,75.293,77.017,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194347320,75.3127,77.0371,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194350900,75.3737,77.0822,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194354520,74.8323,76.5458,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3620
194358100,75.463,77.2087,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194361700,74.9847,76.6764,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194365300,75.1062,76.8473,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194368900,75.1687,76.8669,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194372480,75.3631,77.1037,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194376080,75.048,76.7405,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194379660,75.2597,76.9744,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3580
194383260,75.089,76.8267,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
194386840,75.5085,77.2139,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194390440,74.9699,76.6867,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
194394040,75.0092,76.7421,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194397620,75.3868,77.1053,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194401220,75.1362,76.8256,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194404820,75.1337,76.8723,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194408400,75.4509,77.1714,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194412020,74.6277,76.3024,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
194415600,75.3492,77.0464,0,0,0,0,0,0,0,0,0,0,349,5,1.47656,0,3580
194419180,75.3969,77.1326,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194422760,75.4138,77.1359,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3580
