Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
194450360,74.9783,76.6661,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194453960,74.9948,76.7312,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194457540,75.4157,77.1212,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194461120,75.4373,77.1632,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194464720,74.991,76.7345,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194468320,74.9127,76.626,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194471900,75.3603,77.0557,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194475480,75.4111,77.1424,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3580
194479080,75.0168,76.7551,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194482680,74.9729,76.671,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194486240,75.7077,77.4705,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3560
194489840,75.0987,76.8012,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3600
194493440,75.0119,76.7345,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194497040,75.1785,76.9265,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194500620,75.4959,77.227,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194504220,75.0342,76.76,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194507820,75.3054,77.0161,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
194511420,74.974,76.6965,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194515020,75.0532,76.7817,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3600
194518600,75.4768,77.2325,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
194522200,75.0998,76.8235,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194525800,75.1373,76.8414,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194529400,75.1074,76.8186,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194532980,75.5865,77.317,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194536600,74.598,76.3343,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3620
194540180,75.5232,77.2505,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194543780,74.9707,76.6949,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194547380,75.0336,76.7627,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
194550960,75.4359,77.1714,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
194554540,75.4943,77.2128,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194558160,74.7016,76.4433,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3620
194561740,75.4048,77.3841,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194565320,75.4752,77.233,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194568920,74.9284,76.6564,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194572520,75.0163,76.7242,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
194576100,75.4741,77.2123,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
194579700,75.2496,76.9759,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194583300,74.975,76.7025,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194586900,74.9523,76.6992,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194590480,75.5139,77.2172,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194594080,75.038,76.7871,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194597680,74.955,76.6623,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194601260,75.4817,77.2434,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194604840,75.3737,77.1124,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194608440,74.9322,76.6461,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194612040,75.1459,76.9,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194615620,75.3519,77.095,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194619200,75.5248,77.2445,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194622800,74.8931,76.62,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
