Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
194650380,74.9479,76.6753,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194653960,75.3737,77.0819,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194657540,75.4785,77.2357,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194661140,75.0863,76.7839,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194664740,75.0808,76.8294,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194668320,75.5227,77.239,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194671940,74.734,76.4438,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3620
194675540,75.0803,76.8305,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
194679100,75.8251,77.5424,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3560
194682700,74.9143,76.6406,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194686320,74.9374,76.679,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3620
194689900,75.2968,77.0219,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194693480,75.5041,77.2379,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194697100,74.6094,76.3229,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3620
194700680,75.4703,77.1768,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3580
194704260,75.4463,77.1724,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194707840,75.3841,77.1332,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194711460,74.6007,76.2819,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
194715040,75.4866,77.2215,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194718620,75.4255,77.1539,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194722220,75.0076,76.7253,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194725820,74.9425,76.684,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194729400,75.4092,77.1332,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194732980,75.4419,77.1757,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194736580,75.0868,76.8142,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194740180,75.1118,76.8132,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194743760,75.383,77.1124,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194747380,74.822,76.5593,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
194750960,75.5357,77.2663,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194754560,75.0933,76.7936,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194758160,74.9468,76.6873,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3600
194761740,75.4103,77.119,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194765320,75.4485,77.179,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194768920,75.077,76.7925,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194772520,74.9946,76.7296,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194776100,75.4463,77.155,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194779700,75.1964,76.9444,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194783300,75.0033,76.7079,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
194786900,75.0456,76.7697,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194790480,75.2815,77.0317,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194794060,75.3797,77.0972,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
194797660,75.0662,76.8132,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194801240,75.3012,77.0055,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194804820,75.359,77.1135,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
194808420,75.1497,76.8566,0,0,0,0,0,0,0,0,0,0,348,5,1.46094,0,3600
194812020,75.0065,76.7263,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194815600,75.419,77.1572,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194819200,74.9837,76.7079,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194822800,74.9175,76.6417,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
