Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
195450380,74.9284,76.6753,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195453960,75.4675,77.1899,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
195457540,75.4272,77.1921,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195461160,74.7038,76.4222,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3620
195464760,75.0928,76.8077,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
195468320,75.8965,77.6477,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3560
195471920,75.038,76.7839,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195475540,74.7189,76.4233,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3620
195479120,75.5172,77.2816,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195482700,75.4474,77.1954,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195486320,74.6353,76.3596,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3620
195489900,75.6219,77.3459,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195493500,75.242,76.9792,0,0,0,0,0,0,0,0,0,0,347,5,1.46875,0,3600
195497100,75.0488,76.7828,0,0,0,0,0,0,0,0,0,0,348,5,1.46094,0,3600
195500680,75.3448,77.0862,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
195504260,75.3186,77.0862,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195507880,74.72,76.446,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3620
195511460,75.5559,77.2979,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195515040,75.4654,77.1877,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195518660,74.673,76.4168,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3620
195522240,75.5745,77.3176,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195525840,75.0477,76.7589,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195529440,74.8866,76.6319,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195533020,75.425,77.1692,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3580
195536600,75.4064,77.1266,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195540200,75.013,76.7611,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195543800,75.1335,76.8696,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195547400,75.1308,76.8468,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195550980,75.5477,77.2772,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195554560,75.3644,77.1059,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
195558180,74.6979,76.4449,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3620
195561760,75.5532,77.2761,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195565360,75.1096,76.8663,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195568960,75.2344,76.952,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195572560,75.0727,76.8229,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195576160,75.0684,76.8023,0,0,0,0,0,0,0,0,0,0,348,5,1.44531,0,3600
195579760,75.0141,76.7383,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195583320,75.8493,77.6027,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3560
195586940,74.673,76.378,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
195590520,75.4517,77.2117,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
195594120,75.1096,76.8262,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
195597700,75.4255,77.1692,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195601300,75.0358,76.7632,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195604900,74.923,76.6797,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195608460,75.7264,77.4535,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3560
195612060,75.0022,76.7459,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195615660,75.0933,76.8294,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
195619240,75.3906,77.1277,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195622840,75.0499,76.7654,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
