Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
195250380,75.0624,76.8007,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195253960,75.5685,77.3148,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
195257560,75.0024,76.7122,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195261160,75.1107,76.8387,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195264760,75.1679,76.9043,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
195268360,75.2124,76.9461,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195271960,75.1742,76.9065,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195275560,75.0827,76.8408,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
195279140,75.3426,77.0819,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
195282760,74.7961,76.5253,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3620
195286340,75.5254,77.2728,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195289940,74.9908,76.7177,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195293520,75.4449,77.1899,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195297100,75.3172,77.0611,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195300700,75.1175,76.8452,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195304300,74.9639,76.696,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195307880,75.3181,77.0611,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3580
195311460,75.4681,77.1894,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195315060,75.2585,76.9922,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3600
195318660,74.9862,76.6987,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
195322240,75.431,77.1904,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
195325840,75.1538,76.869,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195329460,74.7256,76.4654,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3620
195333040,75.4092,77.1233,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195336620,75.4294,77.191,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195340220,74.9919,76.7198,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195343820,75.0936,76.805,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195347400,75.3443,77.1075,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195350980,75.4124,77.1528,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195354600,74.7626,76.4875,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3620
195358180,75.3661,77.1097,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195361760,75.5799,77.3012,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195365380,74.6358,76.3629,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3620
195368960,75.3503,77.1092,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195372540,75.4212,77.1506,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
195376140,75.1573,76.8674,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195379740,75.2908,77.0421,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195383320,75.4523,77.1894,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195386920,74.9723,76.6981,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195390520,75.0401,76.7649,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195394100,75.5194,77.2565,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195397700,74.9908,76.7193,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195401300,75.0168,76.7193,0,0,0,0,0,0,0,0,0,0,348,5,1.44531,0,3600
195404880,75.3895,77.1484,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195408460,75.3895,77.1299,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
195412060,75.1628,76.8712,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195415660,75.0331,76.7676,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195419240,75.4414,77.1741,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
195422840,75.077,76.8376,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
