Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
196050380,75.3543,77.0944,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
196053980,75.2448,76.9642,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
196057560,75.4311,77.1809,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
196061160,75.037,76.7939,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
196064760,75.0777,76.7958,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
196068340,75.3916,77.1392,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
196071940,74.9155,76.6482,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
196075520,75.4545,77.2243,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
196079100,75.5261,77.2477,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3580
196082700,75.1202,76.862,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
196086300,74.9755,76.7144,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
196089900,74.9885,76.7377,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
196093480,75.4142,77.1648,0,0,0,0,0,0,0,0,0,0,346,5,1.47656,0,3580
196097080,75.0799,76.799,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
196100680,75.1481,76.9021,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
196104260,75.3755,77.1179,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
196107860,75.2478,76.9873,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
196111460,75.1066,76.8169,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
196115040,75.5006,77.2559,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
196118660,74.7068,76.4573,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3620
196122240,75.4449,77.185,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
196125820,75.314,77.0322,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
196129400,75.5251,77.269,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
196133020,74.6655,76.3942,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3620
196136600,75.4607,77.2052,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
196140200,75.3163,77.053,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
196143800,75.1242,76.862,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
196147400,75.0776,76.8191,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
196150980,75.4711,77.2325,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
196154580,75.1402,76.8853,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
196158180,75.08,76.8039,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
196161760,75.5237,77.2957,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
196165380,74.6215,76.337,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3620
196168960,75.4127,77.1659,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
196172540,75.5663,77.3394,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
196176160,74.6671,76.399,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3620
196179740,75.5862,77.3377,0,0,0,0,0,0,0,0,0,0,346,5,1.4375,0,3580
196183320,75.3099,77.0382,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
196186920,75.0789,76.8403,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
196190520,74.958,76.6927,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
196194100,75.5824,77.3301,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
196197700,75.0559,76.7773,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
196201300,75.1443,76.8837,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
196204900,75.0781,76.8164,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
196208480,75.5608,77.3334,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
196212080,75.1196,76.8235,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
196215660,75.3096,77.0557,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
196219260,75.2493,76.9851,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
196222860,75.0803,76.837,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
