Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
195650380,75.5368,77.2946,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3580
195653980,75.0727,76.8132,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195657560,75.5532,77.2968,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195661160,74.9957,76.7209,0,0,0,0,0,0,0,0,0,0,344,5,1.44531,0,3600
195664760,75.2192,76.9303,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
195668340,75.3481,77.1059,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
195671940,75.2105,76.8555,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195675540,75.1237,76.85,0,0,0,0,0,0,0,0,0,0,347,5,1.53125,0,3600
195679120,75.5827,77.3208,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195682740,74.6158,76.3208,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3620
195686320,75.4725,77.2379,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195689920,75.0781,76.7849,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195693500,75.3012,77.0437,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
195697100,74.9479,76.6775,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3600
195700680,75.5172,77.2783,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195704280,75.0749,76.7871,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195707880,75.1812,76.9379,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195711460,75.5194,77.239,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195715060,74.8655,76.6168,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195718660,75.0727,76.8066,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195722240,75.4954,77.2346,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195725840,75.2159,76.9531,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195729440,75.1443,76.8522,0,0,0,0,0,0,0,0,0,0,345,5,1.44531,0,3600
195733040,75.1823,76.9325,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195736640,75.1118,76.8446,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195740240,75.0347,76.7611,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
195743820,75.5325,77.2772,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195747420,75.2409,76.952,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195751020,75.0575,76.7882,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195754600,75.7256,77.4747,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195758200,74.9078,76.658,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195761820,74.7896,76.5118,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3620
195765400,75.6012,77.3263,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195769000,75.1183,76.8522,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195772600,75.0738,76.8132,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195776200,75.2604,77.0041,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195779800,74.9121,76.6406,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
195783380,75.4932,77.239,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195786960,75.2804,77.023,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195790540,75.4441,77.1757,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195794140,74.9273,76.684,0,0,0,0,0,0,0,0,0,0,345,5,1.46875,0,3600
195797740,75.0955,76.8316,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195801320,75.6219,77.347,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195804920,74.949,76.6829,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195808520,74.9881,76.747,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195812100,75.5401,77.2848,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
195815700,75.1345,76.8522,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
195819300,75.1183,76.8739,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195822880,75.4474,77.1954,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
