Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
195850380,75.026,76.7448,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195853960,75.4736,-18228,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
195857560,75.1562,76.8934,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195861160,75.076,76.7855,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
195864760,75.1139,76.8535,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195868340,75.3055,77.0655,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195871940,75.0391,76.7672,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195875520,75.3262,77.0696,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195879100,75.4157,77.1562,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195882700,75.0326,76.7491,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195886300,74.9924,76.7255,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195889880,75.4157,77.1763,0,0,0,0,0,0,0,0,0,0,348,5,1.4375,0,3580
195893460,75.4103,77.1575,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195897060,75.077,76.7915,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195900660,75.0358,76.7907,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195904240,75.4736,77.1999,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195907840,75.1769,76.916,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195911440,75.2181,77.2051,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195915040,74.9685,76.7048,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
195918620,75.4332,77.1981,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3580
195922200,75.5019,77.2424,0,0,0,0,0,0,0,0,0,0,349,5,1.45312,0,3580
195925800,75.0087,76.7506,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195929400,75.1584,76.9,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195932980,75.2804,77.0067,0,0,0,0,0,0,0,0,0,0,348,5,1.46094,0,3580
195936560,75.3252,77.0744,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195940160,74.9935,76.7322,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195943760,75.077,76.8408,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195947340,75.4539,77.2054,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195950940,74.9533,76.6912,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195954540,75.1573,76.9002,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
195958120,75.5183,77.2649,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195961720,75.0184,76.7531,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195965300,75.3917,77.116,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195968900,75.1845,76.9263,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195972500,75.089,76.8373,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195976080,75.4157,77.1585,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3580
195979680,75.0206,76.7323,0,0,0,0,0,0,0,0,0,0,346,5,1.4375,0,3600
195983280,75.1845,76.9431,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195986880,75.0608,76.7955,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
195990460,75.5041,77.2464,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195994040,75.5456,77.2693,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
195997660,74.6234,76.3494,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3620
196001240,-18229.7,77.293,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
196004840,74.9954,76.7318,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
196008440,75.1816,76.9499,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
196012040,75.1068,76.843,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
196015620,75.6043,77.3588,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
196019220,75.1458,76.8848,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
196022820,75.0575,76.7768,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
