Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
194850380,75.0054,76.7231,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194853960,75.2924,77.0219,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194857540,75.4812,77.2139,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194861140,74.8969,76.6385,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194864740,74.9349,76.6395,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194868320,75.4583,77.2161,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194871900,75.4048,77.1135,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194875500,74.9805,76.7263,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194879080,75.4255,77.155,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194882680,75.127,76.8544,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194886280,74.9805,76.6829,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194889880,75.0098,76.747,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194893460,75.4474,77.179,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3580
194897040,75.3983,77.1343,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194900640,75.026,76.7491,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194904240,75.0391,76.7676,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194907820,75.5227,77.2412,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3580
194911420,75.0239,76.7697,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194915020,75.0401,76.7459,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194918600,75.3983,77.1277,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194922180,75.5085,77.239,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194925780,74.9371,76.684,0,0,0,0,0,0,0,0,0,0,345,5,1.46094,0,3600
194929380,75.1291,76.8533,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3600
194932960,75.3557,77.0906,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194936560,75.1063,76.8099,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194940160,75.1107,76.8327,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3600
194943760,75.0618,76.8142,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194947340,75.3786,77.0917,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3580
194950940,75.1172,76.8349,0,0,0,0,0,0,0,0,0,0,348,5,1.45312,0,3600
194954540,74.8969,76.6428,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
194958120,75.5237,77.2412,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194961720,75.1747,76.8967,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194965320,75.1063,76.8522,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194968900,75.4201,77.1364,0,0,0,0,0,0,0,0,0,0,346,5,1.44531,0,3580
194972480,75.5085,77.2434,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
194976080,74.9599,76.6938,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3600
194979680,74.9219,76.6645,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194983260,75.3623,77.0906,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
194986860,75.0445,76.748,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
194990460,75.0065,76.7535,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3600
194994040,75.5467,77.2641,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
194997620,75.2957,77.0513,0,0,0,0,0,0,0,0,0,0,346,5,1.45312,0,3580
195001220,75.0922,-18126.7,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3600
195004820,75.0043,76.7614,0,0,0,0,0,0,0,0,0,0,345,5,1.45312,0,3600
195008400,75.3197,77.0331,0,0,0,0,0,0,0,0,0,0,347,5,1.45312,0,3580
195011980,75.3753,77.1183,0,0,0,0,0,0,0,0,0,0,347,5,1.46094,0,3580
195015580,74.9837,76.6866,0,0,0,0,0,0,0,0,0,0,346,5,1.46875,0,3600
195019180,75.0271,76.7734,0,0,0,0,0,0,0,0,0,0,347,5,1.44531,0,3600
195022760,75.527,77.2649,0,0,0,0,0,0,0,0,0,0,346,5,1.46094,0,3580
