Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
71746130,431.499,-3346.99,1.04,38.51,6.65,0,0,0,0,0,0,0,639,5,91.2109,90.7996,17300
71804380,201.249,203.712,14.92,16.52,0.02,0,0,0,0,68.22,0,0,641,5,98.9609,98.5682,58250
71864470,196.538,198.688,14.97,16.76,0,0,0,0,0,67.94,0,0,641,5,98.8906,98.4876,60090
71924810,194.284,196.753,14.98,16.55,0,0,0,0,0,68.12,0,0,644,5,98.875,98.4714,60340
71983540,198.88,201.536,14.96,16.74,0.02,0,0,0,0,67.94,0,0,641,5,98.875,98.4431,58730
72044150,-884.539,-881.922,15,16.5,0,0,0,0,0,68.19,0,0,642,5,98.875,98.4367,60610
72105130,191.476,194.119,14.95,16.66,0,0,0,0,0,68.11,0,0,645,5,98.8672,98.4312,60980
72164650,187.201,189.882,14.87,16.8,0,0,0,0,0,68,0,0,642,5,98.8828,98.4475,59520
72206860,127.829,129.974,14.75,16.26,0,0,0,0,0,67.16,0,0,644,5,98.8828,98.4533,42210
72234430,190.976,194.309,14.61,16.24,0.02,0,0,0,0,67.23,0,0,615,5,98.8047,98.3998,27570
72251460,50.6712,53.9739,1.46,3.13,2.21,0,0,0,0,6.8,0,0,396,5,98.9297,98.5258,17030
72254930,79.4815,80.0522,7.85,18.91,29.73,0,0,0,0,0,0,0,394,5,67.3828,66.5286,3470
72258060,89.1149,89.8949,8.64,17.49,31.7601,0,0,0,0,0,0,0,391,5,2.25,0.776258,3130
72261110,90.196,90.908,7.16,17.8,32.2501,0,0,0,0,0,0,0,394,5,2.26562,0.778714,3050
72264260,87.9315,88.4226,9.16,18.28,31.7701,0,0,0,0,0,0,0,394,5,2.26562,0.776242,3150
72267320,87.4757,88.6859,9.49001,17.17,32.7801,0,0,0,0,0,0,0,389,5,2.26562,0.776193,3060
72270360,88.7451,89.971,8.45,15.51,35.03,0,0,0,0,0,0,0,391,5,2.26562,0.778672,3040
72273440,87.7511,88.8976,8.69,17.55,33.4501,0,0,0,0,0,0,0,388,5,2.27344,0.776144,3080
72276470,88.6512,89.76,9.36,16.06,34,0,0,0,0,0,0,0,385,5,2.26562,0.778697,3030
72279590,90.8929,92.1337,8.25,16.83,33.5301,0,0,0,0,0,0,0,407,5,2.25781,0.776177,3120
72280690,26.3707,27.2301,0,0,0,0,0,0,0,0,0,0,407,5,2.27344,0.776336,1100
