Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
15872710,112.967,120.678,0.55,38.46,6.85,0,0,0,0,0,0,0,455,5,42.4219,41.3738,6160
15878570,139.726,139.508,0.6,38.09,6.94,0,0,0,0,0,0,0,460,5,50.6797,49.7955,5860
15885300,196.868,199.681,13.59,16.5,69.71,0,0,0,0,0,0,0,570,5,50.6953,49.6042,6730
15892320,190.731,193.947,13.61,16.71,69.47,0,0,0,0,0,0,0,570,5,50.8281,49.7066,7020
15899410,186.44,189.359,13.65,16.49,69.64,0,0,0,0,0,0,0,570,5,50.8203,49.6943,7090
15906410,188.148,191.178,13.6,16.54,69.64,0,0,0,0,0,0,0,570,5,50.8281,49.6931,7000
15913360,198.831,202.177,13.5,16.34,69.82,0,0,0,0,0,0,0,572,5,50.8203,49.6902,6950
15920680,187.357,190.343,13.46,16.56,69.68,0,0,0,0,0,0,0,569,5,50.8359,49.7054,7320
15927920,180.3,182.957,13.45,16.43,69.95,0,0,0,0,0,0,0,575,5,50.8906,49.7579,7240
15934800,189.603,192.336,13.62,16.65,69.56,0,0,0,0,0,0,0,571,5,50.7969,49.6689,6880
15941700,192.78,195.499,13.81,16.38,69.61,0,0,0,0,0,0,0,574,5,50.8047,49.6882,6900
15948710,185.472,-9160.35,13.56,16.45,69.84,0,0,0,0,0,0,0,572,5,50.8516,49.7258,7010
15955580,189.82,192.409,13.56,16.57,69.73,0,0,0,0,0,0,0,575,5,50.8203,49.7023,6870
15962410,195.848,198.534,13.81,16.55,69.42,0,0,0,0,0,0,0,571,5,50.8516,49.729,6830
15969470,195.698,198.425,13.41,16.56,69.72,0,0,0,0,0,0,0,575,5,50.7734,49.6481,7060
15976730,188.12,190.659,13.64,16.48,69.63,0,0,0,0,0,0,0,573,5,50.8828,49.7457,7260
15983920,178.657,181.09,13.39,16.67,69.82,0,0,0,0,0,0,0,570,5,50.8125,49.6821,7190
15990690,203.373,206.202,13.58,16.42,69.76,0,0,0,0,0,0,0,573,5,50.8125,49.6956,6770
15997920,184.149,186.637,13.55,16.56,69.69,0,0,0,0,0,0,0,572,5,50.8438,49.7144,7230
16004930,192.156,194.831,13.71,16.65,69.4,0,0,0,0,0,0,0,576,5,50.8125,49.6879,7010
16012010,184.81,187.322,13.65,16.53,69.65,0,0,0,0,0,0,0,571,5,50.8203,49.6965,7080
16018880,195.882,198.643,13.42,16.46,69.93,0,0,0,0,0,0,0,572,5,50.8516,49.7286,6870
16025980,183.82,186.345,13.44,16.52,69.86,0,0,0,0,0,0,0,573,5,50.8828,49.7481,7100
16032840,188.739,191.385,13.47,16.57,69.76,0,0,0,0,0,0,0,575,5,50.7969,49.6691,6860
16039640,184.776,187.328,13.56,16.67,69.67,0,0,0,0,0,0,0,573,5,50.7969,49.6811,6800
16046240,201.204,203.987,13.64,16.61,69.53,0,0,0,0,0,0,0,574,5,50.8594,49.7396,6600
16053240,190.989,193.618,13.66,16.37,69.8,0,0,0,0,0,0,0,574,5,50.8203,49.6971,7000
16060270,-9135.63,188.761,13.48,16.43,69.89,0,0,0,0,0,0,0,571,5,50.8281,49.7011,7030
