Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
30756860,131.988,130.582,8.63,15.19,22.32,0,0,0,0,0,0,0,478,5,63.7422,62.8762,6940
30763390,197.742,209.636,8.52,15.25,22.44,0,0,0,0,0,0,0,610,5,75.3203,74.5426,6530
30772340,153.297,155.778,11.51,4.99,83.18,0,0,0,0,0,0,0,615,5,75.1875,74.3392,8950
30781200,181.294,184.081,11.45,5.12,83.12,0,0,0,0,0,0,0,611,5,75.125,74.2277,8860
30789340,160.061,162.697,11.6,5.16,83.13,0,0,0,0,0,0,0,616,5,75.0156,74.1693,8140
30797760,184.253,-7595.59,11.49,5.1,83.17,0,0,0,0,0,0,0,616,5,75.1094,74.2177,8420
30806590,181.986,184.88,11.62,5.14,82.97,0,0,0,0,0,0,0,614,5,74.9609,74.2232,8830
30814700,176.058,178.875,11.52,5.05,83.13,0,0,0,0,0,0,0,620,5,75.0859,74.1656,8110
30822800,180.706,183.617,11.48,5.06,83.16,0,0,0,0,0,0,0,615,5,75.0547,74.1618,8100
30831080,169.513,172.329,11.6,5.11,83.04,0,0,0,0,0,0,0,617,5,75.1328,74.2518,8280
30840030,172.717,175.422,11.62,5,83.21,0,0,0,0,0,0,0,615,5,75.0234,74.1292,8950
30847770,181.609,184.728,11.48,5,83.24,0,0,0,0,0,0,0,616,5,75.0703,74.2438,7740
30855720,177.382,180.412,11.52,4.97,83.25,0,0,0,0,0,0,0,618,5,75.0469,74.148,7950
30863680,168.698,171.64,11.68,5.01,83.18,0,0,0,0,0,0,0,617,5,75.0859,74.2099,7960
30871240,180.13,183.385,11.54,5.15,83.18,0,0,0,0,0,0,0,618,5,75.0938,74.2074,7560
30878930,183.226,186.687,11.61,4.96,83.22,0,0,0,0,0,0,0,615,5,75.0312,74.1528,7690
30886880,173.827,177.211,11.58,5.05,83.19,0,0,0,0,0,0,0,622,5,75.0703,74.1893,7950
30894690,182.859,186.471,11.53,5.01,83.21,0,0,0,0,0,0,0,623,5,75.1016,74.2218,7810
30902770,172.596,176.082,11.56,5.14,83.1,0,0,0,0,0,0,0,622,5,75.0703,74.1761,8080
30910620,184.075,187.812,11.49,4.99,83.24,0,0,0,0,0,0,0,623,5,75.0859,74.1919,7850
30918770,175.517,179.249,11.53,5.01,83.2,0,0,0,0,0,0,0,621,5,75.0312,74.144,8150
30926840,168.734,172.296,11.51,5.07,83.24,0,0,0,0,0,0,0,616,5,75.0547,74.1597,8070
30934520,177.81,181.53,11.59,5.1,83.15,0,0,0,0,0,0,0,618,5,75.0703,74.1913,7680
30942200,175.675,179.419,11.56,5.02,83.24,0,0,0,0,0,0,0,616,5,75.125,74.2574,7680
30949790,189.824,193.899,11.7,5.08,82.97,0,0,0,0,0,0,0,617,5,75.0234,74.1355,7590
30957940,178.969,182.828,11.59,5.09,83.02,0,0,0,0,0,0,0,621,5,75.0703,74.1794,8150
30966150,176.364,180.15,11.48,5.07,83.17,0,0,0,0,0,0,0,618,5,75.1172,74.2273,8210
30974310,171.234,174.974,11.62,5.21,82.96,0,0,0,0,0,0,0,622,5,75.0234,74.1317,8160
30982190,177.702,181.515,11.48,5.07,83.22,0,0,0,0,0,0,0,622,5,75.1406,74.2327,7880
30990080,174.719,178.499,11.57,5.05,83.21,0,0,0,0,0,0,0,623,5,75.0547,74.1772,7890
30997850,167.851,171.477,11.57,5.06,83.24,0,0,0,0,0,0,0,622,5,75.0391,74.1584,7770
31005200,186.769,190.859,11.63,5.08,83.06,0,0,0,0,0,0,0,619,5,75.0625,74.1858,7350
31012930,176.435,180.246,11.47,5.06,83.29,0,0,0,0,0,0,0,621,5,75.0312,74.1279,7730
31021630,191.091,195.137,11.51,5.06,83.11,0,0,0,0,0,0,0,619,5,75.0703,74.1811,8700
31030990,162.401,165.784,11.6,5.01,83.21,0,0,0,0,0,0,0,620,5,75.0547,74.2188,9360
