Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
229034740,87.781,86.7395,8.16,14.5,27.85,0,0,0,0,0,0,0,383,5,2.02344,0.613334,4420
229038220,89.9403,86.6261,7.35,15.77,24.99,0,0,0,0,0,0,0,383,5,2.1875,0.776018,3480
229042700,85.7326,73.701,33.22,33.22,33.36,0,0,0,0,0,0,0,400,5,2.30469,0.779018,4480
229046560,98.8868,84.6778,11.44,6.13,82.23,0,0,0,0,0,0,0,395,5,2.13281,0.777202,3860
229050400,99.5728,85.2842,11.55,5.72,82.34,0,0,0,0,0,0,0,396,5,2.125,0.769043,3840
229054240,98.466,84.3089,11.5,5.3,83.11,0,0,0,0,0,0,0,396,5,2.125,0.771078,3840
229058040,100.221,85.8362,10.43,4.98,84.29,0,0,0,0,0,0,0,396,5,2.125,0.773026,3800
229061880,99.2523,84.9787,11.54,6.9,81.47,0,0,0,0,0,0,0,399,5,2.125,0.773069,3840
229065680,100.631,86.1369,10.64,4.87,84.1,0,0,0,0,0,0,0,396,5,2.125,0.769043,3800
229068540,99.0904,85.4936,10.76,5.68,83.46,0,0,0,0,0,0,0,399,5,2.125,0.771078,2860
229072380,98.939,84.6675,11.31,5.5,82.9,0,0,0,0,0,0,0,396,5,2.25,0.770246,3840
229076180,100.416,85.9545,11.22,5.21,83.56,0,0,0,0,0,0,0,399,5,2.11719,0.771024,3800
229080020,99.3103,85.0179,11.56,5.44,82.9,0,0,0,0,0,0,0,396,5,2.13281,0.773069,3840
229083840,100.648,86.1558,10.75,5.39,83.07,0,0,0,0,0,0,0,403,5,2.125,0.773069,3820
229087700,98.2351,84.0699,11.23,6.28,82.39,0,0,0,0,0,0,0,396,5,2.13281,0.77113,3860
229091520,99.8558,85.4589,11.9,5.32,82.48,0,0,0,0,0,0,0,396,5,2.125,0.773026,3820
229095340,100.084,85.6389,10.76,6.29,82.86,0,0,0,0,0,0,0,396,5,2.13281,0.771078,3820
229099180,99.1292,84.8139,10.48,5.38,84.14,0,0,0,0,0,0,0,396,5,2.11719,0.771078,3840
229103000,100.186,85.7795,10.49,5.18,84.14,0,0,0,0,0,0,0,399,5,2.125,0.771024,3820
229106840,99.1486,84.8068,11.13,5.77,83,0,0,0,0,0,0,0,396,5,2.125,0.771078,3840
229110660,99.5715,85.1895,10.95,6.78,81.95,0,0,0,0,0,0,0,400,5,2.125,0.773069,3820
229114460,100.819,86.2814,12.5,5.03,81.88,0,0,0,0,0,0,0,396,5,2.125,0.771024,3800
229118320,98.7239,84.4393,10.59,4.98,84.24,0,0,0,0,0,0,0,401,5,2.125,0.773112,3860
229122140,99.6799,85.3301,10.55,6.77,82.35,0,0,0,0,0,0,0,396,5,2.125,0.773069,3820
229125960,99.7413,85.3413,10.79,5.62,83.5,0,0,0,0,0,0,0,403,5,2.125,0.771024,3820
229129800,99.3093,84.9569,11.23,5.78,82.8,0,0,0,0,0,0,0,397,5,2.125,0.773069,3840
229133620,100.133,85.711,10.73,6.53,82.65,0,0,0,0,0,0,0,397,5,2.11719,0.769043,3820
229137460,99.5117,85.1425,10.82,5.78,83.11,0,0,0,0,0,0,0,396,5,2.11719,0.769043,3840
229141300,99.5046,85.1374,11.62,4.38,84,0,0,0,0,0,0,0,396,5,2.13281,0.775115,3840
229145100,99.6906,85.2534,11.7,6.02,81.99,0,0,0,0,0,0,0,396,5,2.11719,0.769043,3800
229148900,100.609,86.0876,11.96,6.72,81.13,0,0,0,0,0,0,0,397,5,2.125,0.773026,3800
229152760,-16878.8,84.3553,10.72,6.35,82.95,0,0,0,0,0,0,0,400,5,2.13281,0.773112,3860
229156560,100.031,85.5422,12.02,5.61,82.07,0,0,0,0,0,0,0,395,5,2.13281,0.775082,3800
229160380,101.167,86.5787,10.89,5.98,82.23,0,0,0,0,0,0,0,400,5,2.11719,0.768979,3820
229164260,98.6893,84.4797,11.12,5.78,83,0,0,0,0,0,0,0,396,5,2.13281,0.771182,3880
229168100,98.9687,84.6675,9.7,5.68,84.53,0,0,0,0,0,0,0,396,5,2.125,0.773112,3840
229171900,100.425,85.9642,12.18,6.78,80.73,0,0,0,0,0,0,0,397,5,2.13281,0.775082,3800
229175740,99.5039,85.1161,11.75,6.65,81.38,0,0,0,0,0,0,0,401,5,2.10938,0.765058,3840
229179580,99.764,85.3739,11.99,5.35,82.36,0,0,0,0,0,0,0,397,5,2.13281,0.77716,3840
229183400,99.7058,85.3321,11.59,5.03,83.29,0,0,0,0,0,0,0,397,5,2.125,0.769043,3820
229186260,99.0517,85.37,10.56,5.98,83.28,0,0,0,0,0,0,0,401,5,2.11719,0.771078,2860
229189080,100.007,86.1744,12.46,5.27,81.98,0,0,0,0,0,0,0,399,5,2.25,0.770168,2820
229192900,99.9138,85.5044,10.39,6.59,82.63,0,0,0,0,0,0,0,399,5,2.26562,0.775709,3820
229196740,99.6035,85.2366,11.61,6.28,81.92,0,0,0,0,0,0,0,397,5,2.11719,0.767008,3840
229200600,99.5807,85.1886,11.08,5,83.51,0,0,0,0,0,0,0,402,5,2.125,0.773112,3860
229204440,99.0607,84.7422,11.64,4.48,83.68,0,0,0,0,0,0,0,396,5,2.13281,0.773112,3840
