Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
180532460,96.0579,94.7422,7.61,14.01,25.12,0,0,0,0,0,0,0,308,5,2.07812,0.560662,4360
180536960,95.5512,92.3277,7.77,13.9,28.81,0,0,0,0,0,0,0,322,5,2.19531,0.777762,4500
180540480,87.1105,75.1831,32.83,33.53,33.44,0,0,0,0,0,0,0,321,5,2.1875,0.776065,3520
180544320,110.768,92.248,9.16,8.44,81.82,0,0,0,0,0,0,0,319,5,2.25,0.773112,3840
180548200,108.143,90.0169,8.37,7.86,83.25,0,0,0,0,0,0,0,323,5,2.13281,0.779226,3880
180552020,110.456,91.9625,8.97,8.16,82.58,0,0,0,0,0,0,0,318,5,2.14062,0.777138,3820
180555820,110.576,92.0755,9.08,7.97,82.88,0,0,0,0,0,0,0,320,5,2.11719,0.775146,3800
180559660,109.642,91.3172,9.05,8.45,82.31,0,0,0,0,0,0,0,319,5,2.13281,0.78125,3840
180563460,110.796,92.299,9.24,9.27,81.21,0,0,0,0,0,0,0,322,5,2.125,0.771078,3800
180567300,109.815,91.4124,9.02,8.78,81.99,0,0,0,0,0,0,0,318,5,2.14062,0.783306,3840
180571100,110.587,92.0857,8.65,8.8,82.17,0,0,0,0,0,0,0,321,5,2.125,0.773112,3800
180574940,109.707,91.3305,7.48,8.28,84.13,0,0,0,0,0,0,0,317,5,2.13281,0.77716,3840
180578760,109.996,91.5939,8.88,9.04,82.08,0,0,0,0,0,0,0,322,5,2.125,0.77716,3820
180582580,110.521,92.0259,7.97,9.13,82.65,0,0,0,0,0,0,0,319,5,2.13281,0.77716,3820
180586400,109.912,91.4691,9.08,8.83,81.49,0,0,0,0,0,0,0,317,5,2.125,0.77716,3820
180590200,110.29,91.8986,8.09,8.58,83.04,0,0,0,0,0,0,0,318,5,2.13281,0.777138,3800
