Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
182105520,95.3218,93.9853,8.19,14.45,24.39,0,0,0,0,0,0,0,308,5,2.02344,0.613584,4400
182110020,98.0994,91.9505,7.63,13.02,27.24,0,0,0,0,0,0,0,322,5,2.1875,0.777778,4500
182114540,93.4579,78.3683,14.84,18.07,14.45,0,0,27.85,0,24.48,0,0,318,5,2.1875,0.774336,4520
182118400,109.271,90.7545,1.6,6.18,0.1,0,0,51.27,0,40.74,0,0,322,5,2.125,0.775209,3860
182122220,110.623,91.9037,2.19,6.67,0.31,0,0,53.9,0,36.93,0,0,319,5,2.13281,0.779205,3820
182126040,110.412,91.6936,1.5,7.72,0.3,0,0,52.74,0,37.75,0,0,325,5,2.13281,0.775146,3820
182129900,109.613,90.9964,2.2,7.33,0.2,0,0,48.43,0,41.58,0,0,318,5,2.125,0.777181,3860
182133720,110.257,91.5448,1.59,5.95,0.4,0,0,51.22,0,40.83,0,0,320,5,2.13281,0.775146,3820
182137540,110.014,91.4068,1.89,6.46,0.2,0,0,51.15,0,40.22,0,0,319,5,2.14062,0.78125,3820
182141340,111.284,92.4142,2.39,5.5,0.3,0,0,53.95,0,36.99,0,0,318,5,2.13281,0.777138,3800
182145180,110.16,91.4988,2.1,6.6,0.33,0,0,49.18,0,41.5,0,0,323,5,2.11719,0.775178,3840
182149040,109.262,90.7318,0.8,7.46,0.1,0,0,53.68,0,37.77,0,0,318,5,2.13281,0.777181,3860
182152840,111.03,92.2163,1.64,5.58,0.4,0,0,54.15,0,38.23,0,0,323,5,2.14062,0.78125,3800
182156680,109.639,91.0451,1.82,5.68,0.1,0,0,50,0,42.2,0,0,319,5,2.125,0.773112,3840
182160500,111.378,92.4892,1.57,6.87,0.4,0,0,52.01,0,38.54,0,0,323,5,2.125,0.775115,3820
182164340,109.721,91.1509,1.99,5.99,0.4,0,0,53.56,0,37.89,0,0,319,5,2.14062,0.78125,3840
182168180,110.181,91.4551,1.99,6.11,0.3,0,0,51.31,0,40.01,0,0,321,5,2.11719,0.773112,3840
182172020,110.267,91.5914,1.96,6.8,0.4,0,0,49.42,0,41.28,0,0,319,5,2.14844,0.779205,3840
182175840,110.471,91.6926,1.5,6.14,0.1,0,0,54.29,0,37.98,0,0,326,5,2.125,0.777181,3820
182179680,110.271,91.5975,1.6,5.69,0.2,0,0,51.17,0,40.86,0,0,319,5,2.11719,0.775146,3840
182183520,110.881,92.0634,2.49,6.87,0.4,0,0,49.13,0,40.72,0,0,324,5,2.14062,0.779205,3840
182187380,109.292,90.7555,1.79,5.98,0.5,0,0,51.28,0,40.14,0,0,318,5,2.13281,0.775178,3860
182191180,111.025,92.1844,2.2,7.01,0.3,0,0,50.31,0,39.99,0,0,319,5,2.11719,0.777181,3800
182195020,109.688,91.0777,2.17,5.98,0.5,0,0,48.78,0,42.58,0,0,319,5,2.13281,0.77716,3840
182198820,111.639,92.7005,1.51,6.69,0.1,0,0,54.63,0,36.67,0,0,319,5,2.125,0.77716,3800
182202680,109.342,90.8001,1.57,7.51,0,0,0,50.25,0,40.38,0,0,322,5,2.125,0.773154,3860
182206520,111.16,92.2292,1.97,6.48,0.6,0,0,53.44,0,37.1,0,0,318,5,2.14062,0.783306,3840
182210380,109.367,90.7647,2.49,7.54,0.5,0,0,50.1,0,39.37,0,0,323,5,2.13281,0.777202,3860
182214180,111.201,92.3396,2.79,6.28,0.2,0,0,52.81,0,37.7,0,0,319,5,2.125,0.773112,3800
182218020,109.563,90.9424,1.7,6.71,0.4,0,0,52.08,0,39.13,0,0,322,5,2.125,0.775146,3840
182221840,110.493,91.7723,2.19,6.49,0.2,0,0,51.58,0,39.23,0,0,320,5,2.13281,0.78125,3820
182225660,110.767,91.9717,1.89,6.78,0.2,0,0,51.18,0,39.86,0,0,323,5,2.14062,0.77716,3820
182229500,110.054,91.3615,1.8,5.88,0.1,0,0,53.92,0,38.13,0,0,318,5,2.125,0.775146,3840
182233320,110.57,91.803,2.39,7.08,0.1,0,0,49.11,0,40.9,0,0,319,5,2.125,0.775146,3820
182237160,109.961,91.2679,1.69,6.51,0.5,0,0,50.49,0,40.61,0,0,320,5,2.13281,0.77716,3840
182240980,110.924,92.3255,1.79,6.65,0.72,0,0,52.73,0,37.89,0,0,319,5,2.14844,0.77716,3820
182244820,109.962,91.2903,1.89,7.69,0.1,0,0,49.51,0,40.51,0,0,320,5,2.17188,0.777181,3840
182248640,110.429,91.7325,2.06,6.59,0.1,0,0,52.05,0,38.8,0,0,319,5,2.13281,0.779205,3820
182252460,110.516,91.7938,1.9,6.26,0.1,0,0,52.89,0,38.67,0,0,321,5,2.125,0.773112,3820
182256300,109.887,91.2272,2.19,6.18,0.2,0,0,52.84,0,38.39,0,0,319,5,2.14062,0.78125,3840
182260120,111.021,92.2448,1.69,7.26,0.1,0,0,48.58,0,42.17,0,0,323,5,2.125,0.777181,3820
182263960,109.841,91.214,2.1,6.17,0.3,0,0,54.75,0,36.48,0,0,318,5,2.13281,0.775146,3840
182267800,110.328,91.6066,1.6,5.84,0.4,0,0,52.62,0,39.43,0,0,323,5,2.13281,0.775115,3840
182271620,110.219,91.4993,1.9,5.69,0.4,0,0,51.95,0,39.97,0,0,319,5,2.13281,0.779215,3820
182275440,110.841,92.0771,1.69,5.88,0,0,0,53.86,0,38.26,0,0,325,5,2.14062,0.779194,3820
182279260,111.171,92.3153,1.87,7.22,0.1,0,0,51.04,0,39.46,0,0,319,5,2.11719,0.773154,3820
182283120,109.31,90.7667,1.3,5.38,0.3,0,0,54.55,0,38.26,0,0,321,5,2.14062,0.779215,3860
182286940,109.925,91.2641,2.25,7.4,0,0,0,48.17,0,42.08,0,0,319,5,2.125,0.775115,3820
182290740,111.129,92.2749,1.78,5.82,0.1,0,0,50.74,0,41.48,0,0,319,5,2.11719,0.775115,3800
182294560,110.594,91.7877,1.6,6.38,0.51,0,0,51.43,0,39.87,0,0,323,5,2.14062,0.77716,3820
182298400,110.423,91.6524,2,6.41,0.1,0,0,52.11,0,38.89,0,0,320,5,2.13281,0.779205,3840
182302240,108.608,91.2679,1.88,7.48,0.2,0,0,51.67,0,38.58,0,0,321,5,2.13281,0.775146,3840
182306060,108.524,92.3757,33.16,33.68,33.06,0,0,0,0,0,0,0,318,5,2.13281,0.779205,3820
182309920,108.578,91.2221,1.39,7.23,0.2,0,0,52.26,0,38.91,0,0,303,5,2.125,0.773154,3860
182313760,113.893,95.2972,2.4,7.19,0.58,0,0,50.74,0,37.17,0,0,320,5,2.13281,0.777181,3840
182317760,108.645,90.9629,2.08,6.81,0.48,0,0,46.86,0,41.12,0,0,318,5,2.14062,0.777344,4000
182321700,105.899,88.9455,1.7,6.6,0.1,0,0,52.01,0,39.42,0,0,327,5,2.15625,0.779267,3940
182324540,113.694,95.7444,1.76,6.31,0.59,0,0,53.18,0,36.27,0,0,324,5,2.11719,0.773112,2840
182328480,106.598,89.3788,2.01,5.48,0.1,0,0,52.36,0,40.03,0,0,319,5,2.26562,0.778593,3940
182332320,115.028,96.3013,2.04,7.31,1.26,0,0,47.49,0,37.64,0,0,323,5,2.13281,0.777181,3840
182335340,111.302,94.3734,2.28,7.5,1.34,0,0,47.66,0,36.52,0,0,323,5,2.15625,0.777363,3020
182339440,106.85,89.4579,1.59,5.89,0.75,0,0,50.63,0,39.36,0,0,319,5,2.28125,0.778714,4100
182343420,105.091,88.0722,1.9,6.68,0.1,0,0,50.87,0,40.26,0,0,322,5,2.14844,0.775391,3980
182347240,113.641,95.8964,2.01,7.53,0.66,0,0,50.37,0,37.15,0,0,320,5,2.11719,0.773112,3820
182351240,110.144,92.9863,1.84,7.1,2.39,0,0,47.27,0,35.44,0,0,317,5,2.14844,0.779287,4000
182355300,110.471,93.5422,1.84,6.85,2.67,0,0,45.02,0,35.81,0,0,322,5,2.15625,0.779316,4060
182359440,100.097,85.3525,1.39,5.88,0.2,0,0,54.11,0,38.06,0,0,320,5,2.16406,0.777476,4140
182363260,108.714,92.0505,1.69,5.56,0.27,0,0,50.84,0,41.41,0,0,318,5,2.13281,0.777181,3820
182367100,110.659,93.6676,1.55,5.95,0.39,0,0,50.07,0,41.12,0,0,326,5,2.11719,0.77113,3840
182371020,111.815,94.6897,2,8.32,2.49,0,0,48.71,0,33.73,0,0,310,5,2.14844,0.78125,3920
182375060,110.246,93.0451,1.95,6.23,1.47,0,0,48.26,0,36.31,0,0,319,5,2.15625,0.777382,4040
182379180,104.012,88.0414,2.16,6.7,0.97,0,0,50.3,0,37.56,0,0,322,5,2.14844,0.773628,4120
182383100,105.418,89.5518,1.59,5.98,0.1,0,0,51.89,0,40.22,0,0,320,5,2.14062,0.777304,3920
182386960,107.995,91.3283,1.59,5.78,0.2,0,0,52.22,0,40.1,0,0,319,5,2.125,0.775146,3860
182390780,113.938,96.467,2.09,6.22,1.7,0,0,44.64,0,40.49,0,0,323,5,2.13281,0.779205,3820
182394800,111.676,94.2708,2.69,6.47,2.27,0,0,46.18,0,35.94,0,0,324,5,2.16406,0.78125,4020
182398940,107.232,91.0373,1.61,6.86,2.05,0,0,47.67,0,36.44,0,0,318,5,2.15625,0.775589,4140
182403040,100.848,85.7479,1.29,6.18,0.1,0,0,53.09,0,39.05,0,0,326,5,2.15625,0.775534,4100
182406880,-16957.5,91.5914,1.3,6.28,0.3,0,0,52.78,0,39.15,0,0,319,5,2.125,0.775146,3840
182410700,114.231,96.2195,1.8,5.58,0.99,0,0,48.75,0,39.11,0,0,310,5,2.125,0.777181,3820
182414600,97.8359,96.5675,5.56,15.75,20.06,0,0,16.51,0,14.5,0,0,300,5,2.15625,0.777344,3900
