Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
188087320,94.6499,93.4789,5.36,15.14,26.73,0,0,0,0,0,0,0,305,5,2.02344,0.612571,4380
188091780,97.1934,91.6121,6.68,14.35,27.68,0,0,0,0,0,0,0,323,5,2.19531,0.777731,4460
188096220,90.9985,79.4412,19.74,20.13,18.55,0,0,39.3,0,2.08,0,0,314,5,2.19531,0.777731,4440
188100060,104.634,91.3493,3.89,3.29,0.2,0,0,89.33,0,2.98,0,0,314,5,2.13281,0.773154,3840
188103880,104.809,91.5504,2.88,4.39,0.4,0,0,88.64,0,3.48,0,0,317,5,2.13281,0.775146,3820
188107700,104.805,91.4523,3.58,3.29,0.3,0,0,89.03,0,3.58,0,0,315,5,2.14844,0.779194,3820
188111520,105.566,92.1589,3.69,2.99,0.4,0,0,89.02,0,3.43,0,0,318,5,2.13281,0.77716,3820
188115340,105.274,91.847,3.89,3.99,0.2,0,0,88.65,0,3.19,0,0,316,5,2.14844,0.775146,3820
188119180,104.558,91.2882,3.98,3.89,0.5,0,0,87.93,0,3.52,0,0,318,5,2.14062,0.77716,3840
188123000,105.237,91.7836,3.1,4.19,0.2,0,0,88.83,0,3.59,0,0,315,5,2.14062,0.779205,3820
188126820,105.284,91.8296,2.79,2.69,0.1,0,0,90.48,0,3.45,0,0,319,5,2.125,0.775146,3820
188130660,104.627,91.331,4.08,3.39,0.3,0,0,87.74,0,4.19,0,0,314,5,2.14844,0.779194,3840
188134460,106.576,92.9831,4.02,3.2,0.79,0,0,88,0,3.29,0,0,315,5,2.13281,0.775146,3800
188137340,104.344,91.763,2.79,3.89,0.2,0,0,88.84,0,3.88,0,0,318,5,2.14062,0.773154,2880
188141180,104.915,91.5365,3.18,3.18,0.1,0,0,90.16,0,3.18,0,0,315,5,2.25781,0.778518,3840
188145020,104.222,90.9709,3.99,2.79,0.2,0,0,89.17,0,3.52,0,0,319,5,2.14844,0.77716,3840
188148820,105.445,92.0117,4.46,3.59,0.3,0,0,87.95,0,3.59,0,0,317,5,2.14062,0.779194,3800
188152620,105.916,92.4445,3.49,3.99,0.1,0,0,89.55,0,2.89,0,0,319,5,2.13281,0.77716,3800
188156460,104.688,91.3503,4.65,3.89,0.3,0,0,87.52,0,3.29,0,0,315,5,2.14062,0.775115,3840
188160280,105.107,91.7253,3.36,4.81,0.3,0,0,87.62,0,3.63,0,0,315,5,2.14062,0.779205,3820
188164100,105.331,91.9533,4.19,3.94,0.5,0,0,87.62,0,3.68,0,0,315,5,2.14062,0.775115,3820
188167940,105.182,91.7887,3.73,3.09,0.3,0,0,88.72,0,3.86,0,0,314,5,2.14062,0.779205,3840
188171760,105.264,91.849,3.08,3.61,0.3,0,0,89.54,0,3.49,0,0,314,5,2.14844,0.777181,3820
188175600,104.404,91.1021,3.69,2.99,0.1,0,0,89.23,0,3.89,0,0,316,5,2.13281,0.773112,3840
188179400,105.519,92.0909,3.49,3.98,0.3,0,0,89.24,0,2.89,0,0,315,5,2.13281,0.779194,3800
188183200,105.417,91.9428,3.59,3.38,0.3,0,0,89.75,0,2.99,0,0,315,5,2.14844,0.777138,3800
188187020,105.448,92.0546,4.16,3.63,0.3,0,0,89.01,0,2.79,0,0,315,5,2.125,0.775115,3820
188190840,105.192,91.8091,4.08,3.79,0.5,0,0,88.73,0,2.72,0,0,315,5,2.14844,0.779205,3820
188194660,105.087,91.7764,4.38,4.48,0.2,0,0,88.03,0,2.79,0,0,320,5,2.11719,0.771078,3820
188198480,106.139,92.6886,3.69,3.49,0.4,0,0,88.54,0,3.49,0,0,314,5,2.15625,0.78125,3820
188202340,104.892,91.5854,3.75,4.09,0.5,0,0,87.78,0,3.48,0,0,319,5,2.13281,0.777202,3860
188206180,104.698,91.4347,3.39,3.53,0.5,0,0,89.91,0,2.5,0,0,315,5,2.13281,0.773154,3840
188210020,104.965,91.6331,4.37,2.79,0.3,0,0,89.77,0,2.79,0,0,318,5,2.14844,0.78125,3840
188213840,105.352,91.9666,4.15,3.38,0.1,0,0,89.39,0,2.99,0,0,315,5,2.14062,0.773112,3820
188217680,104.67,91.3462,4.09,2.49,0.2,0,0,89.82,0,3.39,0,0,322,5,2.125,0.775146,3840
188221480,106.237,92.7066,3.63,3.39,0,0,0,88.42,0,4.3,0,0,316,5,2.15625,0.78125,3800
188225320,104.356,91.1326,3.38,3.48,0.1,0,0,89.43,0,3.48,0,0,315,5,2.13281,0.775146,3840
188229120,106.089,92.5606,3.69,2.89,0.4,0,0,89.02,0,3.59,0,0,315,5,2.14844,0.779194,3800
188232960,104.72,91.4093,3.86,3.77,0.5,0,0,87.61,0,3.98,0,0,316,5,2.13281,0.773112,3840
188236800,104.911,91.6311,3.75,3.68,0.3,0,0,87.83,0,3.69,0,0,318,5,2.14062,0.779205,3840
188240620,105.102,91.7693,3.89,3.69,0.4,0,0,88.06,0,3.88,0,0,315,5,2.13281,0.775146,3820
188244440,104.91,91.6374,4.08,3.39,0.3,0,0,88.07,0,3.78,0,0,319,5,2.14062,0.775115,3820
188248240,105.971,92.4928,3.88,3.63,0.1,0,0,88.2,0,4,0,0,313,5,2.13281,0.775115,3800
188252060,104.749,91.4042,3.59,4.38,0.2,0,0,88.85,0,2.7,0,0,319,5,2.15625,0.783306,3820
188255880,105.304,91.9564,3.19,3.78,0.39,0,0,89.49,0,2.97,0,0,314,5,2.13281,0.773069,3820
188259700,105.019,91.6445,4.35,3.19,0.1,0,0,88.59,0,3.78,0,0,321,5,2.14062,0.779205,3820
188263520,105.347,92.0208,3.32,3.54,0,0,0,89.47,0,3.38,0,0,314,5,2.14062,0.777138,3820
188267340,105.426,91.9861,3.79,3.39,0,0,0,89.74,0,2.77,0,0,323,5,2.13281,0.775146,3820
188271160,104.985,91.6496,3.49,3.94,0.4,0,0,89.28,0,2.79,0,0,315,5,2.13281,0.775146,3820
188274960,105.705,92.3386,4.2,3.29,0.3,0,0,89.48,0,2.49,0,0,318,5,2.14062,0.777138,3800
188278800,104.589,91.2771,4.18,3.88,0.3,0,0,88.07,0,3.39,0,0,315,5,2.14062,0.77716,3840
188282600,105.7,92.3561,3.98,3.09,0.3,0,0,90.14,0,2.3,0,0,313,5,2.13281,0.77716,3800
188286440,105.239,91.8518,2.79,3.39,0.54,0,0,89.53,0,3.57,0,0,317,5,2.14844,0.779194,3840
188290260,105.307,91.9441,4.99,3.89,0.4,0,0,86.95,0,3.79,0,0,314,5,2.14062,0.777181,3820
188294100,104.552,91.3157,3.19,3.68,0.1,0,0,89.15,0,3.78,0,0,318,5,2.14062,0.773112,3840
188297900,105.551,92.1289,3.62,2.79,0.4,0,0,89.49,0,3.7,0,0,316,5,2.14062,0.779194,3800
188301720,105.564,92.2407,3.53,2.49,0.21,0,0,89.87,0,3.6,0,0,319,5,2.125,0.773112,3820
188305540,105.15,-17063.3,3.4,3.19,0.5,0,0,89.84,0,3.09,0,0,314,5,2.14062,0.779205,3820
188309380,105.649,92.2207,2.97,3.52,0.9,0,0,89.62,0,2.68,0,0,324,5,2.14844,0.779194,3840
188313240,104.043,90.8484,3.19,3.39,0.2,0,0,89.49,0,3.39,0,0,316,5,2.13281,0.773196,3860
188317040,106.16,92.6621,3.49,3.96,0.1,0,0,88.27,0,3.68,0,0,315,5,2.13281,0.775115,3800
188320880,104.305,91.1107,3.68,4.88,0.3,0,0,87.93,0,3.19,0,0,316,5,2.14062,0.779205,3840
188324680,105.646,92.2129,4.18,3.59,0.1,0,0,89.04,0,2.49,0,0,317,5,2.13281,0.775115,3800
188328500,104.926,91.5886,4.98,2.89,0.2,0,0,88.14,0,3.7,0,0,315,5,2.14844,0.779194,3820
188332320,105.143,91.8035,4.09,3.29,0.2,0,0,89.11,0,3.01,0,0,317,5,2.13281,0.775115,3820
188336120,105.332,91.91,3.88,3.48,0.2,0,0,89.35,0,3.08,0,0,316,5,2.125,0.77716,3800
188339940,105.446,92.0273,4.39,3.3,0.2,0,0,87.54,0,4.38,0,0,316,5,2.13281,0.777138,3820
188343760,105.319,91.9251,3.53,2.79,0.2,0,0,90.7,0,2.69,0,0,317,5,2.14062,0.779205,3820
188347600,104.606,91.2488,4.23,4.28,0.3,0,0,88.48,0,2.7,0,0,315,5,2.11719,0.773112,3840
188351400,105.907,92.4916,3.79,3.33,0.4,0,0,88.58,0,3.62,0,0,318,5,2.14062,0.78125,3800
188355240,104.508,91.21,3.8,3.9,0.3,0,0,87.93,0,3.89,0,0,313,5,2.125,0.773112,3840
188359040,105.718,92.2415,3,4.39,0.3,0,0,88.73,0,3.18,0,0,320,5,2.125,0.775115,3800
188362860,105.13,91.8337,3.39,4.09,0.4,0,0,89.1,0,2.93,0,0,313,5,2.14062,0.78125,3820
188366680,105.214,91.8719,4.24,3.98,0.1,0,0,87.79,0,3.58,0,0,320,5,2.11719,0.773112,3820
188370520,104.806,91.533,3.59,2.49,0,0,0,90.61,0,3.09,0,0,313,5,2.14062,0.783306,3840
188374340,105.517,92.1025,4.19,3.89,0.2,0,0,88.22,0,3.29,0,0,315,5,2.125,0.773112,3820
188378180,104.56,91.2615,3.68,3.19,0.2,0,0,89.34,0,3.59,0,0,316,5,2.125,0.775146,3840
188381980,105.713,92.2841,3.98,4.39,0.3,0,0,87.89,0,3.42,0,0,315,5,2.13281,0.78125,3800
188385800,104.911,91.5654,3.67,3.39,0.1,0,0,89.1,0,3.53,0,0,315,5,2.11719,0.771078,3820
188389620,105.721,92.3056,3.81,3.59,0.5,0,0,87.69,0,4.25,0,0,314,5,2.13281,0.779194,3820
188393460,105.525,92.1151,2.99,3.59,0.2,0,0,89.64,0,2.88,0,0,320,5,2.13281,0.777181,3840
188397300,104.582,91.2807,3.75,3.26,0.4,0,0,89.15,0,3.16,0,0,315,5,2.125,0.773154,3840
188401120,105.556,92.2,4.2,3.18,0.4,0,0,88.31,0,3.48,0,0,319,5,2.14062,0.783306,3820
188403960,104.927,92.236,3.49,4.04,0.31,0,0,88.49,0,3.69,0,0,320,5,2.125,0.773112,2840
188407800,105.668,92.2401,3.69,3.14,0.3,0,0,88.61,0,3.68,0,0,314,5,2.26562,0.78125,3840
188411640,104.506,91.2532,3.89,3.89,0.2,0,0,88.74,0,2.89,0,0,314,5,2.13281,0.775178,3840
188415460,105.473,92.0351,4.09,3.25,0.3,0,0,88.93,0,3.19,0,0,317,5,2.13281,0.77716,3820
188419280,105.021,91.7332,3.94,3.58,0.5,0,0,88.22,0,3.58,0,0,320,5,2.13281,0.77716,3820
188423100,105.061,91.7015,3.79,3.59,0.2,0,0,87.82,0,4.42,0,0,316,5,2.11719,0.773112,3820
188426920,105.569,91.9945,3.47,3.38,0.1,0,0,89.08,0,3.81,0,0,324,5,2.13281,0.78125,3820
188430760,110.027,96.862,20.88,21.7,21.9,0,0,30.8,0,1.3,0,0,313,5,2.11719,0.773112,3840
188434800,98.8977,86.8754,3.79,3.29,0,0,0,88.63,0,4.1,0,0,316,5,2.16406,0.779307,4040
188438620,108.996,95.7762,4.05,4.25,0.68,0,0,83.34,0,3.88,0,0,320,5,2.11719,0.775146,3820
188442600,102.535,90.4589,4.69,2.98,0.1,0,0,88.81,0,1.89,0,0,313,5,2.14844,0.775361,3980
188446520,101.961,89.3629,3.71,2.59,0,0,0,90.38,0,3.34,0,0,323,5,2.14062,0.779257,3920
188450320,109.788,96.5268,3.19,4.05,0.6,0,0,83.92,0,5.07,0,0,316,5,2.11719,0.773069,3800
188454320,99.1328,87.7683,4.2,4.16,0.1,0,0,87.26,0,4.09,0,0,316,5,2.14844,0.779287,4000
188458160,104.222,91.7732,4.08,4.09,0.1,0,0,88.15,0,3.49,0,0,319,5,2.13281,0.78125,3840
188461980,103.968,91.9676,3.4,4.07,0.1,0,0,89.45,0,2.99,0,0,316,5,2.125,0.775146,3820
