Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
187269160,95.5676,94.3003,6.68,11.64,28.28,0,0,0,0,0,0,0,306,5,2.01562,0.610017,4380
187273680,98.2854,92.3154,8.14,12.77,27.79,0,0,0,0,0,0,0,322,5,2.1875,0.774336,4520
187278200,91.9369,78.0723,21.08,23.08,14.6,0,0,0,0,41.12,0,0,316,5,2.1875,0.777793,4520
187282040,109.358,92.1529,14.78,16.12,0.4,0,0,0,0,68.41,0,0,315,5,2.13281,0.777181,3840
187285900,107.535,90.6078,14.55,17.33,0.2,0,0,0,0,67.73,0,0,316,5,2.14062,0.779226,3860
187289700,109.84,92.5956,14.86,15.74,0.39,0,0,0,0,68.62,0,0,316,5,2.11719,0.77716,3800
187293560,108.281,91.2322,15.06,17.41,0.6,0,0,0,0,66.64,0,0,320,5,2.13281,0.777181,3860
187297400,108.164,91.1326,16.53,17.28,0.4,0,0,0,0,65.6,0,0,316,5,2.125,0.777181,3840
187301200,109.214,92.0477,15.75,15.54,0.1,0,0,0,0,68.41,0,0,318,5,2.14062,0.78125,3800
187305040,108.172,91.1326,14.98,17.39,0.4,0,0,0,0,66.94,0,0,315,5,2.125,0.773112,3840
187308840,109.806,92.572,15.82,16.06,0.4,0,0,0,0,67.53,0,0,317,5,2.13281,0.78125,3800
187312680,108.58,91.5517,16.54,15.39,0.3,0,0,0,0,67.47,0,0,316,5,2.13281,0.777181,3840
187316500,108.545,91.4155,15.06,18.41,0.4,0,0,0,0,66.03,0,0,324,5,2.13281,0.779205,3820
187320320,108.831,91.7795,17.73,16.29,0.2,0,0,0,0,65.49,0,0,316,5,2.125,0.775115,3820
187324120,108.836,91.7023,13.04,15.71,0.5,0,0,0,0,70.56,0,0,323,5,2.13281,0.77716,3800
187327940,108.905,91.8122,14.24,18.28,0.2,0,0,0,0,66.98,0,0,318,5,2.125,0.777138,3820
187331760,108.81,91.665,15,15.33,0.3,0,0,0,0,69.07,0,0,317,5,2.13281,0.779205,3820
187335560,109.295,92.1577,16.66,16.03,0.3,0,0,0,0,67.02,0,0,315,5,2.13281,0.77716,3800
187339400,-16957.2,91.5517,15.02,15.96,0.6,0,0,0,0,68.42,0,0,316,5,2.125,0.77716,3840
187343220,109.161,92.027,13.39,16.13,0.2,0,0,0,0,70.07,0,0,319,5,2.14062,0.779205,3820
187347040,108.901,91.803,14.89,17.06,1,0,0,0,0,67.05,0,0,315,5,2.125,0.775146,3820
187350880,108.238,91.2465,17.01,16.9,0.3,0,0,0,0,65.5,0,0,321,5,2.14844,0.783306,3840
187354680,109.397,92.1957,14.94,15.01,0.1,0,0,0,0,69.57,0,0,315,5,2.11719,0.771078,3800
187358500,108.461,91.4707,15.34,16.12,0.3,0,0,0,0,67.84,0,0,318,5,2.14062,0.78125,3820
187362320,109.016,91.9247,16.61,16.71,0.3,0,0,0,0,66.41,0,0,315,5,2.125,0.77716,3820
187366140,108.814,91.7008,16.01,14.22,0.4,0,0,0,0,69.36,0,0,318,5,2.13281,0.779205,3820
187369960,109.774,92.6006,15.85,15.55,0.5,0,0,0,0,67.91,0,0,314,5,2.125,0.77716,3820
187373820,107.8,90.9104,15.87,16.34,0.1,0,0,0,0,67.39,0,0,322,5,2.125,0.775178,3860
187377620,109.376,92.2379,14.89,14.73,0.6,0,0,0,0,69.68,0,0,316,5,2.13281,0.779205,3800
187381460,108.581,91.6158,16.57,17.62,0.2,0,0,0,0,65.32,0,0,319,5,2.125,0.77716,3840
187385280,108.867,91.8194,15.31,16.38,0,0,0,0,0,68.01,0,0,315,5,2.13281,0.779205,3820
187389100,109.229,92.0801,14.69,16.33,0.31,0,0,0,0,68.37,0,0,316,5,2.11719,0.773112,3820
187392960,108.281,91.3395,14.42,16.03,0.1,0,0,0,0,69.27,0,0,319,5,2.14844,0.78125,3860
187396760,109.716,92.5206,15.23,16.5,0.2,0,0,0,0,67.68,0,0,317,5,2.13281,0.779205,3800
187400600,108.442,91.4347,15.66,15.89,0.4,0,0,0,0,67.87,0,0,319,5,2.10938,0.773154,3840
187404420,108.835,91.7652,15.84,16.05,0.4,0,0,0,0,67.51,0,0,317,5,2.14844,0.783306,3820
187408240,108.912,91.8705,14.42,15.85,0.1,0,0,0,0,69.42,0,0,321,5,2.11719,0.771078,3820
187411080,108.306,91.9757,15.51,17.1,0.3,0,0,0,0,66.99,0,0,320,5,2.14062,0.783306,2840
187414900,108.724,91.7048,15.54,17.16,0.4,0,0,0,0,66.8,0,0,320,5,2.24219,0.770246,3820
187418700,109.38,92.2677,15.43,18.17,0.1,0,0,0,0,66.01,0,0,316,5,2.14062,0.783306,3800
187422520,109.026,91.9584,14.14,16.93,0.1,0,0,0,0,68.75,0,0,316,5,2.11719,0.773112,3820
187426340,108.81,91.7744,13.34,16.7,0.1,0,0,0,0,69.66,0,0,315,5,2.14062,0.78125,3820
187430160,108.975,91.9411,15.06,16.34,0.46,0,0,0,0,67.6,0,0,315,5,2.11719,0.773112,3820
187433980,108.958,91.9421,15.11,16.14,0.1,0,0,0,0,68.46,0,0,322,5,2.14844,0.783306,3820
187437820,108.523,91.4937,14.18,17.38,0.3,0,0,0,0,67.95,0,0,315,5,2.11719,0.775146,3840
187441620,109.3,92.2235,15.8,16.15,0.4,0,0,0,0,67.37,0,0,320,5,2.13281,0.77716,3800
187445460,108.439,91.4632,14.78,15.6,0.2,0,0,0,0,69.11,0,0,316,5,2.13281,0.77716,3840
187449260,109.729,92.5483,15.7,17.34,0.3,0,0,0,0,66.47,0,0,322,5,2.13281,0.779205,3800
187453100,108.187,91.2964,13.39,15.41,0.5,0,0,0,0,70.51,0,0,317,5,2.13281,0.773112,3840
187456920,108.76,91.6987,14.12,18.72,0.1,0,0,0,0,66.76,0,0,321,5,2.14062,0.783306,3820
187460740,108.999,91.94,17.22,17.19,0.1,0,0,0,0,65.21,0,0,316,5,2.125,0.77716,3820
187464560,108.788,91.7682,17.65,17.04,0.2,0,0,0,0,65.11,0,0,323,5,2.13281,0.77716,3820
187468380,109.044,91.9799,15.39,18.53,0.33,0,0,0,0,65.55,0,0,316,5,2.125,0.77716,3820
187472200,109.435,92.3092,12.73,14.74,0.6,0,0,0,0,71.84,0,0,316,5,2.13281,0.779205,3820
187476040,108.277,91.3818,17.21,18.97,0.5,0,0,0,0,63.02,0,0,316,5,2.13281,0.777181,3840
187479860,109.382,92.2448,14.14,17.22,0.6,0,0,0,0,67.85,0,0,316,5,2.13281,0.779205,3820
187483700,108.233,91.3411,13.51,16.07,0.3,0,0,0,0,70.14,0,0,321,5,2.125,0.773112,3840
187487520,108.57,91.5862,15.62,17.78,0,0,0,0,0,66.6,0,0,316,5,2.13281,0.78125,3820
187491320,109.389,92.2893,16.16,18.79,0.2,0,0,0,0,64.75,0,0,319,5,2.13281,0.777138,3800
187495140,108.838,91.8245,15.31,15.71,0.2,0,0,0,0,68.47,0,0,316,5,2.13281,0.77716,3820
