Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
2754040,77.6404,79.6356,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2756420,77.3823,79.7359,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
2758790,77.1089,79.9117,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2761170,77.2436,79.5595,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
2763540,77.5415,79.6026,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2765910,77.5308,79.8606,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2768280,77.7649,80.2017,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
2770660,77.1952,79.525,0,0,0,0,0,0,0,0,0,0,359,5,1.41406,0,2380
2773040,77.4439,79.809,0,0,0,0,0,0,0,0,0,0,359,5,1.42969,0,2380
2775410,77.6248,79.6471,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
2777780,77.4855,79.498,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2370
2780150,77.5753,79.5936,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2782520,77.4707,79.4683,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2784900,77.274,79.3248,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2787270,77.6445,79.6397,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2370
2789640,77.5696,79.6142,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2792010,77.5209,79.5169,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
2794380,77.4468,79.4971,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2796750,77.5028,79.8457,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2799120,77.4979,79.8523,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2801490,77.6066,79.6685,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2803870,77.3429,79.3166,0,0,0,0,0,0,0,0,0,0,356,5,1.40625,0,2380
2806240,77.0998,79.9389,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2808610,77.5102,79.8836,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2810980,77.6025,79.9702,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2813350,77.4896,79.8243,0,0,0,0,0,0,0,0,0,0,355,5,1.41406,0,2370
2815720,77.5704,79.6306,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
2818090,77.4484,79.7798,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
2820470,77.3134,79.3445,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2380
2822840,77.6495,79.6216,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
2825210,77.5959,79.6348,0,0,0,0,0,0,0,0,0,0,355,5,1.40625,0,2370
2827580,77.5498,79.9182,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2829960,77.2863,79.2878,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
2832330,77.638,79.9932,0,0,0,0,0,0,0,0,0,0,357,5,1.42969,0,2370
2834700,77.4789,79.8548,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2837070,77.6231,79.9891,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2839450,77.3044,79.658,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2380
2841820,77.6264,79.9924,0,0,0,0,0,0,0,0,0,0,356,5,1.42188,0,2370
2844190,77.5877,79.9759,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2846560,77.6025,79.6199,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2848940,77.3216,79.3494,0,0,0,0,0,0,0,0,0,0,358,5,1.40625,0,2380
2851310,77.4509,79.4683,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2853680,77.4888,79.5622,0,0,0,0,0,0,0,0,0,0,357,5,1.42188,0,2370
2856050,77.5374,79.5491,0,0,0,0,0,0,0,0,0,0,357,5,1.40625,0,2370
2858430,77.3528,79.7302,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2380
2860800,77.5597,79.9446,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
2863170,77.7006,80.121,0,0,0,0,0,0,0,0,0,0,356,5,1.41406,0,2370
2865540,77.4517,79.4452,0,0,0,0,0,0,0,0,0,0,357,5,1.41406,0,2370
2867910,77.6561,79.6957,0,0,0,0,0,0,0,0,0,0,358,5,1.41406,0,2370
