Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
2097810,97.0461,103.023,0.4,20.53,24.05,0,0,0,0,0,0,0,418,5,20.6172,19.2816,5410
2103140,100.697,106.866,0.49,20.45,24.21,0,0,0,0,0,0,0,416,5,26.0859,24.8992,5330
2108220,183.348,184.009,0.64,8.18,13.45,0,0,0,0,0,0,0,555,5,26.0547,24.848,5080
2114370,150.471,153.258,11.99,4.51,83.11,0,0,0,0,0,0,0,554,5,26.1016,24.8288,6150
2119650,165.891,168.665,12.02,4.74,83.05,0,0,0,0,0,0,0,556,5,26.0781,24.8476,5280
2124640,177.929,180.856,11.99,4.4,83.36,0,0,0,0,0,0,0,556,5,26.0625,24.8444,4990
2129700,183.132,186.098,11.92,4.94,82.73,0,0,0,0,0,0,0,556,5,26.0234,24.812,5060
2134980,169.458,172.057,11.99,4.55,83.27,0,0,0,0,0,0,0,560,5,26.0938,24.8518,5280
2140040,172.942,175.559,11.94,4.68,83.15,0,0,0,0,0,0,0,558,5,26.0234,24.8074,5060
2145020,178.658,181.416,12.14,4.67,82.99,0,0,0,0,0,0,0,556,5,26.0469,24.8274,4980
2150070,176.514,179.425,11.93,4.42,83.44,0,0,0,0,0,0,0,557,5,26.0938,24.8729,5050
2155140,176.951,180.04,12.12,4.46,83.17,0,0,0,0,0,0,0,555,5,26.0938,24.8685,5070
2160240,186.518,189.852,11.9,4.68,82.85,0,0,0,0,0,0,0,558,5,25.9766,24.7594,5100
2165620,167.793,170.805,11.9,4.5,83.36,0,0,0,0,0,0,0,558,5,26.1406,24.8982,5380
2170760,176.603,179.824,11.93,4.52,83.28,0,0,0,0,0,0,0,559,5,26.0156,24.7887,5140
2175900,164.943,167.961,12.1,4.71,83.09,0,0,0,0,0,0,0,559,5,26.0625,24.8331,5140
2180720,186.161,189.728,11.88,4.6,83.26,0,0,0,0,0,0,0,556,5,26.0312,24.8266,4820
2185840,171.458,174.72,11.82,4.65,83.36,0,0,0,0,0,0,0,559,5,26.0625,24.8364,5120
2190820,179.461,182.878,11.98,4.56,83.27,0,0,0,0,0,0,0,557,5,26.0156,24.7965,4980
2195890,181.604,185.155,12.02,4.63,83.11,0,0,0,0,0,0,0,559,5,26.0859,24.8644,5070
2201110,177.671,181.118,11.96,4.51,83.19,0,0,0,0,0,0,0,557,5,26.1328,24.895,5220
2206380,169.352,172.707,12.11,4.44,83.24,0,0,0,0,0,0,0,559,5,26,24.7652,5270
2211470,174.852,178.336,11.89,4.48,83.46,0,0,0,0,0,0,0,562,5,26.0312,24.8108,5090
2216520,181.561,184.528,12.07,4.74,82.91,0,0,0,0,0,0,0,558,5,26.2344,24.8329,5050
2221700,180.814,184.515,12.13,4.57,82.94,0,0,0,0,0,0,0,557,5,26.2969,24.8356,5180
2227070,164.077,167.284,12.12,4.52,83.15,0,0,0,0,0,0,0,558,5,26.1016,24.8578,5370
2232030,176.017,179.547,12.2,4.52,83.08,0,0,0,0,0,0,0,557,5,26.0156,24.7953,4960
2236990,178.842,182.422,12.06,4.56,83.13,0,0,0,0,0,0,0,561,5,26.0781,24.8627,4960
2242020,175.428,178.92,12.09,4.51,83.19,0,0,0,0,0,0,0,561,5,26.0547,24.8403,5030
2247070,183.024,186.771,11.91,4.84,83,0,0,0,0,0,0,0,559,5,26.0625,24.8378,5050
2252280,172.896,176.398,12.02,4.61,83.14,0,0,0,0,0,0,0,559,5,26.0547,24.8244,5210
2257390,175.692,179.283,12.12,4.6,83.09,0,0,0,0,0,0,0,560,5,26.0234,24.8016,5110
2262520,178.702,182.365,12.03,4.49,83.24,0,0,0,0,0,0,0,560,5,26.0781,24.8563,5130
2267720,170.527,173.936,11.98,4.72,83.06,0,0,0,0,0,0,0,558,5,26.0859,24.8528,5200
2272750,189.703,193.557,11.89,4.68,82.98,0,0,0,0,0,0,0,557,5,26.0469,24.826,5030
2278170,164.536,167.771,12.06,4.49,83.29,0,0,0,0,0,0,0,556,5,26.0781,24.8357,5420
2283230,172.862,176.258,12.2,4.53,83.14,0,0,0,0,0,0,0,557,5,26.0547,24.8274,5060
2288200,173.177,176.57,11.97,4.39,83.45,0,0,0,0,0,0,0,559,5,26.0156,24.8004,4970
2293090,187.015,190.819,11.93,4.45,83.28,0,0,0,0,0,0,0,560,5,26.0781,24.8607,4890
2298290,170.044,173.44,12.04,4.57,83.18,0,0,0,0,0,0,0,560,5,26.0312,24.8002,5200
2303300,185.715,189.505,11.86,4.8,83,0,0,0,0,0,0,0,561,5,26.0781,24.8584,5010
2308590,169.714,173.146,12.06,4.72,83.02,0,0,0,0,0,0,0,559,5,26.0781,24.8458,5290
2313680,174.754,178.321,12.09,4.56,83.15,0,0,0,0,0,0,0,558,5,26.0391,24.8162,5090
2318750,173.38,176.874,11.98,4.65,83.18,0,0,0,0,0,0,0,561,5,26.0469,24.829,5070
2323740,181.916,185.568,12.13,4.52,83.1,0,0,0,0,0,0,0,558,5,26.0703,24.8525,4990
2328860,172.501,176.029,12.03,4.49,83.25,0,0,0,0,0,0,0,557,5,26.1172,24.8873,5120
2333880,179.523,183.142,12.09,4.69,83.01,0,0,0,0,0,0,0,559,5,26.0156,24.795,5020
2339070,171.18,-12452.1,11.99,4.68,83.13,0,0,0,0,0,0,0,560,5,26.0469,24.8245,5190
2344060,179.816,183.452,12.22,4.46,83.07,0,0,0,0,0,0,0,559,5,26.0312,24.8178,4990
2349150,176.464,180.017,11.97,4.5,83.29,0,0,0,0,0,0,0,558,5,26.0703,24.848,5090
2354250,175.993,179.604,12.08,4.73,82.95,0,0,0,0,0,0,0,559,5,26.0469,24.8158,5100
2359360,174.56,178.041,12.04,4.66,83.06,0,0,0,0,0,0,0,559,5,26.125,24.8974,5110
2364400,-12822.6,183.544,11.96,4.47,83.29,0,0,0,0,0,0,0,560,5,25.9922,24.775,5040
2369580,178.406,181.989,11.99,4.39,83.3,0,0,0,0,0,0,0,559,5,26.0547,24.8289,5180
2374820,173.574,177.112,12,4.62,83.12,0,0,0,0,0,0,0,558,5,26.0859,24.8554,5240
2379980,167.207,170.539,12.32,4.52,83.04,0,0,0,0,0,0,0,557,5,26.0547,24.8319,5160
2384870,179.728,183.305,12.11,4.55,83.15,0,0,0,0,0,0,0,560,5,26.0938,24.8767,4890
2389870,181.958,185.615,11.98,4.59,83.17,0,0,0,0,0,0,0,559,5,26.0234,24.8082,5000
2395070,169.451,172.915,11.97,4.47,83.41,0,0,0,0,0,0,0,558,5,26.0312,24.8024,5200
2400040,182.438,186.198,12.07,4.53,83.1,0,0,0,0,0,0,0,558,5,26.0469,24.8325,4970
2405220,175.319,178.929,12.14,4.57,83.03,0,0,0,0,0,0,0,559,5,26.0625,24.8338,5180
2410350,182.785,186.585,12.06,4.55,83.07,0,0,0,0,0,0,0,559,5,26.125,24.8904,5130
2415680,165.846,169.247,12.06,4.58,83.21,0,0,0,0,0,0,0,558,5,26,24.7601,5330
2420700,176.992,180.57,12.07,4.56,83.15,0,0,0,0,0,0,0,559,5,26.0781,24.8599,5020
2425750,181.936,185.703,12.21,4.65,82.91,0,0,0,0,0,0,0,559,5,26.0391,24.819,5050
2430970,165.178,168.53,12.19,4.68,82.98,0,0,0,0,0,0,0,560,5,26.0703,24.8414,5220
2435870,188.858,192.736,11.9,4.74,83.04,0,0,0,0,0,0,0,558,5,26.0625,24.8485,4900
2441120,174.203,177.779,12.14,4.54,82.98,0,0,0,0,0,0,0,560,5,26.0625,24.8304,5250
2446330,174.132,177.674,11.92,4.7,83.15,0,0,0,0,0,0,0,559,5,26.0156,24.7826,5210
2451480,174.71,178.268,11.84,4.51,83.43,0,0,0,0,0,0,0,557,5,26.0625,24.8395,5150
2456580,165.86,169.227,11.95,4.71,83.23,0,0,0,0,0,0,0,559,5,26.0547,24.8281,5100
2461380,183.347,187.076,12.01,4.63,83.17,0,0,0,0,0,0,0,559,5,26.0781,24.8652,4800
2466380,180.181,183.832,11.73,4.63,83.37,0,0,0,0,0,0,0,559,5,26.0547,24.8344,5000
2471510,177.172,180.777,11.97,4.8,82.91,0,0,0,0,0,0,0,558,5,26.0391,24.8081,5130
2476650,166.32,169.452,12.03,4.61,83.21,0,0,0,0,0,0,0,553,5,26.0469,24.824,5140
2481490,181.175,184.545,10.36,4.55,72.35,0,0,0,0,0,0,0,552,5,26.0938,24.8789,4840
2486420,123.068,137.221,6.71,4.39,53.63,0,0,0,0,0,0,0,430,5,26.0234,24.807,4930
2489770,93.8794,111.92,0.28,2,4.9,0,0,0,0,0,0,0,392,5,25.9922,24.8366,3350
2492770,91.4245,92.4095,8.36,16.85,33.98,0,0,0,0,0,0,0,404,5,20.0391,18.731,3000
2495820,87.8919,88.6379,8.34,14.88,35.19,0,0,0,0,0,0,0,390,5,2.25781,0.776127,3050
2498190,84.9057,90.0341,7.88,18.95,30.31,0,0,0,0,0,0,0,384,5,2.25781,0.778705,2370
