Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
2506670,99.764,106.096,0.42,19.95,24.43,0,0,0,0,0,0,0,417,5,20.375,19.0493,5280
2511950,99.1507,105.416,0.46,19.86,24.59,0,0,0,0,0,0,0,417,5,26.0703,24.8733,5280
2517170,186.482,187.694,0.63,8.13,13.37,0,0,0,0,0,0,0,549,5,26.0625,24.8763,5220
2523610,144.542,147.412,8.55,7.96,0.03,0,0,0,0,83.03,0,0,549,5,26.125,24.844,6440
2528990,165.837,169.008,8.44,8.05,0,0,0,0,0,83.23,0,0,551,5,26.0781,24.8391,5380
2534120,171.885,174.931,8.73,7.94,0,0,0,0,0,83.1,0,0,549,5,26.1172,24.8766,5130
2539240,177.118,180.161,8.69,7.98,0,0,0,0,0,83.06,0,0,551,5,26.0078,24.7833,5120
2544470,171.893,174.727,8.45,7.91,0,0,0,0,0,83.4,0,0,551,5,26.0312,24.7954,5230
2549640,169.379,172.121,8.73,8.06,0,0,0,0,0,83,0,0,552,5,26.125,24.8884,5170
2554700,180.776,183.679,8.58,7.77,0,0,0,0,0,83.43,0,0,550,5,26.0234,24.8004,5060
2559960,177.152,180.073,8.58,8.11,0.02,0,0,0,0,82.91,0,0,554,5,26.0547,24.8203,5260
2565320,168.128,170.874,8.56,8.14,0,0,0,0,0,83.06,0,0,553,5,26.0625,24.8167,5360
2570530,178.681,181.797,8.51,7.99,0.02,0,0,0,0,83.19,0,0,553,5,26.0547,24.8242,5210
2575880,166.962,169.853,8.43,8.15,0.03,0,0,0,0,83.13,0,0,549,5,26.1406,24.8905,5350
2581040,176.014,179.125,8.66,8,0,0,0,0,0,83.15,0,0,552,5,25.9844,24.7658,5160
2586270,174.585,177.806,8.68,8.06,0,0,0,0,0,82.97,0,0,554,5,26.0781,24.8357,5230
2591530,166.707,169.79,8.57,8.07,0,0,0,0,0,83.17,0,0,554,5,26.0703,24.8307,5260
2596600,177.479,180.852,8.71,7.99,0,0,0,0,0,83.06,0,0,552,5,26.0938,24.8592,5070
2601780,175.526,178.823,8.62,8.08,0.02,0,0,0,0,82.99,0,0,551,5,26.0312,24.7987,5180
2607070,173.884,177.228,8.57,8.04,0.02,0,0,0,0,83.06,0,0,552,5,26.0703,24.8405,5290
2612320,182.849,186.403,8.71,8.06,0.03,0,0,0,0,82.71,0,0,552,5,26.0703,24.8349,5250
2617860,162.835,166.012,8.57,7.83,0,0,0,0,0,83.35,0,0,553,5,26.0938,24.8319,5540
2623150,174.586,177.92,8.56,7.76,0,0,0,0,0,83.37,0,0,548,5,26.0625,24.8324,5290
2628410,177.471,180.901,8.68,7.88,0,0,0,0,0,83.06,0,0,553,5,26.0312,24.8062,5260
2633780,171.244,174.617,8.64,7.78,0,0,0,0,0,83.22,0,0,553,5,26.0859,24.8432,5370
2639150,177.547,181.018,8.65,7.97,0.02,0,0,0,0,82.92,0,0,553,5,26.0859,24.8543,5370
2644590,167.983,171.257,8.67,7.96,0,0,0,0,0,83.03,0,0,554,5,26.0625,24.8179,5440
2649850,170.876,174.18,8.54,7.8,0,0,0,0,0,83.41,0,0,554,5,26.0547,24.8117,5260
2655070,178.187,181.676,8.7,8.02,0.03,0,0,0,0,82.91,0,0,553,5,26.0938,24.8537,5220
2660410,175.074,178.572,8.61,7.73,0,0,0,0,0,83.34,0,0,552,5,26.0703,24.8385,5340
2665790,165.074,168.369,8.73,8.07,0.02,0,0,0,0,82.95,0,0,554,5,26.0625,24.813,5380
2670920,177.992,181.459,8.75,7.56,0,0,0,0,0,83.44,0,0,552,5,26.0625,24.834,5130
2676170,170.775,174.168,8.6,8.1,0,0,0,0,0,83.07,0,0,553,5,26.0547,24.8188,5250
2681340,174.615,177.993,8.61,7.89,0,0,0,0,0,83.23,0,0,551,5,26.0625,24.8292,5170
2686560,180.942,184.546,8.66,8.05,0.02,0,0,0,0,82.87,0,0,554,5,26.0625,24.8246,5220
2692000,171.925,175.404,8.7,7.98,0,0,0,0,0,82.99,0,0,550,5,26.1094,24.8578,5440
2697380,167.618,170.948,8.85,7.86,0,0,0,0,0,83.08,0,0,553,5,26.0469,24.7989,5380
2702610,181.961,185.575,8.76,8.05,0.03,0,0,0,0,82.62,0,0,553,5,26.0781,24.8441,5230
2708090,165.735,168.994,8.57,8.05,0,0,0,0,0,83.08,0,0,555,5,26.0703,24.8275,5480
2713310,184.692,188.395,8.74,7.86,0.03,0,0,0,0,82.9,0,0,554,5,26.0859,24.8372,5220
2718890,163.665,166.921,8.73,8.05,0.03,0,0,0,0,82.93,0,0,552,5,26.0703,24.8135,5580
2724160,170.667,-12261,8.76,8.02,0,0,0,0,0,82.97,0,0,550,5,26.1016,24.8592,5270
2729330,171.419,174.771,8.75,8.02,0.02,0,0,0,0,82.98,0,0,549,5,26.0625,24.8308,5170
2734440,183.87,187.552,8.73,7.95,0,0,0,0,0,83.01,0,0,550,5,26.0547,24.8245,5110
2739850,175.359,178.867,8.63,8.04,0.04,0,0,0,0,82.85,0,0,554,5,26.0625,24.818,5410
2745330,167.148,170.472,8.6,8.05,0,0,0,0,0,83.07,0,0,550,5,26.0781,24.8218,5480
2750630,-12203.1,164.703,8.71,7.73,0.02,0,0,0,0,83.41,0,0,550,5,26.0625,24.8246,5300
2755580,185.153,188.789,8.91,7.78,0,0,0,0,0,83.07,0,0,553,5,26.0703,24.8526,4950
2760850,176.219,179.678,8.79,8.02,0.02,0,0,0,0,82.86,0,0,554,5,26.0781,24.8417,5270
2766200,175.658,179.147,8.63,7.98,0,0,0,0,0,83.12,0,0,554,5,26.0312,24.793,5350
2771620,169.048,172.434,8.91,8.04,0.03,0,0,0,0,82.68,0,0,553,5,26.1172,24.8628,5420
2776900,165.623,168.919,9.05,8.1,0,0,0,0,0,82.69,0,0,553,5,26.0391,24.8021,5280
2781940,174.015,177.499,8.66,8.01,0,0,0,0,0,83.1,0,0,553,5,26.0625,24.8388,5040
2787070,184.9,188.55,8.49,7.97,0,0,0,0,0,83.24,0,0,551,5,26.0703,24.8425,5130
2792460,166.466,169.817,8.7,8.14,0.02,0,0,0,0,82.85,0,0,552,5,26.0469,24.8054,5390
2797650,177.571,181.093,8.64,8.15,0.02,0,0,0,0,82.89,0,0,554,5,26.0859,24.8552,5190
2802950,167.025,170.334,8.74,7.84,0,0,0,0,0,83.23,0,0,549,5,26.0469,24.8073,5300
2808040,171.866,175.264,8.65,8.01,0,0,0,0,0,83.15,0,0,553,5,26.0938,24.8634,5090
2813090,184.575,188.197,8.74,7.89,0,0,0,0,0,83.06,0,0,552,5,26.0391,24.8128,5050
2818470,168.287,171.659,8.74,7.82,0,0,0,0,0,83.2,0,0,553,5,26.0859,24.84,5380
2823700,171.338,174.76,8.66,7.87,0.02,0,0,0,0,83.18,0,0,553,5,26.0547,24.8178,5230
2828850,183.368,187.05,8.43,8.04,0.03,0,0,0,0,83.08,0,0,554,5,26.0547,24.8198,5150
2834290,165.678,168.993,8.79,8.03,0,0,0,0,0,82.91,0,0,554,5,26.1172,24.8578,5440
2839490,177.446,180.987,8.69,8.26,0.02,0,0,0,0,82.75,0,0,554,5,26.0469,24.8152,5200
2844800,175.01,178.6,8.76,8.03,0.02,0,0,0,0,82.9,0,0,549,5,26.0703,24.822,5310
2850180,167.386,170.674,8.77,8.03,0,0,0,0,0,82.99,0,0,550,5,26.0547,24.8225,5380
2855350,175.363,178.895,8.87,7.81,0,0,0,0,0,82.99,0,0,553,5,26.1016,24.8643,5170
