Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
4768870,98.3085,104.319,0.46,19.02,25.62,0,0,0,0,0,0,0,417,5,20.5547,19.2321,5390
4774140,101.379,107.642,0.52,19.49,25.44,0,0,0,0,0,0,0,414,5,26.0312,24.8502,5270
4779230,140.346,140.455,0.64,7.84,13.46,0,0,0,0,0,0,0,551,5,26.0938,24.8899,5090
4784330,143.976,146.945,13.87,16.56,69.3,0,0,0,0,0,0,0,548,5,26.0234,24.8185,5100
4788900,160.241,163.431,14,16.54,69.23,0,0,0,0,0,0,0,547,5,26.0156,24.8424,4570
4793450,156.921,160.03,13.93,16.97,68.97,0,0,0,0,0,0,0,549,5,26.0078,24.8369,4550
4797850,163.406,166.525,13.51,16.66,69.66,0,0,0,0,0,0,0,547,5,26.0547,24.899,4400
4802340,164.852,167.891,13.89,16.48,69.42,0,0,0,0,0,0,0,549,5,25.9609,24.799,4490
4806890,161.802,164.651,13.93,16.88,68.93,0,0,0,0,0,0,0,550,5,26.0312,24.8592,4550
4811440,160.739,163.601,13.72,17.11,68.95,0,0,0,0,0,0,0,546,5,25.9844,24.8081,4550
4815960,164.031,166.867,13.23,16.57,69.96,0,0,0,0,0,0,0,550,5,25.9766,24.8086,4520
4820520,162.988,165.82,13.63,16.64,69.47,0,0,0,0,0,0,0,551,5,26.0312,24.8598,4560
4825120,160.7,163.511,13.68,16.77,69.31,0,0,0,0,0,0,0,552,5,26.0859,24.9111,4600
4829690,-14176.4,166.215,13.6,16.73,69.42,0,0,0,0,0,0,0,554,5,25.9922,24.8201,4570
4834290,164.624,167.622,13.56,16.43,69.68,0,0,0,0,0,0,0,553,5,25.9688,24.7954,4600
4838960,156.728,159.539,13.42,16.7,69.59,0,0,0,0,0,0,0,547,5,26,24.8193,4670
4843480,162.391,165.388,13.77,16.61,69.41,0,0,0,0,0,0,0,550,5,26.0156,24.8479,4520
4847990,160.772,163.823,14.04,16.62,69.21,0,0,0,0,0,0,0,554,5,25.9922,24.825,4510
4852480,161.734,164.82,13.69,16.63,69.49,0,0,0,0,0,0,0,547,5,26.0078,24.8396,4490
4856960,164.482,167.694,13.65,16.58,69.54,0,0,0,0,0,0,0,555,5,26,24.8364,4480
4861500,162.61,165.824,13.59,16.93,69.25,0,0,0,0,0,0,0,551,5,26.0156,24.8492,4540
4866060,161.577,164.811,13.43,16.63,69.67,0,0,0,0,0,0,0,549,5,25.9922,24.8201,4560
4870620,160.203,163.407,13.93,16.73,69.13,0,0,0,0,0,0,0,553,5,26,24.8249,4560
4875150,170.738,174.397,13.8,16.32,69.33,0,0,0,0,0,0,0,550,5,26,24.8316,4530
4879900,153.792,156.933,14.03,16.52,69.22,0,0,0,0,0,0,0,552,5,26.0547,24.8739,4750
4884400,157.963,161.136,13.63,16.99,69.29,0,0,0,0,0,0,0,550,5,26.0625,24.8906,4500
4888790,165.947,169.265,13.93,16.54,69.28,0,0,0,0,0,0,0,553,5,25.875,24.729,4390
4893290,162.658,165.977,13.79,17.11,68.86,0,0,0,0,0,0,0,553,5,26.0391,24.8625,4500
4897810,162.303,165.66,13.9,16.37,69.48,0,0,0,0,0,0,0,547,5,26.0234,24.8597,4520
4902360,162.164,165.472,13.88,16.93,68.97,0,0,0,0,0,0,0,553,5,25.9844,24.8193,4550
4906890,163.995,167.403,13.66,17.03,69.01,0,0,0,0,0,0,0,553,5,26,24.8266,4530
4911500,160.831,164.214,13.74,16.53,69.47,0,0,0,0,0,0,0,550,5,26.0234,24.8485,4610
4916060,160.936,164.244,13.95,16.6,69.25,0,0,0,0,0,0,0,551,5,25.9766,24.8124,4560
4920580,158.799,162.041,13.97,16.84,69.01,0,0,0,0,0,0,0,551,5,26.0156,24.841,4520
4925020,167.013,170.441,13.6,16.96,69.21,0,0,0,0,0,0,0,554,5,26,24.8364,4440
4929600,161.221,164.509,13.93,16.63,69.23,0,0,0,0,0,0,0,551,5,26.0391,24.8649,4580
4934150,163.385,166.746,13.61,16.44,69.66,0,0,0,0,0,0,0,551,5,25.9922,24.818,4550
4938750,160.29,163.602,13.66,16.8,69.27,0,0,0,0,0,0,0,551,5,26.0312,24.8576,4600
4943290,166.065,169.572,13.39,16.86,69.31,0,0,0,0,0,0,0,551,5,25.9688,24.8004,4540
4947950,156.149,159.359,13.77,16.83,69.21,0,0,0,0,0,0,0,548,5,26.0312,24.8558,4660
4952430,161.968,165.337,13.75,16.91,69.13,0,0,0,0,0,0,0,551,5,26.0156,24.8465,4480
4956910,165.011,168.485,13.88,16.69,69.22,0,0,0,0,0,0,0,551,5,25.9922,24.8274,4480
4961490,160.506,163.874,13.58,17.09,69.13,0,0,0,0,0,0,0,550,5,26.0078,24.8342,4580
4966020,162.847,166.216,13.97,16.47,69.22,0,0,0,0,0,0,0,548,5,26.0156,24.8503,4530
4970560,160.864,164.207,13.62,16.75,69.41,0,0,0,0,0,0,0,553,5,26.0234,24.8541,4540
4975150,162.785,166.207,13.62,16.56,69.62,0,0,0,0,0,0,0,549,5,25.9922,24.8264,4590
4979690,163.124,166.51,13.49,16.67,69.52,0,0,0,0,0,0,0,553,5,26.0234,24.8593,4540
4984270,165.524,169.036,13.74,16.97,68.68,0,0,0,0,0,0,0,549,5,26.0078,24.8325,4580
4988970,157.34,160.582,13.86,16.47,69.47,0,0,0,0,0,0,0,552,5,25.9688,24.7939,4700
4993500,161.482,164.848,13.6,16.34,69.85,0,0,0,0,0,0,0,552,5,26.0391,24.8644,4530
4998000,163.144,166.509,13.53,17.12,69.1,0,0,0,0,0,0,0,551,5,26.0156,24.8493,4500
5002540,165.198,168.762,13.81,16.48,69.32,0,0,0,0,0,0,0,552,5,25.9766,24.8055,4540
5007190,159.518,162.984,13.3,16.81,69.59,0,0,0,0,0,0,0,552,5,26.0547,24.8751,4650
5011770,159.748,163.131,13.58,16.84,69.34,0,0,0,0,0,0,0,553,5,26.0078,24.8362,4580
5016270,162.148,165.624,13.84,15.96,69.97,0,0,0,0,0,0,0,551,5,26.0078,24.8389,4500
5020770,163.509,166.944,13.56,16.69,69.46,0,0,0,0,0,0,0,550,5,26,24.8354,4500
5025310,162.337,165.828,13.86,16.86,69.02,0,0,0,0,0,0,0,550,5,25.9922,24.8228,4540
5029860,158.495,161.848,13.51,16.59,69.72,0,0,0,0,0,0,0,551,5,26.0703,24.9017,4550
5034330,163.528,167.064,13.56,16.38,69.81,0,0,0,0,0,0,0,551,5,25.9297,24.7675,4470
