Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
10579240,112.115,119.248,0.84,37.25,7.68,0,0,0,0,0,0,0,456,5,42.75,41.7118,6200
10585040,120.481,120.125,0.96,37.17,7.63,0,0,0,0,0,0,0,462,5,50.6953,49.7244,5800
10590840,194.852,197.887,0.19,8.03,0,0,0,50.24,0,41.31,0,0,593,5,50.6016,49.627,5800
10596900,189.14,192.356,0.13,8.18,0,0,0,49.98,0,41.35,0,0,599,5,50.7578,49.7159,6060
10603030,178.102,181.128,0.16,8.17,0,0,0,50.12,0,41.38,0,0,594,5,50.6953,49.6577,6130
10608880,178.14,180.886,0.16,8.03,0,0,0,50.23,0,41.49,0,0,598,5,50.75,49.7217,5850
10614440,196.972,199.951,0.16,8.01,0,0,0,50.46,0,41.19,0,0,598,5,50.6016,49.5904,5560
10620270,195.808,198.87,0.15,8.15,0,0,0,50.07,0,41.38,0,0,600,5,50.7344,49.7079,5830
10626350,189.036,191.983,0.14,8.1,0,0,0,50.4,0,41.07,0,0,596,5,50.7266,49.6916,6080
10632470,180.02,182.862,0.16,8.23,0,0,0,50.04,0,41.39,0,0,596,5,50.7188,49.6796,6120
10638320,195.23,198.365,0.16,8.13,0,0,0,50.08,0,41.34,0,0,599,5,50.6641,49.6327,5850
10644380,203.718,207.075,0.15,8.29,0,0,0,49.75,0,41.29,0,0,599,5,50.7344,49.7022,6060
10650950,175.056,178.017,0.15,8.19,0,0,0,50.09,0,41.36,0,0,596,5,50.7578,49.6968,6570
10657050,181.177,184.241,0.17,8.17,0,0,0,50.18,0,41.27,0,0,600,5,50.6953,49.6529,6100
10662940,190.85,194.249,0.2,8.17,0,0,0,49.91,0,41.53,0,0,601,5,50.75,49.7263,5890
10668890,185.745,189.145,0.13,8.17,0.02,0,0,49.94,0,41.36,0,0,604,5,50.7031,49.6723,5950
10674770,188.614,192.077,0.17,8.2,0,0,0,50.01,0,41.43,0,0,599,5,50.6406,49.612,5880
10680660,189.037,192.653,0.17,8.14,0,0,0,49.86,0,41.64,0,0,598,5,50.6797,49.6545,5890
10686580,193.485,197.303,0.18,8.39,0,0,0,49.76,0,41.39,0,0,600,5,50.7578,49.7264,5920
10692650,190.428,194.231,0.17,8.16,0,0,0,49.84,0,41.58,0,0,604,5,50.6953,49.6576,6070
10698780,186.469,190.213,0.15,8.18,0,0,0,49.9,0,41.52,0,0,600,5,50.7344,49.6921,6130
10704840,181.753,185.419,0.16,8.15,0,0,0,50.06,0,41.44,0,0,598,5,50.6953,49.6628,6060
10710690,196.476,200.503,0.17,8.22,0,0,0,50.07,0,41.28,0,0,602,5,50.7344,49.699,5850
10716780,184.942,188.7,0.16,8.07,0,0,0,49.78,0,41.82,0,0,598,5,50.6719,49.6324,6090
10722750,190.036,193.968,0.16,8.07,0,0,0,50.23,0,41.3,0,0,603,5,50.7656,49.7343,5970
10728760,189.625,193.504,0.16,8.05,0,0,0,50.02,0,41.58,0,0,600,5,50.6641,49.6262,6010
10734810,177.9,181.564,0.16,8.1,0,0,0,50.02,0,41.59,0,0,601,5,50.7656,49.7258,6050
10740520,204.86,209.064,0.17,8.03,0,0,0,50.27,0,41.22,0,0,601,5,50.6797,49.6566,5710
10746740,174.266,177.829,0.17,8.13,0,0,0,50.26,0,41.29,0,0,601,5,50.7031,49.6598,6220
10752480,195.224,-11217.6,0.16,8.02,0,0,0,50.08,0,41.56,0,0,604,5,50.6797,49.6508,5740
10758410,190.157,194.17,0.17,8.16,0,0,0,50.14,0,41.27,0,0,600,5,50.7422,49.7185,5930
10764390,188.07,192.101,0.15,8.15,0,0,0,49.85,0,41.62,0,0,604,5,50.6797,49.6394,5980
10770360,193.1,197.247,0.17,8.35,0.02,0,0,49.83,0,41.28,0,0,601,5,50.7422,49.7103,5970
10776480,185.599,189.562,0.14,8.14,0,0,0,50.07,0,41.44,0,0,604,5,50.6641,49.6253,6120
10782490,-10719.5,188.354,0.18,7.95,0,0,0,50.46,0,41.2,0,0,603,5,50.7266,49.6893,6010
10788370,197.588,201.819,0.16,8.15,0,0,0,50.07,0,41.36,0,0,601,5,50.7031,49.6798,5880
10794560,182.46,186.334,0.18,8.27,0,0,0,49.52,0,41.8,0,0,601,5,50.6953,49.6581,6190
10800550,189.933,193.992,0.14,8.06,0,0,0,50.29,0,41.33,0,0,602,5,50.7266,49.6948,5990
10806580,189.504,193.546,0.16,8.24,0,0,0,50.01,0,41.32,0,0,600,5,50.6484,49.6145,6030
10812630,183.935,187.799,0.17,8.07,0,0,0,49.99,0,41.54,0,0,600,5,50.7734,49.7275,6050
10818540,197.956,202.187,0.15,8.15,0,0,0,50.14,0,41.37,0,0,602,5,50.6562,49.6186,5910
10824720,186.42,190.452,0.18,8.15,0,0,0,50.21,0,41.16,0,0,600,5,50.75,49.714,6180
10830840,178.672,182.422,0.15,8.02,0,0,0,50.11,0,41.54,0,0,605,5,50.7266,49.6911,6120
10836650,197.64,201.866,0.17,8.04,0,0,0,50.11,0,41.47,0,0,603,5,50.6953,49.6708,5810
10842720,190.44,194.514,0.17,8.18,0,0,0,50.29,0,41.1,0,0,599,5,50.6875,49.6498,6070
10848850,184.174,188.122,0.15,8.13,0,0,0,50.02,0,41.48,0,0,601,5,50.7109,49.6648,6130
10854850,187.914,191.863,0.15,8.1,0,0,0,49.78,0,41.76,0,0,600,5,50.7344,49.7039,6000
10860820,187.195,191.186,0.15,8.22,0,0,0,49.99,0,41.45,0,0,604,5,50.6641,49.6362,5970
10866750,191.007,195.093,0.13,8.19,0,0,0,50.37,0,41.07,0,0,601,5,50.7031,49.6725,5930
10872740,186.747,190.732,0.15,8.11,0,0,0,49.96,0,41.57,0,0,604,5,50.7031,49.6622,5990
10878690,180.399,184.171,0.16,8.08,0,0,0,50.16,0,41.47,0,0,601,5,50.7344,49.7049,5950
10884370,196.245,200.421,0.16,8,0,0,0,49.86,0,41.83,0,0,600,5,50.6406,49.6231,5680
10890300,192.999,197.175,0.15,8.25,0,0,0,50.07,0,41.28,0,0,600,5,50.6875,49.6641,5930
10896350,190.189,194.276,0.19,8.21,0,0,0,50.02,0,41.25,0,0,599,5,50.7266,49.6935,6050
10902460,181.686,185.512,0.16,8.09,0,0,0,49.98,0,41.56,0,0,601,5,50.7344,49.6918,6110
10908340,191.344,195.457,0.17,8.1,0,0,0,50.04,0,41.49,0,0,599,5,50.6719,49.6459,5880
10914300,181.093,184.902,0.15,8.03,0,0,0,50.35,0,41.28,0,0,599,5,50.7266,49.6933,5960
10920030,195.208,199.374,0.18,8.1,0,0,0,49.79,0,41.67,0,0,604,5,50.7344,49.7159,5730
10925960,191.341,195.376,0.17,8.07,0,0,0,50.06,0,41.44,0,0,599,5,50.6562,49.6252,5930
10931970,183.535,187.469,0.14,8.12,0,0,0,49.94,0,41.65,0,0,602,5,50.7266,49.6841,6010
10937830,199.129,203.36,0.17,8.13,0,0,0,50.08,0,41.22,0,0,600,5,50.7031,49.6814,5860
10944010,181.88,185.785,0.13,8.15,0,0,0,50.26,0,41.22,0,0,601,5,50.6797,49.6353,6180
10949980,196.054,200.26,0.16,8.02,0,0,0,50.11,0,41.48,0,0,602,5,50.7812,49.7514,5970
10956180,189.298,193.344,0.15,7.98,0,0,0,50.3,0,41.29,0,0,599,5,50.6406,49.6037,6200
10962420,179.661,183.482,0.15,8.26,0,0,0,50.11,0,41.28,0,0,601,5,50.7578,49.7204,6240
10968340,196.123,200.38,0.14,8.14,0,0,0,50.01,0,41.42,0,0,600,5,50.7031,49.6706,5920
10974510,183.458,187.387,0.16,8.13,0,0,0,50.22,0,41.25,0,0,600,5,50.75,49.7096,6170
10980500,180.762,184.553,0.15,8.09,0,0,0,50.21,0,41.45,0,0,599,5,50.625,49.5951,5990
10986270,191.429,195.519,0.16,8.03,0,0,0,50.05,0,41.58,0,0,599,5,50.6953,49.6685,5770
10992090,192.063,196.17,0.16,8.17,0,0,0,50.14,0,41.32,0,0,604,5,50.7656,49.7391,5820
10998030,190.152,194.148,0.15,8.17,0,0,0,50.11,0,41.33,0,0,603,5,50.6328,49.6028,5940
11004020,192.361,196.394,0.15,8.12,0,0,0,49.92,0,41.5,0,0,603,5,50.7422,49.71,5990
11010120,183.749,187.586,0.17,8.16,0,0,0,49.94,0,41.42,0,0,600,5,50.6797,49.6394,6100
11016060,184.581,188.391,0.14,8.14,0,0,0,50.27,0,41.31,0,0,604,5,50.7266,49.6975,5940
11021870,201.516,205.693,0.16,8.17,0.03,0,0,49.69,0,41.56,0,0,603,5,50.6719,49.6423,5810
11028090,171.322,174.84,0.16,8.13,0,0,0,50.08,0,41.53,0,0,600,5,50.7266,49.6822,6220
