Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
15096160,114.218,121.669,0.56,38,7.45,0,0,0,0,0,0,0,458,5,42.25,41.2013,6020
15102050,130.194,129.739,0.55,38.01,7.52,0,0,0,0,0,0,0,574,5,50.6328,49.7554,5890
15108410,200.132,203.505,14.9,16.24,0,0,0,0,0,68.59,0,0,580,5,50.6953,49.6087,6360
15115790,170.013,173.054,14.8,16.58,0.02,0,0,0,0,68.36,0,0,576,5,50.7031,49.5803,7380
15123160,169.835,172.936,14.67,16.52,0,0,0,0,0,68.57,0,0,576,5,50.6484,49.5317,7370
15130370,171.941,174.939,14.59,16.38,0,0,0,0,0,68.77,0,0,577,5,50.6484,49.5381,7210
15137550,179.765,182.713,14.9,16.59,0.02,0,0,0,0,68.25,0,0,582,5,50.6875,49.5615,7180
15145040,163.098,165.686,15.12,16.46,0,0,0,0,0,68.24,0,0,582,5,50.6484,49.529,7490
15152100,177.048,179.824,14.72,16.73,0.02,0,0,0,0,68.3,0,0,582,5,50.6719,49.5591,7060
15159330,166.791,169.412,14.79,16.58,0,0,0,0,0,68.44,0,0,581,5,50.6562,49.5401,7230
15166300,177.735,180.557,14.77,16.7,0.02,0,0,0,0,68.28,0,0,581,5,50.6797,49.5718,6970
15173450,176.467,179.288,14.84,16.48,0,0,0,0,0,68.42,0,0,578,5,50.6562,49.5472,7150
15180730,166.655,169.394,15,16.3,0.02,0,0,0,0,68.43,0,0,578,5,50.7031,49.5804,7280
15187730,180.733,183.676,14.79,16.67,0,0,0,0,0,68.33,0,0,582,5,50.625,49.5163,7000
15195030,170.321,-8803.96,14.73,16.49,0,0,0,0,0,68.58,0,0,582,5,50.7344,49.6083,7300
15202200,169.997,172.769,14.92,16.74,0,0,0,0,0,68.14,0,0,582,5,50.6016,49.4915,7170
15209260,172.074,174.955,14.75,16.57,0,0,0,0,0,68.5,0,0,580,5,50.7266,49.611,7060
15216260,175.469,178.418,14.81,16.28,0,0,0,0,0,68.74,0,0,579,5,50.6562,49.5475,7000
15223350,177.112,180.109,14.74,16.54,0,0,0,0,0,68.51,0,0,579,5,50.6719,49.5608,7090
15230600,167.669,170.503,14.97,16.47,0,0,0,0,0,68.36,0,0,579,5,50.6641,49.5528,7250
15237610,179.489,182.496,14.65,16.41,0.02,0,0,0,0,68.69,0,0,578,5,50.6406,49.5341,7010
15244840,176.892,179.902,14.71,16.62,0,0,0,0,0,68.4,0,0,581,5,50.6875,49.5636,7230
15252230,168.021,170.809,14.95,16.41,0,0,0,0,0,68.42,0,0,580,5,50.6797,49.549,7390
15259400,173.878,176.814,14.76,16.39,0,0,0,0,0,68.65,0,0,584,5,50.6797,49.5614,7170
15266590,178.21,181.213,14.99,16.53,0,0,0,0,0,68.25,0,0,584,5,50.6094,49.5009,7190
15273960,164.283,167.072,14.86,16.74,0.02,0,0,0,0,68.18,0,0,581,5,50.7344,49.6115,7370
15280950,173.171,176.075,14.89,16.47,0,0,0,0,0,68.44,0,0,585,5,50.6328,49.525,6990
15287930,182.608,185.716,14.92,16.56,0.02,0,0,0,0,68.23,0,0,578,5,50.6484,49.5389,6980
15295270,177.907,180.901,14.94,16.58,0.03,0,0,0,0,68.19,0,0,579,5,50.6875,49.5657,7340
15302820,-8515.65,166.979,14.68,16.43,0,0,0,0,0,68.69,0,0,585,5,50.6875,49.5617,7550
15309970,179.631,182.677,14.62,16.56,0,0,0,0,0,68.59,0,0,580,5,50.6875,49.5739,7150
15317360,169.67,172.548,14.94,16.35,0.02,0,0,0,0,68.43,0,0,579,5,50.6719,49.5376,7390
15324620,173.265,176.262,14.78,16.92,0,0,0,0,0,68.08,0,0,581,5,50.6562,49.536,7260
15331860,172.455,175.375,14.87,16.69,0,0,0,0,0,68.21,0,0,578,5,50.6797,49.5657,7240
15339070,180.442,183.474,14.88,16.47,0.03,0,0,0,0,68.27,0,0,579,5,50.6641,49.553,7210
15346580,172.635,175.555,14.75,16.68,0.03,0,0,0,0,68.31,0,0,584,5,50.6406,49.51,7510
15354040,162.259,164.957,14.86,16.47,0,0,0,0,0,68.5,0,0,582,5,50.6953,49.5838,7460
15361010,174.453,177.395,14.82,16.72,0,0,0,0,0,68.3,0,0,583,5,50.6719,49.5601,6970
15368030,164.903,167.654,14.98,16.48,0,0,0,0,0,68.4,0,0,582,5,50.6406,49.5252,7020
15374680,192.321,195.591,14.87,16.72,0.02,0,0,0,0,68.14,0,0,583,5,50.6328,49.5221,6650
15382060,169.737,172.65,14.65,16.87,0,0,0,0,0,68.26,0,0,582,5,50.6875,49.5654,7380
15389290,177.17,180.207,14.76,16.53,0,0,0,0,0,68.46,0,0,582,5,50.6484,49.5354,7230
15396700,166.705,169.505,14.91,16.37,0.02,0,0,0,0,68.5,0,0,582,5,50.6719,49.5454,7410
15403820,169.276,172.144,15.11,16.49,0.02,0,0,0,0,68.19,0,0,580,5,50.6641,49.5529,7120
15410740,173.179,176.056,14.83,16.61,0,0,0,0,0,68.32,0,0,584,5,50.6875,49.5784,6920
15417660,183.198,186.302,14.88,16.53,0.02,0,0,0,0,68.37,0,0,585,5,50.6406,49.5365,6920
15424960,170.65,173.509,14.91,16.42,0,0,0,0,0,68.43,0,0,580,5,50.6953,49.5666,7300
15432150,172.928,175.82,14.97,16.77,0.02,0,0,0,0,68.02,0,0,581,5,50.6562,49.5425,7190
15439330,168.486,171.336,15,16.25,0.02,0,0,0,0,68.53,0,0,582,5,50.6719,49.5544,7180
15446300,173.04,175.96,14.85,16.79,0,0,0,0,0,68.16,0,0,582,5,50.6484,49.54,6970
15453240,175.778,178.762,14.87,16.43,0,0,0,0,0,68.46,0,0,582,5,50.6484,49.5396,6940
15460280,174.925,177.878,14.67,16.8,0,0,0,0,0,68.32,0,0,584,5,50.625,49.5113,7040
15467390,175.384,178.341,14.76,16.51,0.02,0,0,0,0,68.5,0,0,580,5,50.7031,49.5846,7110
15474580,170.544,173.422,14.74,16.59,0.02,0,0,0,0,68.47,0,0,581,5,50.6172,49.5056,7190
15481650,179.849,182.876,14.98,16.65,0,0,0,0,0,68.13,0,0,582,5,50.6719,49.558,7070
15488970,172.22,175.114,14.93,16.61,0,0,0,0,0,68.24,0,0,581,5,50.6875,49.5699,7320
15496220,173.39,176.296,14.71,16.7,0,0,0,0,0,68.36,0,0,579,5,50.625,49.5035,7250
15503480,166.392,169.164,14.96,16.5,0.02,0,0,0,0,68.35,0,0,583,5,50.6875,49.57,7260
15510440,173.173,176.052,14.88,16.49,0.02,0,0,0,0,68.46,0,0,580,5,50.6953,49.5796,6960
15517390,184.818,187.983,14.92,16.56,0,0,0,0,0,68.28,0,0,579,5,50.6094,49.5016,6950
15524790,173.861,176.788,14.95,16.45,0.02,0,0,0,0,68.28,0,0,583,5,50.7031,49.5756,7400
15532210,168.986,171.831,14.92,16.73,0.02,0,0,0,0,68.05,0,0,582,5,50.6172,49.5016,7420
15539450,167.485,170.29,15.11,16.41,0.02,0,0,0,0,68.28,0,0,580,5,50.6875,49.565,7240
15546420,175.379,178.372,14.79,16.71,0.02,0,0,0,0,68.3,0,0,581,5,50.6719,49.5568,6970
