Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
17548980,111.87,119.158,0.58,38.79,6.55,0,0,0,0,0,0,0,456,5,42.4844,41.4343,6180
17554770,128.018,127.334,0.54,38.32,7,0,0,0,0,0,0,0,657,5,50.6406,49.6673,5790
17560660,216.017,218.241,1.92,1.78,0.02,0,0,94.35,0,1.78,0,0,631,5,50.625,49.6411,5890
17566650,212.939,215.588,1.91,1.72,0,0,0,94.54,0,1.68,0,0,634,5,50.6953,49.6388,5990
17572630,220.5,223.743,1.83,1.77,0,0,0,94.57,0,1.68,0,0,635,5,50.4688,49.4418,5980
17578780,222.313,225.124,1.84,1.78,0.02,0,0,94.23,0,1.83,0,0,635,5,50.5859,49.5315,6150
17585180,198.897,201.321,1.87,1.73,0,0,0,94.57,0,1.7,0,0,636,5,50.5469,49.502,6400
17591160,211.059,213.993,1.84,1.77,0,0,0,94.6,0,1.69,0,0,635,5,50.6328,49.5784,5980
17597000,224.272,227.411,1.89,1.63,0.02,0,0,94.59,0,1.67,0,0,637,5,50.5156,49.4827,5840
17603160,209.271,211.929,1.91,1.72,0,0,0,94.45,0,1.76,0,0,638,5,50.6484,49.6055,6160
17609080,224.229,227.106,1.84,1.73,0,0,0,94.53,0,1.71,0,0,639,5,50.5234,49.4831,5920
17615260,205.926,208.831,1.82,1.69,0,0,0,94.63,0,1.74,0,0,638,5,50.6172,49.5695,6180
17621170,215.001,218.18,1.93,1.74,0,0,0,94.54,0,1.65,0,0,639,5,50.5391,49.5104,5910
17627160,228.056,231.562,1.86,1.78,0.02,0,0,94.47,0,1.66,0,0,641,5,50.5781,49.5273,5990
