Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
16709930,114.399,122.021,0.65,38.35,6.92,0,0,0,0,0,0,0,454,5,42.3438,41.2985,6000
16715820,121.825,121.559,0.58,38.29,6.84,0,0,0,0,0,0,0,461,5,50.625,49.6622,5890
16722060,213.799,216.78,14.88,16.57,0,0,0,0,0,68.34,0,0,566,5,50.6797,49.6906,6240
16729250,182.138,184.978,14.93,17.01,0,0,0,0,0,67.87,0,0,566,5,50.8203,49.6858,7190
16736320,189.097,192.369,14.93,16.55,0.02,0,0,0,0,68.29,0,0,565,5,50.8281,49.7039,7070
16743530,176.38,179.293,15,16.54,0.02,0,0,0,0,68.29,0,0,567,5,50.8516,49.7222,7210
16750400,190.854,194.136,14.88,16.57,0,0,0,0,0,68.35,0,0,567,5,50.9375,49.8084,6870
16757470,184.905,188.066,14.86,16.43,0.03,0,0,0,0,68.43,0,0,567,5,50.7812,49.6496,7070
16764520,186.876,189.955,14.7,16.63,0,0,0,0,0,68.46,0,0,569,5,50.8203,49.6908,7050
16771650,-9006.49,187.495,14.7,16.46,0.03,0,0,0,0,68.57,0,0,567,5,50.7891,49.6704,7130
16778710,188.648,191.533,14.83,16.54,0,0,0,0,0,68.39,0,0,569,5,50.8359,49.7076,7060
16785860,183.986,186.65,14.85,16.71,0.03,0,0,0,0,68.2,0,0,568,5,50.875,49.7425,7150
16792940,194.072,196.865,14.86,16.52,0,0,0,0,0,68.32,0,0,569,5,50.7969,49.669,7080
16800310,176.938,179.455,14.87,16.53,0,0,0,0,0,68.39,0,0,568,5,50.8594,49.7201,7370
16807310,192.935,195.691,14.89,16.61,0.02,0,0,0,0,68.18,0,0,569,5,50.8516,49.7254,7000
16814580,177.592,180.042,14.88,16.43,0,0,0,0,0,68.49,0,0,570,5,50.8359,49.694,7270
16821500,190.038,192.675,14.93,16.66,0.02,0,0,0,0,68.21,0,0,569,5,50.7891,49.6623,6920
16828530,185.034,187.627,14.86,16.58,0.02,0,0,0,0,68.38,0,0,570,5,50.8906,49.7603,7030
