Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
33549250,133.204,132.314,11.54,6.07,28.43,0,0,0,0,0,0,0,483,5,63.6328,62.7802,6930
33555890,265.983,278.793,11.2,7.48,27.3,0,0,0,0,0,0,0,597,5,75.1719,74.4106,6640
33569410,172.544,174.785,13.49,16.53,69.79,0,0,0,0,0,0,0,598,5,75.4766,74.6056,13520
33581180,195.029,197.826,13.52,16.67,69.65,0,0,0,0,0,0,0,598,5,75.375,74.5228,11770
33592790,196.03,198.595,13.52,16.52,69.77,0,0,0,0,0,0,0,599,5,75.4297,74.5794,11610
33604230,204.282,206.87,13.54,16.57,69.65,0,0,0,0,0,0,0,599,5,75.4375,74.5889,11440
33615980,196.575,199.007,13.39,16.59,69.82,0,0,0,0,0,0,0,601,5,75.4844,74.6244,11750
33627590,200.363,202.942,13.41,16.68,69.71,0,0,0,0,0,0,0,602,5,75.4766,74.6245,11610
33639260,-5418.28,-5415.74,13.56,16.58,69.7,0,0,0,0,0,0,0,601,5,75.4453,74.596,11670
33650800,199.09,201.651,13.6,16.57,69.67,0,0,0,0,0,0,0,602,5,75.4453,74.5897,11540
33662300,197.951,200.544,13.51,16.57,69.71,0,0,0,0,0,0,0,602,5,75.3984,74.5487,11500
33673720,200.308,202.967,13.35,16.48,70.02,0,0,0,0,0,0,0,605,5,75.4688,74.6111,11420
33685200,202.664,205.374,13.49,16.44,69.88,0,0,0,0,0,0,0,602,5,75.4922,74.6376,11480
33696880,190.94,193.472,13.44,16.5,69.93,0,0,0,0,0,0,0,600,5,75.4375,74.5846,11680
33708030,206.195,208.981,13.58,16.27,70.01,0,0,0,0,0,0,0,605,5,75.4375,74.5898,11150
33719570,197.317,199.931,13.54,16.68,69.64,0,0,0,0,0,0,0,601,5,75.3984,74.548,11540
33730980,200.228,202.885,13.5,16.41,69.95,0,0,0,0,0,0,0,605,5,75.4609,74.606,11410
33742410,199.986,202.65,13.41,16.49,69.91,0,0,0,0,0,0,0,602,5,75.4688,74.6107,11430
33753890,197.799,200.447,13.23,16.56,70.07,0,0,0,0,0,0,0,601,5,75.4766,74.624,11480
33765250,203.05,205.786,13.58,16.43,69.79,0,0,0,0,0,0,0,600,5,75.4297,74.584,11360
33776840,197.62,200.264,13.31,16.72,69.84,0,0,0,0,0,0,0,600,5,75.4531,74.6009,11590
33788270,206.113,208.59,13.36,16.41,69.01,0,0,0,0,0,0,0,607,5,75.4531,74.5995,11430
33798890,181.108,185.439,13,16.04,67.45,0,0,0,0,0,0,0,526,5,75.4531,74.5885,10620
33806760,80.9284,89.708,0.38,2.12,4.3,0,0,0,0,0,0,0,392,5,75.5391,74.6478,7870
33810230,78.0057,78.7002,9.48,17.6,31.0101,0,0,0,0,0,0,0,391,5,44.6562,43.3478,3470
33813290,87.2562,87.7757,8.07,15.99,33.33,0,0,0,0,0,0,0,389,5,2.25781,0.77616,3060
33816320,89.7999,90.2769,8.96,16.36,33.38,0,0,0,0,0,0,0,391,5,2.26562,0.776076,3030
33819460,86.3443,87.5846,9.90001,14.18,37.23,0,0,0,0,0,0,0,389,5,2.25781,0.776242,3140
33822500,86.977,88.2633,9.36,15.86,33.33,0,0,0,0,0,0,0,389,5,2.25781,0.778705,3040
33825540,88.0744,89.2154,10.08,18.98,30.5701,0,0,0,0,0,0,0,401,5,2.25781,0.77611,3040
33828600,90.6658,92.0228,9.25,15.69,36.5,0,0,0,0,0,0,0,382,5,2.25781,0.778689,3060
33829870,34.3012,35.3254,0,0,0,0,0,0,0,0,0,0,382,5,2.26562,0.773833,1270
