Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
32157880,132.751,131.795,9.19,13.43,23.48,0,0,0,0,0,0,0,483,5,63.6172,62.7499,6880
32164440,-9759.55,242.488,8.9,14.25,22.71,0,0,0,0,0,0,0,624,5,75.3203,74.5546,6560
32174900,184.129,186.54,0.05,8.17,0,0,0,50.38,0,41.17,0,0,625,5,75.1875,74.3426,10460
32184150,211.42,214.174,0.06,8.17,0,0,0,50.37,0,41.18,0,0,629,5,75.0078,74.1773,9250
32193500,208.852,-6797.3,0.05,8.12,0,0,0,50.41,0,41.17,0,0,626,5,75.0938,74.2639,9350
32202810,216.615,219.65,0.06,8.15,0,0,0,50.47,0,41.09,0,0,628,5,75.0234,74.1919,9310
32212420,199.612,202.69,0.06,8.2,0,0,0,50.48,0,41.07,0,0,628,5,75.0156,74.1814,9610
32221580,223.51,227.224,0.06,8.16,0,0,0,50.46,0,40.96,0,0,628,5,75.0938,74.2572,9160
32231300,205.174,208.66,0.06,8.24,0,0,0,50.26,0,41.11,0,0,629,5,75.0312,74.1859,9720
32240780,212.992,216.582,0.06,8.15,0,0,0,50.45,0,41.01,0,0,630,5,75,74.1677,9480
32250380,219.978,223.809,0.05,8.14,0,0,0,50.39,0,41.08,0,0,631,5,75.0391,74.2766,9600
32260420,207.449,210.989,0.07,8.14,0,0,0,50.44,0,40.93,0,0,629,5,75.0938,74.1736,10040
32270310,206.712,210.256,0.06,8.16,0,0,0,50.46,0,40.98,0,0,630,5,75.0391,74.1919,9890
32280030,217.935,221.672,0.07,8.17,0,0,0,50.03,0,41.36,0,0,631,5,75.0781,74.2413,9720
32290080,208.533,212.137,0.06,8.16,0.02,0,0,50.32,0,41.11,0,0,630,5,75.0781,74.2374,10050
32300040,217.446,221.226,0.07,8.14,0.02,0,0,50.26,0,41.1,0,0,632,5,75.0625,74.2172,9960
32310310,193.673,196.961,0.04,8.09,0,0,0,50.3,0,41.35,0,0,632,5,75.0156,74.1693,10270
32319770,216.386,220.024,0.05,8.06,0,0,0,50.4,0,41.21,0,0,629,5,75.0938,74.2634,9460
32329470,217.856,221.52,0.05,8.37,0.03,0,0,49.96,0,41.21,0,0,631,5,75.0156,74.1802,9700
32339510,207.874,211.314,0.05,8.19,0,0,0,50.29,0,41.05,0,0,634,5,75.0547,74.2117,10040
32349410,202.603,206.001,0.07,8.17,0,0,0,50.56,0,40.92,0,0,631,5,75.1094,74.2653,9900
32358930,225.224,229.05,0.05,8.14,0,0,0,50.54,0,40.88,0,0,629,5,75.0391,74.1999,9520
32369110,198.673,201.987,0.06,8.18,0,0,0,50.5,0,40.98,0,0,631,5,75.0781,74.2287,10180
32378720,209.318,212.879,0.05,8.18,0,0,0,50.34,0,41.18,0,0,631,5,74.9922,74.1545,9610
32388260,201.416,204.772,0.05,8.16,0,0,0,50.66,0,40.98,0,0,632,5,75.0703,74.2367,9540
32397390,238.265,242.348,0.06,8.13,0.02,0,0,50.36,0,41.03,0,0,632,5,75.0469,74.223,9130
32407680,175.703,183.83,0.14,7.12,0.36,0,0,42.32,0,34.86,0,0,486,5,75.0469,74.1961,10290
32413710,45.9752,46.325,8.32,18.81,30,0,0,0,0,0,0,0,391,5,73.9219,73.0741,6030
32416830,88.3902,89.3692,10.2,16.62,32.87,0,0,0,0,0,0,0,391,5,2.25781,0.776242,3120
32419910,89.7943,90.7797,10.25,16.32,31.5801,0,0,0,0,0,0,0,395,5,2.25,0.77621,3080
32422990,87.6978,88.2432,9.76,18.14,29.4101,0,0,0,0,0,0,0,387,5,2.26562,0.778705,3080
32426130,90.1299,91.2209,10.1,17.75,31.1701,0,0,0,0,0,0,0,390,5,2.25,0.776242,3140
32429220,87.385,87.8641,8.78,17.28,30.97,0,0,0,0,0,0,0,388,5,2.26562,0.77621,3090
32432270,87.6511,89.0689,8.03,16.9,33.29,0,0,0,0,0,0,0,389,5,2.25,0.77616,3050
32435260,86.2915,89.346,9.77,16.95,34.56,0,0,0,0,0,0,0,386,5,2.25781,0.776127,2990
