Timestamp,SocketPower0,SocketPower1,ProbabilityScalarArithmetic,ProbabilityScalarLogic,ProbabilityScalarMemory,ProbabilityScalarBranch,ProbabilityScalarJump,ProbabilityVectorArithmetic,ProbabilityVectorLogic,ProbabilityVectorMemory,ProbabilityVectorBranch,ProbabilityVectorJump,PSUPower0,PSUPower1,SystemCpuUsage,ProcessCpuUsage,TimeDifference
32446690,133.794,132.772,10,10.63,25.27,0,0,0,0,0,0,0,484,5,63.6875,62.8405,6920
32453280,205.944,218.455,9.7,11.72,24.61,0,0,0,0,0,0,0,610,5,75.3359,74.5836,6590
32462580,174.658,177.678,1.8,14.84,0.02,0,0,0,0,82.87,0,0,609,5,74.8516,74.0063,9300
32471820,169.712,172.913,1.77,14.85,0,0,0,0,0,83.09,0,0,611,5,74.6094,73.7183,9240
32480700,177.063,180.329,1.83,14.81,0.02,0,0,0,0,82.9,0,0,612,5,74.4453,73.5894,8880
32490610,169.188,171.997,1.81,14.87,0.02,0,0,0,0,82.98,0,0,617,5,74.5156,73.6499,9910
32500040,172.981,175.883,1.77,14.83,0.02,0,0,0,0,82.98,0,0,613,5,74.5156,73.696,9430
32509270,-6918.63,184.366,1.8,14.78,0,0,0,0,0,83.16,0,0,613,5,74.4609,73.647,9230
32518710,180.967,184.09,1.73,14.81,0.02,0,0,0,0,83.03,0,0,615,5,74.4922,73.6794,9440
32527320,183.921,-7423.96,1.77,14.78,0.02,0,0,0,0,82.98,0,0,615,5,74.5234,73.7068,8610
32536230,165.843,168.857,1.76,14.87,0.02,0,0,0,0,82.96,0,0,614,5,74.5,73.6293,8910
32544570,184.508,187.961,1.75,14.78,0,0,0,0,0,83.07,0,0,617,5,74.5625,73.6985,8340
32553240,180.986,184.432,1.82,14.83,0,0,0,0,0,82.95,0,0,618,5,74.5156,73.6421,8670
32562080,173.438,176.734,1.76,14.8,0.03,0,0,0,0,82.99,0,0,614,5,74.5469,73.6593,8840
32570700,175.977,179.433,1.89,14.88,0.03,0,0,0,0,82.83,0,0,616,5,74.4531,73.576,8620
32579230,184.848,188.544,1.81,14.84,0.03,0,0,0,0,82.67,0,0,616,5,74.5938,73.7233,8530
32588110,174.592,178.116,1.79,14.81,0.02,0,0,0,0,82.95,0,0,615,5,74.4531,73.5869,8880
32596820,182.311,186.013,1.8,14.81,0.02,0,0,0,0,82.97,0,0,615,5,74.5469,73.6752,8710
32605780,163.5,166.786,1.79,14.9,0,0,0,0,0,83,0,0,617,5,74.4766,73.6077,8960
32614020,193.436,197.416,1.76,14.85,0.02,0,0,0,0,82.91,0,0,617,5,74.5234,73.6726,8240
32622970,174.903,178.465,1.85,14.79,0,0,0,0,0,83,0,0,616,5,74.5781,73.6941,8950
32631810,171.177,174.742,1.84,14.89,0.02,0,0,0,0,82.97,0,0,616,5,74.4922,73.6129,8840
32640300,187.971,191.889,1.82,14.8,0,0,0,0,0,82.97,0,0,616,5,74.5234,73.656,8490
32649270,179.919,183.731,1.75,14.81,0.03,0,0,0,0,82.93,0,0,616,5,74.5234,73.6472,8970
32658360,164.442,167.903,1.81,14.82,0.02,0,0,0,0,83.09,0,0,613,5,74.5078,73.6147,9090
32666770,185.467,189.34,1.86,14.8,0,0,0,0,0,82.86,0,0,617,5,74.5234,73.6651,8410
32675570,166.532,170.078,1.83,14.87,0.02,0,0,0,0,82.89,0,0,615,5,74.5156,73.6466,8800
32684820,180.17,183.817,1.84,14.79,0,0,0,0,0,83.12,0,0,617,5,74.5156,73.6518,9250
32694190,189.928,193.808,1.76,14.83,0.02,0,0,0,0,82.91,0,0,617,5,74.4922,73.6801,9370
32703200,177.265,180.969,1.8,14.79,0,0,0,0,0,83.04,0,0,616,5,74.4609,73.6324,9010
32712160,168.825,172.437,1.8,14.83,0,0,0,0,0,83.03,0,0,615,5,74.5391,73.6617,8960
32720680,192.908,197.046,1.79,14.82,0.02,0,0,0,0,82.88,0,0,617,5,74.5703,73.6967,8520
32729910,164.1,167.596,1.81,14.83,0.02,0,0,0,0,83.1,0,0,616,5,74.5234,73.6396,9230
32738440,173.751,177.489,1.79,14.83,0.02,0,0,0,0,83.08,0,0,616,5,74.4844,73.615,8530
32746780,188.635,192.7,1.77,14.88,0.02,0,0,0,0,82.93,0,0,616,5,74.5156,73.6438,8340
32755650,176.197,180.005,1.82,14.89,0.02,0,0,0,0,82.92,0,0,615,5,74.5,73.6352,8870
32764430,175.324,179.173,1.78,14.84,0,0,0,0,0,82.98,0,0,615,5,74.5312,73.6677,8780
32773100,176.535,180.372,1.8,14.74,0,0,0,0,0,83.11,0,0,617,5,74.625,73.75,8670
32781710,177.096,180.983,1.83,14.84,0.02,0,0,0,0,82.96,0,0,617,5,74.3828,73.509,8610
32790270,182.758,186.794,1.78,14.84,0.02,0,0,0,0,82.98,0,0,617,5,74.5,73.6205,8560
32799070,178.639,182.548,1.85,14.8,0,0,0,0,0,82.97,0,0,615,5,74.5469,73.6721,8800
32807910,174.767,178.607,1.83,14.84,0.02,0,0,0,0,82.91,0,0,616,5,74.5312,73.6558,8840
32816610,175.164,178.949,1.76,14.88,0,0,0,0,0,83.02,0,0,617,5,74.5312,73.6497,8700
32825190,185.337,189.415,1.81,14.76,0.02,0,0,0,0,82.96,0,0,617,5,74.5391,73.6581,8580
32834120,171.629,175.374,1.83,14.81,0.02,0,0,0,0,82.94,0,0,617,5,74.5078,73.6243,8930
32842750,178.804,182.769,1.76,14.84,0.02,0,0,0,0,83.01,0,0,617,5,74.5156,73.6457,8630
32851440,173.433,177.201,1.74,14.88,0,0,0,0,0,83.11,0,0,618,5,74.4766,73.6121,8690
32859890,174.9,178.729,1.8,14.83,0,0,0,0,0,83.08,0,0,617,5,74.5625,73.6896,8450
32868210,183.119,187.177,1.8,14.9,0.02,0,0,0,0,82.97,0,0,616,5,74.4609,73.5913,8320
32876780,-7460,190.811,1.77,14.77,0.03,0,0,0,0,83.02,0,0,617,5,74.5469,73.6684,8570
32885800,166.397,170.069,1.76,14.81,0,0,0,0,0,83.14,0,0,615,5,74.5469,73.6684,9020
32894230,180.095,-7589.65,1.82,14.78,0,0,0,0,0,82.95,0,0,617,5,74.5781,73.6964,8430
32902770,177.952,181.897,1.8,14.79,0,0,0,0,0,83.02,0,0,619,5,74.4766,73.6077,8540
32911320,173.304,177.068,1.75,14.75,0.02,0,0,0,0,83.24,0,0,617,5,74.5078,73.634,8550
