ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,24.820169,26.078125,1498.886963,31.949997,0.980000,0.0,0.0,0.0,1498.835571,7.230000,85.262817,0.0,13920.000000,0.0,0.0,6.930000,0.920000,26768980,22920.000000,83.892365,25.360004,0.0,355.000000,5.000000,13560.000000,22920.000000,0.380000,0.0,0.000000,13320.000000,0.0,0.900000,0.0,0.0,0.0,0.020000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13680.000000,6570,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.750000,23160.000000
1,24.818741,26.093750,1499.130981,32.729996,0.190000,0.0,0.0,0.0,1498.612549,7.050000,85.263382,0.0,13920.000000,0.0,0.0,6.389999,0.120000,26775780,22920.000000,83.881599,26.950001,0.0,354.000000,5.000000,13560.000000,23160.000000,0.350000,0.0,0.000000,13440.000000,0.0,0.950000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,6800,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.950000,22920.000000
2,24.846790,26.109375,1499.127319,33.099998,0.050000,0.0,0.0,0.0,1499.177734,8.650000,85.157326,0.0,13920.000000,0.0,0.0,5.290000,0.650000,26782470,22800.000000,83.934418,26.850000,0.0,355.000000,5.000000,13560.000000,22920.000000,0.450000,0.0,0.000000,13320.000000,0.0,0.780000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,22920.000000,13680.000000,13680.000000,6690,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.330000,22920.000000
3,24.802607,26.062500,1499.129028,35.239994,0.300000,0.0,0.0,0.030000,1499.154175,6.559999,85.212158,0.0,13920.000000,0.0,0.0,4.460000,0.060000,26789040,22800.000000,83.860512,25.469995,0.0,355.000000,5.000000,13560.000000,23160.000000,1.000000,0.0,0.000000,13320.000000,0.0,1.220000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,22920.000000,13440.000000,13560.000000,6570,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.940000,23160.000000
4,24.796970,26.054688,1499.171509,32.839996,0.170000,0.0,0.0,0.0,1499.079224,6.290000,85.191154,0.0,13920.000000,0.0,0.0,4.470000,0.140000,26795620,22800.000000,83.809380,28.460005,0.0,355.000000,5.000000,13560.000000,22920.000000,0.390000,0.0,0.000000,13320.000000,0.0,0.840000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22800.000000,13680.000000,13560.000000,6580,0.040000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.620000,22800.000000
5,24.822916,26.085938,1499.166016,37.019989,0.050000,0.0,0.0,0.0,1498.977417,6.960001,85.312180,0.0,13920.000000,0.0,0.0,4.750000,0.100000,26802360,22920.000000,83.790207,24.500002,0.0,356.000000,5.000000,13560.000000,22920.000000,0.170000,0.0,0.000000,13320.000000,0.0,1.320000,0.0,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13560.000000,6740,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.690000,22920.000000
6,24.833006,26.101562,1498.957886,36.750008,0.000000,0.0,0.0,0.0,1499.133057,7.040000,85.374153,0.0,13800.000000,0.0,0.0,5.309999,0.080000,26809050,22920.000000,83.822151,25.799992,0.0,354.000000,5.000000,13680.000000,22800.000000,0.680000,0.0,0.000000,13320.000000,0.0,1.570000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23160.000000,13560.000000,13560.000000,6690,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.950000,22920.000000
7,24.805864,26.062500,1498.881592,34.560001,0.370000,0.0,0.0,0.0,1499.222778,6.770000,85.118996,0.0,13920.000000,0.0,0.0,5.370000,0.110000,26815710,22920.000000,83.749916,25.540001,0.0,355.000000,5.000000,13560.000000,22800.000000,0.330000,0.0,0.000000,13320.000000,0.0,0.850000,0.0,0.0,0.0,0.020000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.830000,0.000000,23160.000000,13560.000000,13680.000000,6660,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.670000,22800.000000
8,24.823959,26.093750,1498.969849,36.669994,0.050000,0.0,0.0,0.0,1499.239868,6.450000,85.179001,0.0,13920.000000,0.0,0.0,5.510000,0.020000,26822490,22920.000000,83.823936,25.580002,0.0,354.000000,5.000000,13560.000000,22920.000000,0.200000,0.0,0.000000,13320.000000,0.0,1.440000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13560.000000,13680.000000,6780,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.900000,22920.000000
9,24.820868,26.093750,1499.252197,36.090000,0.080000,0.0,0.0,0.0,1498.976807,6.240000,85.291824,0.0,13920.000000,0.0,0.0,5.980000,0.100000,26829240,22920.000000,83.766205,26.840002,0.0,356.000000,5.000000,13560.000000,22920.000000,1.180000,0.0,0.000000,13320.000000,0.0,0.860000,0.0,0.0,0.0,0.030000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,22920.000000,13560.000000,13680.000000,6750,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.810000,23160.000000
10,24.825466,26.085938,1499.179443,35.410015,0.000000,0.0,0.0,0.0,1499.120605,5.930000,85.390350,0.0,13920.000000,0.0,0.0,6.640000,0.030000,26835820,22800.000000,83.849052,26.520004,0.0,355.000000,5.000000,13560.000000,22920.000000,0.530000,0.0,0.000000,13320.000000,0.0,0.990000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,6580,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.840000,22920.000000
