ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.610241,50.703125,1499.575928,0.0,2.289999,0.0,0.0,0.040000,1496.571045,0.0,83.147957,0.0,13920.000000,0.0,0.0,0.0,36.719997,510768360,22920.000000,103.952637,0.0,0.0,417.000000,5.000000,13680.000000,22920.000000,26.450003,0.080000,0.000000,13320.000000,0.0,1.550000,0.0,0.0,0.0,0.100000,0.0,10.329999,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.530000,0.000000,23160.000000,13680.000000,13680.000000,9000,0.140000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,2.900000,22920.000000
1,49.452065,50.546875,1499.645264,46.670002,1.620000,0.0,0.0,0.090000,1497.281128,0.0,92.785896,0.0,13920.000000,0.0,0.0,30.560001,1.480000,510777480,22800.000000,130.902328,13.059999,0.0,458.000000,5.000000,13560.000000,23160.000000,1.240000,0.0,0.000000,13320.000000,0.0,0.380000,0.0,0.0,0.0,0.170000,0.0,0.510000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.300000,0.000000,23160.000000,13560.000000,13560.000000,9120,0.110000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.980000,23160.000000
2,49.730198,50.804688,1499.745239,40.859997,1.890000,0.0,0.0,0.040000,1497.262939,0.0,98.189568,0.0,13920.000000,0.0,0.0,31.160000,0.410000,510786080,22800.000000,138.226929,20.679998,0.0,463.000000,5.000000,13560.000000,22920.000000,0.600000,0.0,0.000000,13440.000000,0.0,0.350000,0.0,0.0,0.0,0.150000,0.0,0.180000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,22920.000000,13560.000000,13560.000000,8600,0.060000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.530000,23160.000000
3,49.384720,50.468750,1499.611938,32.080002,1.690000,0.0,0.0,0.040000,1497.267334,0.0,99.296799,0.0,13800.000000,0.0,0.0,31.780001,0.650000,510794520,22800.000000,140.852798,30.799999,0.0,460.000000,5.000000,13680.000000,23160.000000,0.290000,0.0,0.000000,13320.000000,0.0,0.130000,0.0,0.0,0.0,0.070000,0.0,0.150000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.360000,0.000000,23160.000000,13680.000000,13680.000000,8440,0.100000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.190000,22920.000000
4,49.535778,50.609375,1499.644287,25.729998,2.140000,0.0,0.0,0.030000,1497.272949,0.0,98.911957,0.0,13920.000000,0.0,0.0,34.700001,0.500000,510802840,22920.000000,140.606461,32.329998,0.0,461.000000,5.000000,13680.000000,22920.000000,0.340000,0.0,0.000000,13320.000000,0.0,0.340000,0.0,0.0,0.0,0.090000,0.0,0.160000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.470000,0.000000,22920.000000,13560.000000,13680.000000,8320,0.060000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.200000,22920.000000
5,49.508034,50.601562,1499.651978,20.250000,1.860000,0.0,0.0,0.070000,1497.270630,0.0,99.366287,0.0,13920.000000,0.0,0.0,31.019999,0.530000,510811520,22920.000000,142.017303,42.319996,0.0,460.000000,5.000000,13680.000000,23160.000000,0.220000,0.030000,0.000000,13320.000000,0.0,0.610000,0.0,0.0,0.0,0.110000,0.0,0.140000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13560.000000,8680,0.070000,13560.000000,0.0,23160.000000,23160.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.220000,22800.000000
6,49.457870,50.531250,1499.190796,19.510000,2.100000,0.0,0.0,0.040000,1497.269775,0.0,99.117233,0.0,13920.000000,0.0,0.0,33.869999,0.910000,510820320,22920.000000,142.711227,39.029999,0.0,468.000000,5.000000,13560.000000,22920.000000,0.250000,0.0,0.000000,13320.000000,0.0,0.340000,0.0,0.0,0.0,0.120000,0.0,0.180000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.160000,0.000000,22920.000000,13680.000000,13680.000000,8800,0.070000,13440.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.210000,23160.000000
7,49.522758,50.617188,1499.646851,29.980000,2.240000,0.0,0.0,0.080000,1497.271240,0.0,99.478348,0.0,13920.000000,0.0,0.0,30.840000,0.290000,510829200,22920.000000,141.948288,33.299999,0.0,463.000000,5.000000,13680.000000,22920.000000,0.260000,0.0,0.000000,13320.000000,0.0,0.240000,0.0,0.0,0.0,0.130000,0.0,0.150000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,8880,0.190000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.160000,22800.000000
8,49.490173,50.562500,1499.792358,23.340000,1.940000,0.0,0.0,0.070000,1496.918701,0.0,99.687355,0.0,13920.000000,0.0,0.0,31.410002,0.380000,510837800,22800.000000,143.705627,38.789997,0.0,465.000000,5.000000,13560.000000,22920.000000,0.250000,0.0,0.000000,13320.000000,0.0,0.530000,0.0,0.0,0.0,0.100000,0.0,0.130000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,8600,0.090000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.200000,22800.000000
9,49.402199,50.484375,1499.704834,18.929998,2.210000,0.0,0.0,0.030000,1496.917847,0.0,99.696030,0.0,13920.000000,0.0,0.0,33.299999,0.390000,510846440,22920.000000,143.918411,40.840000,0.0,465.000000,5.000000,13560.000000,22800.000000,0.250000,0.0,0.000000,13320.000000,0.0,0.600000,0.0,0.0,0.0,0.180000,0.0,0.110000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13680.000000,13560.000000,8640,0.070000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.360000,22920.000000
