ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,36.969963,38.164062,1499.587402,0.0,0.260000,0.0,0.0,0.020000,1497.914795,0.0,74.311363,0.0,13920.000000,0.0,0.0,0.0,0.110000,93550810,22800.000000,127.068092,0.030000,0.0,405.000000,5.000000,13680.000000,22920.000000,2.800000,0.0,0.000000,13320.000000,0.0,0.060000,95.900009,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13680.000000,13680.000000,8970,0.0,13680.000000,0.0,23160.000000,23160.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.040000,22920.000000
1,36.957783,38.117188,1499.710205,0.0,0.190000,0.0,0.0,0.0,1497.957520,0.0,74.285690,0.0,13800.000000,0.0,0.0,0.0,0.080000,93558380,22920.000000,131.198471,0.0,0.0,406.000000,5.000000,13560.000000,22920.000000,3.310000,0.0,0.000000,13440.000000,0.0,0.040000,95.829987,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13680.000000,13560.000000,7570,0.060000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.050000,22920.000000
2,36.913803,38.062500,1499.790405,0.0,0.060000,0.0,0.0,0.0,1497.897461,0.0,74.222404,0.0,13920.000000,0.0,0.0,0.0,0.040000,93565880,22800.000000,131.148300,0.0,0.0,405.000000,5.000000,13560.000000,22920.000000,3.320000,0.0,0.000000,13320.000000,0.0,0.020000,96.040001,0.0,0.0,0.020000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13560.000000,7500,0.020000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.040000,23160.000000
3,36.900867,38.054688,1499.784790,0.0,0.190000,0.0,0.0,0.0,1497.941895,0.0,74.356529,0.0,13920.000000,0.0,0.0,0.0,0.080000,93573430,22920.000000,131.423462,0.040000,0.0,407.000000,5.000000,13680.000000,22920.000000,3.030000,0.0,0.000000,13320.000000,0.0,0.110000,96.170006,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13680.000000,7550,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.040000,22920.000000
4,36.944656,38.109375,1499.758667,0.0,0.230000,0.0,0.0,0.0,1497.853271,0.0,74.283417,0.0,13920.000000,0.0,0.0,0.0,0.060000,93580920,22800.000000,131.327866,0.0,0.0,407.000000,5.000000,13560.000000,22920.000000,2.900000,0.0,0.000000,13320.000000,0.0,0.040000,96.409996,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13680.000000,7490,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.060000,23160.000000
5,36.937370,38.085938,1499.770386,0.0,0.190000,0.0,0.0,0.020000,1497.946411,0.0,74.216248,0.0,13920.000000,0.0,0.0,0.0,0.060000,93588200,22920.000000,131.248520,0.0,0.0,404.000000,5.000000,13560.000000,22920.000000,2.700000,0.0,0.000000,13320.000000,0.0,0.0,96.720001,0.0,0.0,0.020000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13680.000000,7280,0.020000,13680.000000,0.0,23280.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.020000,22920.000000
6,36.926868,38.078125,1499.699341,0.0,0.140000,0.0,0.0,0.0,1497.955200,0.0,74.351265,0.0,13920.000000,0.0,0.0,0.0,0.060000,93595530,22920.000000,131.509781,0.0,0.0,405.000000,5.000000,13560.000000,22920.000000,2.870000,0.0,0.000000,13320.000000,0.0,0.020000,96.619995,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7330,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
7,36.941811,38.078125,1499.649658,0.0,0.100000,0.0,0.0,0.0,1497.941284,0.0,74.278885,0.0,13920.000000,0.0,0.0,0.0,0.070000,93602850,22800.000000,131.381119,0.0,0.0,405.000000,5.000000,13680.000000,23160.000000,3.210000,0.0,0.000000,13320.000000,0.0,0.020000,96.190002,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7320,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.020000,22800.000000
8,36.925335,38.085938,1499.705566,0.0,0.170000,0.0,0.0,0.0,1497.872925,0.0,74.277916,0.0,13920.000000,0.0,0.0,0.0,0.120000,93610310,22920.000000,131.391373,0.030000,0.0,406.000000,5.000000,13680.000000,22920.000000,2.970000,0.0,0.000000,13320.000000,0.0,0.020000,96.129997,0.0,0.0,0.020000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7460,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.040000,22920.000000
9,36.897530,38.054688,1499.692627,0.0,0.140000,0.0,0.0,0.0,1497.947510,0.0,74.282150,0.0,13920.000000,0.0,0.0,0.0,0.100000,93617850,22800.000000,131.409805,0.0,0.0,408.000000,5.000000,13560.000000,23160.000000,2.630000,0.0,0.000000,13320.000000,0.0,0.040000,96.739998,0.0,0.0,0.0,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7540,0.0,13440.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.040000,22920.000000
