ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,36.957363,38.164062,1499.585083,0.0,2.709999,0.0,0.0,0.140000,1497.610962,0.0,79.237427,0.0,13920.000000,0.0,0.0,0.0,36.050018,512462200,22800.000000,101.001457,0.0,0.0,411.000000,5.000000,13680.000000,23160.000000,24.630003,0.020000,0.000000,13320.000000,0.0,1.759999,0.0,0.0,0.0,0.060000,0.0,9.350006,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.540000,0.000000,23160.000000,13680.000000,13680.000000,8480,0.080000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,4.039998,23160.000000
1,36.739548,37.945312,1499.798828,0.0,2.690000,0.0,0.0,0.020000,1497.931641,0.0,96.075775,0.0,13920.000000,0.0,0.0,0.0,31.440018,512471120,22800.000000,124.931557,0.0,0.0,460.000000,5.000000,13680.000000,22920.000000,21.780005,0.150000,0.000000,13320.000000,0.0,1.729999,0.0,0.0,0.0,0.090000,0.0,10.080003,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.570000,0.000000,23160.000000,13560.000000,13560.000000,8920,0.080000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,2.619999,22800.000000
2,36.890873,38.093750,1499.509888,2.150000,2.599999,0.0,0.0,0.120000,1497.956909,0.0,98.957962,0.0,13920.000000,0.0,0.0,51.860001,0.950000,512479920,22920.000000,140.160629,38.339996,0.0,462.000000,5.000000,13680.000000,23160.000000,0.330000,0.050000,0.000000,13320.000000,0.0,0.120000,0.0,0.0,0.0,0.150000,0.0,0.140000,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.300000,0.000000,23160.000000,13560.000000,13560.000000,8800,0.190000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.260000,22920.000000
3,36.753593,37.953125,1499.674683,2.240000,1.770000,0.0,0.0,0.060000,1497.950562,0.0,99.458092,0.0,13920.000000,0.0,0.0,54.790001,0.610000,512488360,22800.000000,142.236191,37.400002,0.0,457.000000,5.000000,13680.000000,22920.000000,0.380000,0.050000,0.000000,13320.000000,0.0,0.560000,0.0,0.0,0.0,0.070000,0.0,0.110000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.090000,0.000000,23160.000000,13680.000000,13560.000000,8440,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.380000,22920.000000
4,37.119858,38.320312,1499.816528,2.130000,1.810000,0.0,0.0,0.110000,1497.696655,0.0,98.839821,0.0,13920.000000,0.0,0.0,54.709999,0.570000,512496640,22920.000000,141.488968,37.599998,0.0,463.000000,5.000000,13560.000000,23160.000000,0.450000,0.0,0.000000,13320.000000,0.0,0.210000,0.0,0.0,0.0,0.100000,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.110000,0.000000,23160.000000,13680.000000,13680.000000,8280,0.130000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.700000,22920.000000
5,36.987068,38.179688,1499.127686,1.740000,2.290000,0.0,0.0,0.050000,1497.956787,0.0,99.538979,0.0,13920.000000,0.0,0.0,56.550003,0.880000,512504840,22800.000000,142.669556,34.419998,0.0,465.000000,5.000000,13680.000000,22920.000000,0.430000,0.0,0.000000,13320.000000,0.0,0.820000,0.0,0.0,0.0,0.140000,0.0,0.060000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.360000,0.000000,22920.000000,13560.000000,13680.000000,8200,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.240000,23160.000000
6,36.747055,37.937500,1499.668945,2.150000,1.690000,0.0,0.0,0.090000,1497.963867,0.0,99.395035,0.0,13920.000000,0.0,0.0,55.459999,0.580000,512513080,22920.000000,142.253128,36.669998,0.0,463.000000,5.000000,13560.000000,22800.000000,0.560000,0.0,0.000000,13320.000000,0.0,0.480000,0.0,0.0,0.0,0.070000,0.0,0.100000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.220000,0.000000,23160.000000,13680.000000,13680.000000,8240,0.050000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.190000,22920.000000
7,37.167778,38.367188,1499.714722,1.680000,2.140000,0.0,0.0,0.090000,1497.252808,0.0,99.618416,0.0,13920.000000,0.0,0.0,54.500004,0.440000,512521280,22920.000000,142.956772,38.010002,0.0,462.000000,5.000000,13680.000000,22800.000000,0.340000,0.030000,0.000000,13440.000000,0.0,0.450000,0.0,0.0,0.0,0.210000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.240000,0.000000,23160.000000,13560.000000,13560.000000,8200,0.040000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.270000,22920.000000
8,36.880718,38.070312,1499.708008,1.900000,1.510000,0.0,0.0,0.040000,1497.956909,0.0,99.193207,0.0,13800.000000,0.0,0.0,56.860001,0.430000,512529480,22800.000000,142.217590,35.849998,0.0,464.000000,5.000000,13680.000000,22920.000000,0.330000,0.170000,0.000000,13320.000000,0.0,0.340000,0.0,0.0,0.0,0.030000,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,23160.000000,13680.000000,13560.000000,8200,0.090000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.370000,22920.000000
9,36.900043,38.093750,1499.774292,1.960000,1.840000,0.0,0.0,0.050000,1497.706177,0.0,99.543167,0.0,13920.000000,0.0,0.0,57.020000,0.490000,512537840,23160.000000,142.779938,35.730000,0.0,463.000000,5.000000,13560.000000,23160.000000,0.480000,0.050000,0.000000,13320.000000,0.0,0.420000,0.0,0.0,0.0,0.050000,0.0,0.120000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.090000,0.000000,23160.000000,13560.000000,13560.000000,8360,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.270000,22920.000000
