ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,36.835938,50.296875,1499.010132,0.0,0.150000,0.0,0.0,0.020000,1497.896606,0.0,103.336105,0.0,13920.000000,0.0,0.0,0.0,0.020000,105448850,22920.000000,131.363007,0.0,0.0,438.000000,5.000000,13680.000000,22800.000000,2.640000,0.0,0.000000,13320.000000,0.0,0.020000,96.769989,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13560.000000,8660,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.080000,22920.000000
1,36.955784,50.406250,1498.875977,0.0,0.150000,0.0,0.0,0.0,1497.552856,0.0,102.721725,0.0,13920.000000,0.0,0.0,0.0,0.100000,105456190,22800.000000,131.236679,0.0,0.0,437.000000,5.000000,13680.000000,22920.000000,3.390000,0.0,0.000000,13320.000000,0.0,0.040000,95.949997,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,7340,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,23160.000000
2,36.927296,50.335938,1498.982056,0.0,0.160000,0.0,0.0,0.0,1497.905151,0.0,102.382683,0.0,13920.000000,0.0,0.0,0.0,0.040000,105463600,22800.000000,131.472733,0.0,0.0,436.000000,5.000000,13680.000000,22800.000000,3.010000,0.0,0.000000,13320.000000,0.0,0.020000,96.189987,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13680.000000,7410,0.020000,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
3,36.967754,50.406250,1499.066162,0.0,0.130000,0.0,0.0,0.0,1497.512817,0.0,101.743286,0.0,13920.000000,0.0,0.0,0.0,0.040000,105471140,22920.000000,131.521027,0.030000,0.0,437.000000,5.000000,13560.000000,23160.000000,2.780000,0.0,0.000000,13320.000000,0.0,0.080000,96.400002,0.0,0.0,0.0,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7540,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,22920.000000
4,36.939053,50.359375,1499.089355,0.0,0.220000,0.0,0.0,0.0,1497.829346,0.0,101.820198,0.0,13920.000000,0.0,0.0,0.0,0.060000,105478750,22920.000000,131.462097,0.0,0.0,435.000000,5.000000,13560.000000,22800.000000,3.090000,0.0,0.000000,13320.000000,0.0,0.060000,96.140007,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13680.000000,7610,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.060000,22920.000000
5,36.932487,50.367188,1499.081665,0.0,0.200000,0.0,0.0,0.0,1497.859863,0.0,101.844765,0.0,13920.000000,0.0,0.0,0.0,0.090000,105486200,22920.000000,131.445953,0.030000,0.0,438.000000,5.000000,13680.000000,22920.000000,3.100000,0.0,0.000000,13320.000000,0.0,0.020000,96.020004,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13440.000000,13560.000000,7450,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.020000,22920.000000
6,36.937378,50.359375,1499.091797,0.0,0.120000,0.0,0.0,0.0,1497.723755,0.0,102.805191,0.0,13920.000000,0.0,0.0,0.0,0.120000,105493720,22800.000000,131.589127,0.0,0.0,438.000000,5.000000,13560.000000,22800.000000,2.910000,0.0,0.000000,13320.000000,0.0,0.040000,96.580017,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7520,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13560.000000,0.0,22800.000000,13800.000000,0.040000,22920.000000
7,36.972099,50.414062,1499.077759,0.0,0.160000,0.0,0.0,0.020000,1497.888062,0.0,103.103745,0.0,13920.000000,0.0,0.0,0.0,0.040000,105501150,22800.000000,131.512466,0.030000,0.0,437.000000,5.000000,13680.000000,23160.000000,2.860000,0.0,0.000000,13320.000000,0.0,0.040000,96.399994,0.0,0.0,0.040000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,22920.000000,13560.000000,13680.000000,7430,0.020000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,22800.000000
8,36.961918,50.398438,1498.678223,0.0,0.150000,0.0,0.0,0.0,1497.919434,0.0,103.324432,0.0,13920.000000,0.0,0.0,0.0,0.080000,105508650,22800.000000,131.608200,0.0,0.0,438.000000,5.000000,13560.000000,22800.000000,2.860000,0.0,0.000000,13320.000000,0.0,0.020000,96.340019,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7500,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.020000,23160.000000
9,36.911728,50.335938,1498.938843,0.0,0.070000,0.0,0.0,0.0,1497.908447,0.0,102.955559,0.0,13920.000000,0.0,0.0,0.0,0.080000,105516180,22800.000000,131.455231,0.0,0.0,438.000000,5.000000,13560.000000,22920.000000,2.970000,0.0,0.000000,13440.000000,0.0,0.020000,96.500008,0.0,0.0,0.020000,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7530,0.040000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.020000,22920.000000
