ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,24.148384,25.351562,1499.220337,0.0,3.679999,0.0,0.0,0.060000,1499.182373,0.0,79.305824,0.0,13920.000000,0.0,0.0,0.0,38.359997,2577600,22800.000000,78.015373,0.0,0.0,352.000000,5.000000,13560.000000,23160.000000,26.710001,0.200000,0.000000,13320.000000,0.0,1.060000,0.0,0.0,0.0,0.310000,0.0,8.869998,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,1.470000,0.000000,22920.000000,13440.000000,13680.000000,5390,0.120000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,4.600003,22920.000000
1,24.822218,26.132812,1499.154053,0.0,2.630000,0.0,0.0,0.110000,1499.231812,0.0,94.293053,0.0,13920.000000,0.0,0.0,0.0,37.949993,2585570,22920.000000,93.048622,0.0,0.0,467.000000,5.000000,13560.000000,22920.000000,27.140003,0.120000,0.000000,13320.000000,0.0,3.139999,0.0,0.0,0.0,0.350000,0.0,9.430002,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,1.230000,0.000000,23160.000000,13560.000000,13560.000000,7970,0.190000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,3.869998,22920.000000
2,24.783035,26.117188,1499.240356,0.0,0.480000,0.0,0.0,0.030000,1499.126221,0.0,115.722229,0.0,13920.000000,0.0,0.0,0.0,0.110000,2594630,22920.000000,114.578804,0.0,0.0,477.000000,5.000000,13680.000000,22920.000000,4.840000,0.0,0.000000,13320.000000,0.0,0.090000,0.0,0.0,0.0,0.0,0.0,30.799999,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,22920.000000,13560.000000,13680.000000,9060,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,63.230000,22920.000000
3,24.708555,25.968750,1499.163574,0.0,0.420000,0.0,0.0,0.0,1499.064575,0.0,115.820160,0.0,13920.000000,0.0,0.0,0.0,0.290000,2601680,22920.000000,114.821579,0.0,0.0,469.000000,5.000000,13560.000000,23160.000000,5.120000,0.0,0.000000,13320.000000,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,30.500002,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,7050,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,63.249996,23160.000000
4,24.699099,26.031250,1499.006836,0.0,0.570000,0.0,0.0,0.0,1498.978149,0.0,115.995506,0.0,13920.000000,0.0,0.0,0.0,0.320000,2608810,22920.000000,114.905800,0.0,0.0,467.000000,5.000000,13560.000000,22920.000000,4.700000,0.0,0.000000,13320.000000,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,34.590000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7130,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,59.519997,22920.000000
5,24.678698,25.976562,1499.212769,0.0,0.420000,0.0,0.0,0.030000,1499.120483,0.0,115.559814,0.0,13920.000000,0.0,0.0,0.0,0.270000,2615900,22920.000000,114.508041,0.0,0.0,469.000000,5.000000,13680.000000,22920.000000,5.130000,0.0,0.000000,13320.000000,0.0,0.070000,0.0,0.0,0.0,0.0,0.0,30.060001,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13680.000000,7090,0.030000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,63.860001,22920.000000
6,24.709276,26.007812,1499.095215,0.0,0.490000,0.0,0.0,0.0,1499.196777,0.0,116.126488,0.0,13920.000000,0.0,0.0,0.0,0.240000,2622870,23160.000000,114.875595,0.0,0.0,468.000000,5.000000,13560.000000,22920.000000,5.030000,0.0,0.000000,13320.000000,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,30.649998,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23160.000000,13680.000000,13560.000000,6970,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,63.289997,22920.000000
7,24.710236,26.000000,1498.973145,0.0,0.530000,0.0,0.0,0.0,1499.221191,0.0,115.814789,0.0,13920.000000,0.0,0.0,0.0,0.280000,2629890,22920.000000,114.742378,0.0,0.0,469.000000,5.000000,13680.000000,23160.000000,4.000000,0.0,0.000000,13320.000000,0.0,0.070000,0.0,0.0,0.0,0.0,0.0,34.559994,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,7020,0.020000,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,60.180000,22920.000000
8,24.707304,26.007812,1499.038452,0.0,0.410000,0.0,0.0,0.030000,1499.173706,0.0,116.047554,0.0,13920.000000,0.0,0.0,0.0,0.620000,2637070,22800.000000,114.801071,0.0,0.0,469.000000,5.000000,13680.000000,23160.000000,4.470000,0.0,0.000000,13320.000000,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,30.340000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13680.000000,7180,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,63.750000,22920.000000
9,24.673458,25.960938,1499.095337,0.0,0.600000,0.0,0.0,0.0,1499.095581,0.0,116.084198,0.0,13920.000000,0.0,0.0,0.0,0.220000,2644080,22800.000000,114.984261,0.0,0.0,470.000000,5.000000,13560.000000,22920.000000,4.670000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.0,33.749996,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7010,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,60.459999,22800.000000
