ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,0.750191,2.257812,1499.789062,10.940000,2.530000,0.0,0.0,0.0,1499.908325,0.0,74.271233,0.0,13920.000000,0.0,0.0,0.0,1.280000,690910,22920.000000,87.518684,74.629997,0.0,354.000000,5.000000,13680.000000,22920.000000,5.600000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,13560.000000,13680.000000,6570,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
1,0.773463,2.234375,1499.621826,11.469999,0.000000,0.0,0.0,0.0,1499.899780,0.0,74.307068,0.0,13920.000000,0.0,0.0,0.0,1.070000,696920,22920.000000,87.303001,77.309998,0.0,356.000000,5.000000,13680.000000,22920.000000,1.610000,0.0,0.000000,13320.000000,0.0,3.290000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,6010,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22560.000000,13800.000000,0.0,23160.000000
2,0.772226,2.234375,1499.700562,9.780000,1.050000,0.0,0.0,0.0,1499.957397,0.0,74.349632,0.0,13920.000000,0.0,0.0,0.0,1.010000,702970,22800.000000,87.404106,76.049995,0.0,355.000000,5.000000,13560.000000,22920.000000,4.090000,0.0,0.000000,13440.000000,0.0,0.100000,0.0,0.0,0.0,0.0,0.0,1.010000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,6050,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.950000,23160.000000
3,0.774783,2.242188,1499.749512,14.820001,0.800000,0.0,0.0,0.0,1499.957520,0.0,74.336243,0.0,13920.000000,0.0,0.0,0.0,0.0,709010,22800.000000,87.669785,75.209999,0.0,355.000000,5.000000,13680.000000,23160.000000,2.420000,0.0,0.000000,13320.000000,0.0,1.050000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,1.410000,0.000000,22920.000000,13680.000000,13680.000000,6040,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22800.000000
4,0.773463,2.242188,1499.675781,27.120001,0.840000,0.0,0.0,0.0,1499.957520,0.0,74.121513,0.0,13920.000000,0.0,0.0,0.0,0.0,715040,22920.000000,87.585518,66.889999,0.0,355.000000,5.000000,13560.000000,22920.000000,5.040000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,6030,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13560.000000,0.0,22800.000000,13680.000000,0.0,22920.000000
5,0.772028,2.234375,1499.722046,10.130001,1.690000,0.0,0.0,0.0,1499.957275,0.0,74.416382,0.0,13920.000000,0.0,0.0,0.0,0.0,720970,22800.000000,87.694366,83.840004,0.0,347.000000,5.000000,13560.000000,22800.000000,4.220000,0.0,0.000000,13440.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.110000,0.000000,23160.000000,13560.000000,13680.000000,5930,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22560.000000,13800.000000,0.0,22920.000000
6,0.773319,2.234375,1499.649780,11.910000,0.000000,0.0,0.0,0.0,1499.754639,0.0,74.297089,0.0,13920.000000,0.0,0.0,0.0,1.060000,726880,22920.000000,87.632408,78.940002,0.0,354.000000,5.000000,13680.000000,22920.000000,0.0,0.0,0.000000,13440.000000,0.0,1.130000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13680.000000,5910,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,23160.000000
7,0.773450,2.242188,1499.590576,10.850000,3.350000,0.0,0.0,0.0,1499.785400,0.0,74.361061,0.0,13920.000000,0.0,0.0,0.0,0.0,732890,22800.000000,87.814407,83.189995,0.0,353.000000,5.000000,13560.000000,23160.000000,2.510000,0.0,0.000000,13320.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,6010,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
8,0.773305,2.312500,1499.278564,35.820000,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.292534,0.0,13800.000000,0.0,0.0,0.0,0.800000,738780,22800.000000,87.567566,59.779999,0.0,354.000000,5.000000,13560.000000,22920.000000,2.390000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,5890,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
9,0.773305,2.234375,1499.628784,10.809999,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.416641,0.0,13920.000000,0.0,0.0,0.0,1.900000,744680,22920.000000,87.912361,83.010002,0.0,354.000000,5.000000,13560.000000,22920.000000,4.160000,0.0,0.000000,13320.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,5900,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
10,0.772043,2.242188,1499.681152,11.670000,0.830000,0.0,0.0,0.0,1499.871704,0.0,74.332375,0.0,13920.000000,0.0,0.0,0.0,0.0,750620,22800.000000,87.574699,86.539993,0.0,343.000000,5.000000,13680.000000,22920.000000,0.840000,0.0,0.000000,13320.000000,0.0,0.110000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,5940,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22800.000000
