ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,23.840225,25.023438,1498.987061,0.0,3.649999,0.0,0.0,0.140000,1499.199707,0.0,79.570442,0.0,13920.000000,0.0,0.0,0.0,37.379993,3587230,22920.000000,78.741531,0.0,0.0,351.000000,5.000000,13680.000000,22920.000000,27.610001,0.150000,0.000000,13320.000000,0.0,2.959999,0.0,0.0,0.0,0.290000,0.0,6.570001,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,1.240000,0.000000,22920.000000,13560.000000,13560.000000,5640,0.040000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,4.410001,23160.000000
1,24.792572,26.093750,1499.163208,0.0,2.410000,0.0,0.0,2.520000,1499.181885,0.0,111.121025,0.0,13920.000000,0.0,0.0,0.0,27.390005,3595260,22800.000000,109.202454,0.0,0.0,462.000000,5.000000,13560.000000,22920.000000,20.880003,0.050000,0.000000,13320.000000,0.0,1.839999,0.0,0.0,0.0,0.050000,0.0,9.790001,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.550000,0.000000,23160.000000,13560.000000,13560.000000,8030,0.030000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,24.240004,22800.000000
2,24.797953,26.132812,1499.014893,13.200001,0.900000,0.0,0.0,0.020000,1499.177368,0.0,125.599487,0.0,13920.000000,0.0,0.0,48.210003,0.380000,3604070,22920.000000,124.314728,34.150002,0.0,463.000000,5.000000,13560.000000,22920.000000,1.380000,0.0,0.000000,13320.000000,0.0,0.020000,0.0,0.0,0.0,0.020000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13560.000000,8810,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
3,24.746305,26.054688,1499.171997,10.580000,1.460000,0.0,0.0,0.0,1499.192139,0.0,125.632957,0.0,13920.000000,0.0,0.0,50.970001,0.920000,3611410,22920.000000,124.349464,33.590004,0.0,463.000000,5.000000,13680.000000,22920.000000,0.580000,0.0,0.000000,13320.000000,0.0,0.040000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7340,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.140000,22920.000000
4,24.750000,26.062500,1499.192749,11.820001,1.490000,0.0,0.0,0.040000,1499.058472,0.0,125.464348,0.0,13920.000000,0.0,0.0,47.769997,0.260000,3618680,22800.000000,124.348007,36.980003,0.0,463.000000,5.000000,13560.000000,22920.000000,0.960000,0.0,0.000000,13440.000000,0.0,0.200000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7270,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.0,22800.000000
5,24.755793,26.046875,1499.142090,12.990000,0.830000,0.0,0.0,0.0,1499.220337,0.0,125.736336,0.0,13920.000000,0.0,0.0,45.900002,0.270000,3625900,22800.000000,124.455780,37.590000,0.0,463.000000,5.000000,13560.000000,22920.000000,0.590000,0.0,0.000000,13320.000000,0.0,0.120000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,7220,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.080000,22920.000000
6,24.738871,26.039062,1499.166626,15.960000,0.670000,0.0,0.0,0.070000,1499.213745,0.0,125.609123,0.0,13920.000000,0.0,0.0,45.059998,0.330000,3633200,22800.000000,124.432899,34.680000,0.0,461.000000,5.000000,13560.000000,22920.000000,1.720000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.740000,0.000000,22920.000000,13560.000000,13680.000000,7300,0.020000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.080000,22920.000000
7,24.731956,26.031250,1499.202515,12.530000,0.900000,0.0,0.0,0.060000,1499.198242,0.0,125.739586,0.0,13920.000000,0.0,0.0,50.689999,0.210000,3640370,22920.000000,124.407928,34.389999,0.0,464.000000,5.000000,13560.000000,22800.000000,0.600000,0.020000,0.000000,13320.000000,0.0,0.140000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7170,0.020000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,23160.000000,13800.000000,0.040000,23160.000000
8,24.739943,26.046875,1499.142822,11.099998,1.600000,0.0,0.0,0.020000,1499.220215,0.0,125.605026,0.0,13920.000000,0.0,0.0,47.899998,0.430000,3647620,22800.000000,124.458832,36.969997,0.0,464.000000,5.000000,13680.000000,22800.000000,0.980000,0.0,0.000000,13320.000000,0.0,0.180000,0.0,0.0,0.0,0.0,0.0,0.090000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,22920.000000,13440.000000,13680.000000,7250,0.050000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.090000,22920.000000
9,24.779886,26.093750,1499.146484,10.929999,0.680000,0.0,0.0,0.020000,1499.200928,0.0,125.713882,0.0,13920.000000,0.0,0.0,48.819996,0.450000,3655220,22800.000000,124.375931,36.950001,0.0,462.000000,5.000000,13560.000000,23160.000000,0.880000,0.0,0.000000,13320.000000,0.0,0.240000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7600,0.020000,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.100000,22920.000000
