ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.620926,50.734375,1498.556519,0.280000,1.950000,0.0,0.0,0.080000,1498.220947,0.0,84.090607,0.0,13920.000000,0.0,0.0,0.0,36.059982,88398420,22800.000000,82.590935,0.0,0.0,363.000000,5.000000,13680.000000,22920.000000,4.440000,0.040000,0.000000,13320.000000,0.0,1.480000,0.350000,0.0,0.0,0.040000,0.0,7.080001,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.900000,0.000000,22920.000000,13560.000000,13680.000000,9130,0.070000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,2.480000,22800.000000
1,49.514153,50.625000,1497.939819,0.070000,4.200001,0.0,0.0,0.080000,1498.188477,0.0,109.597984,0.0,13800.000000,0.0,0.0,0.0,15.579995,88407850,22920.000000,109.292130,0.0,0.0,496.000000,5.000000,13560.000000,23160.000000,35.970001,0.100000,0.000000,13320.000000,0.0,2.829999,0.0,0.0,0.0,0.290000,0.0,13.959998,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,1.310000,0.000000,22920.000000,13560.000000,13560.000000,9430,0.200000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,5.470005,22800.000000
2,44.268658,45.468750,1498.161865,0.880000,0.000000,0.0,0.0,0.0,1498.116943,0.0,148.988113,0.0,13800.000000,0.0,0.0,0.340000,0.110000,88417100,22920.000000,147.245346,20.750010,0.0,496.000000,5.000000,13680.000000,22920.000000,3.230000,0.0,0.000000,13320.000000,0.0,0.030000,34.739964,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.820000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,9250,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.030000,22920.000000
3,49.481899,50.554688,1498.343750,0.580000,0.040000,0.0,0.0,0.0,1498.504395,0.0,149.780899,0.0,13920.000000,0.0,0.0,0.320000,0.030000,88424730,22920.000000,148.671570,20.400017,0.0,495.000000,5.000000,13680.000000,23160.000000,2.910000,0.0,0.000000,13320.000000,0.0,0.070000,35.139977,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.630000,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7630,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.170000,23160.000000
4,49.556393,50.632812,1498.138428,0.550000,0.000000,0.0,0.0,0.0,1498.562744,0.0,149.630981,0.0,13920.000000,0.0,0.0,0.210000,0.040000,88432250,22800.000000,148.731125,19.130022,0.0,497.000000,5.000000,13680.000000,23160.000000,3.410000,0.0,0.000000,13440.000000,0.0,0.190000,35.879940,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.500000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13680.000000,7520,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.060000,22920.000000
5,49.504326,50.578125,1498.447754,0.780000,0.030000,0.0,0.0,0.0,1498.188477,0.0,149.769241,0.0,13920.000000,0.0,0.0,0.330000,0.030000,88439910,22920.000000,148.776749,20.660006,0.0,496.000000,5.000000,13680.000000,22920.000000,3.330000,0.0,0.000000,13320.000000,0.0,0.030000,35.559956,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.660000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,7660,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.070000,22800.000000
6,49.458115,50.539062,1498.462280,0.670000,0.080000,0.0,0.0,0.0,1498.290649,0.0,149.501373,0.0,13920.000000,0.0,0.0,0.580000,0.030000,88447580,22920.000000,148.909622,20.690006,0.0,498.000000,5.000000,13560.000000,22920.000000,3.339999,0.0,0.000000,13320.000000,0.0,0.020000,34.149963,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.800000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7670,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.090000,23160.000000
7,49.563293,50.640625,1498.485229,0.650000,0.030000,0.0,0.0,0.0,1498.196777,0.0,149.415009,0.0,13920.000000,0.0,0.0,0.210000,0.070000,88455030,22920.000000,149.102646,19.530014,0.0,496.000000,5.000000,13680.000000,22920.000000,3.279999,0.0,0.000000,13320.000000,0.0,0.070000,35.249977,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.810000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13680.000000,7450,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22800.000000
8,49.478481,50.546875,1498.481201,1.000000,0.070000,0.0,0.0,0.0,1498.137085,0.0,149.169388,0.0,13920.000000,0.0,0.0,0.210000,0.020000,88462620,22800.000000,148.912079,19.980009,0.0,499.000000,5.000000,13680.000000,22920.000000,2.730000,0.0,0.000000,13320.000000,0.0,0.0,35.449963,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.890000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13680.000000,7590,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.040000,22920.000000
9,49.526142,50.609375,1498.506836,0.840000,0.030000,0.0,0.0,0.0,1498.481934,0.0,149.442642,0.0,13920.000000,0.0,0.0,0.260000,0.020000,88470250,22920.000000,148.985504,19.210014,0.0,499.000000,5.000000,13560.000000,22920.000000,3.539999,0.0,0.000000,13440.000000,0.0,0.040000,37.039959,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,1.010000,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7630,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
