ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,0.749338,2.242188,1499.733887,0.0,6.090000,0.0,0.0,0.0,1499.957397,0.0,74.372993,0.0,13800.000000,0.0,0.0,0.0,0.110000,1640920,22920.000000,84.795982,82.000000,0.0,352.000000,5.000000,13560.000000,22920.000000,2.730000,0.0,0.000000,13440.000000,0.0,2.050000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,1.510000,0.000000,22920.000000,13560.000000,13560.000000,6610,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,2.000000,22920.000000
1,0.773502,2.250000,1499.772339,0.0,2.100000,0.0,0.0,0.0,1499.957520,0.0,74.391037,0.0,13920.000000,0.0,0.0,0.0,0.720000,1646980,22920.000000,84.847939,87.290001,0.0,350.000000,5.000000,13560.000000,22800.000000,3.850000,0.0,0.000000,13320.000000,0.0,0.130000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,6060,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.430000,22920.000000
2,0.772166,2.242188,1499.652222,0.0,0.730000,0.0,0.0,0.0,1499.957642,0.0,74.381180,0.0,13920.000000,0.0,0.0,0.0,2.110000,1652990,22920.000000,84.889130,88.769997,0.0,350.000000,5.000000,13560.000000,23160.000000,5.010000,0.0,0.000000,13320.000000,0.0,0.730000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,6010,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,0.0,22920.000000
3,0.773489,2.242188,1499.388062,0.0,0.720000,0.0,0.0,0.0,1499.778076,0.0,74.361000,0.0,13920.000000,0.0,0.0,0.0,1.410000,1659040,22800.000000,84.899376,85.809998,0.0,351.000000,5.000000,13560.000000,22920.000000,1.550000,0.0,0.000000,13440.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.700000,0.000000,22920.000000,13680.000000,13560.000000,6050,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
4,0.772120,2.234375,1499.590454,0.0,0.000000,0.0,0.0,0.0,1499.957520,0.0,74.193466,0.0,13920.000000,0.0,0.0,0.0,0.0,1665030,22920.000000,85.010002,89.250000,0.0,350.000000,5.000000,13560.000000,23160.000000,7.150000,0.0,0.000000,13320.000000,0.0,0.140000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22800.000000,13560.000000,13560.000000,5990,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
5,0.773411,2.234375,1499.535034,0.0,1.460000,0.0,0.0,0.0,1499.957397,0.0,74.333199,0.0,13920.000000,0.0,0.0,0.0,1.570000,1671020,22800.000000,84.894485,89.309998,0.0,351.000000,5.000000,13680.000000,22920.000000,4.580000,0.0,0.000000,13320.000000,0.0,0.140000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13680.000000,5990,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13560.000000,0.0,22800.000000,13680.000000,0.0,23160.000000
6,0.770763,2.234375,1499.484375,0.0,1.810000,0.0,0.0,0.0,1499.957520,0.0,74.305405,0.0,13800.000000,0.0,0.0,0.0,0.860000,1676960,22560.000000,84.995842,68.110001,0.0,352.000000,5.000000,13680.000000,22800.000000,29.219999,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,5940,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13560.000000,0.0,22920.000000,13800.000000,0.0,22920.000000
7,0.774629,2.234375,1499.739868,0.0,1.780000,0.0,0.0,0.0,1499.904541,0.0,74.454796,0.0,13920.000000,0.0,0.0,0.0,0.860000,1682870,22800.000000,85.198601,87.739998,0.0,351.000000,5.000000,13560.000000,22920.000000,3.300000,0.0,0.000000,13440.000000,0.0,1.180000,0.0,0.0,0.0,0.0,0.0,0.940000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22800.000000,13560.000000,13560.000000,5910,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22920.000000
8,0.772120,2.242188,1499.566772,0.0,0.710000,0.0,0.0,0.0,1499.900879,0.0,74.312775,0.0,13920.000000,0.0,0.0,0.0,2.150000,1688850,22920.000000,85.053993,83.789993,0.0,350.000000,5.000000,13560.000000,22800.000000,2.270000,0.0,0.000000,13320.000000,0.0,0.130000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,5980,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,2.860000,22920.000000
9,0.773411,2.242188,1499.658691,0.0,0.930000,0.0,0.0,0.0,1499.957397,0.0,74.300446,0.0,13920.000000,0.0,0.0,0.0,0.860000,1694830,22800.000000,84.870804,72.770004,0.0,353.000000,5.000000,13560.000000,22800.000000,3.970000,0.0,0.000000,13320.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,5980,0.0,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.0,22800.000000
