ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,71.822113,72.585938,1497.641602,0.0,2.969999,0.0,0.0,0.100000,1497.855591,0.0,88.559753,0.0,13920.000000,0.0,0.0,0.0,37.459999,14681690,22800.000000,87.065765,0.0,0.0,374.000000,5.000000,13680.000000,22920.000000,26.010002,0.220000,0.000000,13320.000000,0.0,1.869999,0.0,0.0,0.0,0.180000,0.0,10.480003,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.840000,0.000000,22920.000000,13560.000000,13440.000000,6530,0.110000,13560.000000,0.0,22800.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,3.739998,22920.000000
1,74.412903,75.257812,1497.694336,0.0,2.999999,0.0,0.0,0.080000,1497.823975,0.0,114.478951,0.0,13920.000000,0.0,0.0,0.0,36.189999,14692320,22920.000000,113.090668,0.0,0.0,482.000000,5.000000,13560.000000,22920.000000,26.320002,0.090000,0.000000,13320.000000,0.0,1.929999,0.0,0.0,0.0,0.060000,0.0,10.880003,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.800000,0.000000,22920.000000,13560.000000,13680.000000,10630,0.080000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,4.069998,22800.000000
2,74.221260,75.117188,1497.911377,0.0,1.170000,0.0,0.0,0.040000,1497.852295,0.0,129.564056,0.0,13920.000000,0.0,0.0,0.0,1.400000,14705440,22920.000000,128.459335,0.0,0.0,485.000000,5.000000,13680.000000,22800.000000,0.160000,0.0,0.000000,13320.000000,0.0,0.080000,0.0,0.0,0.0,0.080000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,23160.000000,13560.000000,13560.000000,13120,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,95.809998,23160.000000
3,74.083794,74.984375,1497.905151,0.0,0.840000,0.0,0.0,0.050000,1497.776978,0.0,129.704636,0.0,13920.000000,0.0,0.0,0.0,1.070000,14716940,22800.000000,128.429733,0.0,0.0,486.000000,5.000000,13560.000000,22920.000000,0.170000,0.0,0.000000,13440.000000,0.0,0.050000,0.0,0.0,0.0,0.050000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22560.000000,0.0,0.0,0.0,0.0,0.0,0.110000,0.000000,23160.000000,13560.000000,13680.000000,11500,0.020000,13560.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,96.109985,22920.000000
4,74.066391,74.968750,1497.650757,0.0,0.920000,0.0,0.0,0.040000,1497.868652,0.0,129.814758,0.0,13920.000000,0.0,0.0,0.0,0.980000,14729610,22800.000000,128.661469,0.0,0.0,484.000000,5.000000,13680.000000,23160.000000,0.240000,0.0,0.000000,13320.000000,0.0,0.060000,0.0,0.0,0.0,0.080000,0.0,0.090000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,22920.000000,13680.000000,13680.000000,12670,0.050000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,95.699997,22920.000000
5,74.101402,74.953125,1497.426758,0.0,1.260000,0.0,0.0,0.050000,1497.609985,0.0,129.937302,0.0,13920.000000,0.0,0.0,0.0,1.220000,14740870,22800.000000,128.634796,0.0,0.0,487.000000,5.000000,13680.000000,22920.000000,0.150000,0.0,0.000000,13320.000000,0.0,0.080000,0.0,0.0,0.0,0.060000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,23160.000000,13560.000000,13680.000000,11260,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,95.630005,22920.000000
6,74.133720,74.960938,1497.867920,0.0,1.320000,0.0,0.0,0.040000,1497.608276,0.0,129.844040,0.0,13920.000000,0.0,0.0,0.0,1.330000,14752060,22920.000000,128.529648,0.0,0.0,485.000000,5.000000,13560.000000,22920.000000,0.540000,0.0,0.000000,13320.000000,0.0,0.050000,0.0,0.0,0.0,0.030000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.370000,0.000000,23160.000000,13680.000000,13680.000000,11190,0.020000,13680.000000,0.0,23160.000000,22920.000000,0.000000,13560.000000,0.0,22800.000000,13800.000000,95.059990,22800.000000
7,74.064995,75.023438,1497.830933,0.0,0.680000,0.0,0.0,0.060000,1497.877686,0.0,129.913223,0.0,13920.000000,0.0,0.0,0.0,1.030000,14763330,22920.000000,128.615982,0.0,0.0,486.000000,5.000000,13680.000000,22920.000000,0.170000,0.0,0.000000,13320.000000,0.0,0.080000,0.0,0.0,0.0,0.040000,0.0,0.050000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.080000,0.000000,22920.000000,13680.000000,13560.000000,11270,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,23160.000000,13680.000000,96.360001,22920.000000
8,74.051628,74.953125,1497.099365,0.0,1.230000,0.0,0.0,0.080000,1497.820190,0.0,130.020889,0.0,13920.000000,0.0,0.0,0.0,0.850000,14774820,22920.000000,128.718674,0.0,0.0,484.000000,5.000000,13560.000000,22800.000000,0.170000,0.0,0.000000,13440.000000,0.0,0.100000,0.0,0.0,0.0,0.050000,0.0,0.030000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,22920.000000,13560.000000,13680.000000,11490,0.030000,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,95.839996,22920.000000
9,74.123398,75.023438,1497.853271,0.0,0.890000,0.0,0.0,0.070000,1497.649048,0.0,129.939804,0.0,13920.000000,0.0,0.0,0.0,1.810000,14786300,22920.000000,128.645355,0.0,0.0,486.000000,5.000000,13560.000000,23160.000000,0.170000,0.020000,0.000000,13320.000000,0.0,0.140000,0.0,0.0,0.0,0.040000,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.030000,0.000000,23160.000000,13560.000000,13680.000000,11480,0.050000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,94.759995,22920.000000
10,74.093071,74.937500,1497.931519,0.0,0.980000,0.0,0.0,0.050000,1497.822876,0.0,130.102188,0.0,13800.000000,0.0,0.0,0.0,1.430000,14797810,22800.000000,128.754822,0.0,0.0,488.000000,5.000000,13560.000000,22920.000000,0.160000,0.0,0.000000,13320.000000,0.0,0.080000,0.0,0.0,0.0,0.070000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.100000,0.000000,22920.000000,13560.000000,13560.000000,11510,0.040000,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,95.509987,22920.000000
